player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,さやか,慈,缀理,吟子,梢,小铃,花帆,姬芽
CAH984HAW,1,356191036804128,タピエンル,MAJT0THVB,归于虚幻后援会,3,10,10,10,10,10,10,10,10,10
UA5OC8495,2,345911019385173,zth,MAJT0THVB,归于虚幻后援会,9,10,10,10,10,10,10,10,10,10
FM1GCQSEE,3,345583236158438,TANEVIL,MAJT0THVB,归于虚幻后援会,9,10,10,10,10,10,10,10,10,10
Z4UQWX99L,4,342826574303066,ちまき,MAJT0THVB,归于虚幻后援会,9,10,10,10,10,10,10,10,10,10
9R9QSN1GL,5,341969500308119,長風破浪會有時,MAJT0THVB,归于虚幻后援会,13,10,10,10,10,10,10,10,10,10
FWBTX791U,6,339182041457808,garry,MAJT0THVB,归于虚幻后援会,0,10,10,10,10,10,10,10,10,10
SKN67I1NN,7,333978797399100,在床上睡覺,MAJT0THVB,归于虚幻后援会,3,10,10,10,10,10,10,10,10,10
WYT65FE8G,8,331934190709285,梢好好杯,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10
2I4NAUEKO,9,324423753413924,君中国語本当上手,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10
02DY8MLAP,10,320334940079979,銀河美少女,MAJT0THVB,归于虚幻后援会,0,10,10,10,10,10,10,10,10,10
7604CH5KV,11,318893107482067,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10
SM59T811D,12,317617001686011,件,MAJT0THVB,归于虚幻后援会,5,10,10,10,10,10,10,10,10,10
8EB0GXWX1,13,314156201767320,みむ。,EYN9H9N16,蓮好好俱樂部,4,10,10,10,10,10,10,10,10,10
KY6X3BV7A,14,311947592512076,托羅猪肉・㌧ﾄﾛ,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
9ENVXR95K,15,309944905315650,マオ,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10
B424J17UB,16,309761392172864,ginkaho,MAJT0THVB,归于虚幻后援会,2,10,10,10,10,10,10,10,10,10
ZYAP6N76H,17,307557340576706,ぬわぁんでよぉ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
HLMXHTKGB,18,304695645445181,たまき,MAJT0THVB,归于虚幻后援会,0,10,10,10,10,10,10,10,10,10
PLE67URFB,19,304661000633075,DasserAN,MAJT0THVB,归于虚幻后援会,1,10,10,10,10,10,10,10,10,10
BFBDRTETJ,20,303949315849868,からいろは,EYN9H9N16,蓮好好俱樂部,11,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,21,303839964202908,ちびこま,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
KLUX6726R,22,302445582207634,Ted,MAJT0THVB,归于虚幻后援会,10,10,10,10,10,10,10,10,10,10
WCN6J32TG,23,298289860978298,さゆりんのほっぺ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
10NAV71GP,24,297472386847778,あばば,MAJT0THVB,归于虚幻后援会,4,10,10,10,10,10,10,10,10,10
4387Y57EA,25,297146710319441,あなたこなた,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
DES39P1DL,26,297129475275008,ツタンカーメン,YE7CX8RNP,能京カバディ部,8,10,10,10,10,10,10,10,10,10
RCB4C3Q5H,27,297099050688322,まいごう,MAJT0THVB,归于虚幻后援会,10,10,10,10,10,10,10,10,10,10
0CPFA3PTM,28,296636836870811,華凛,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
FVG9O3T6M,29,290462728070710,narrow,11XTEEEJT,リンクラ料理部,6,10,10,10,10,10,10,10,10,10
1FREY7CCF,30,289115684981027,ぱむっち,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
3Q65ASSTC,31,289071316400644,ほうがく,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
VX6FL3EOS,32,288708624174638,三三儿,MAJT0THVB,归于虚幻后援会,7,10,10,10,10,10,10,10,10,10
A172AA7DD,33,288701843186702,にしん,FVJFA973A,新蓮天愛好者協會,2,10,10,10,10,10,10,10,10,10
6NJM4GUG6,34,287468174287902,蓮ノ休日党,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10
U7NEBV4KH,35,286526421498323,こーど,BKLW6CR5L,混合三文魚天空!,7,10,10,10,10,10,10,10,10,10
L5FWMMCWN,36,286176581334040,马纳托,PBRDPWEY1,무라무라회,9,10,10,10,10,10,10,10,10,10
WL6FFE9FY,37,285518756932781,もょもと,EYN9H9N16,蓮好好俱樂部,9,10,10,10,10,10,10,10,10,10
VH1RC5NNC,38,283801305282920,小暮的无名指也,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
