player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,さやか,梢,小铃,缀理,姬芽,花帆,吟子,瑠璃乃,慈
CAH984HAW,1,221597889718858,タピエンル,MAJT0THVB,タピ♡すきクラブ,3,10,10,10,10,10,10,10,10,10
FM1GCQSEE,2,219112507136028,TANEVIL,MAJT0THVB,タピ♡すきクラブ,9,10,10,10,10,10,10,10,10,10
UA5OC8495,3,217491896425614,zth,MAJT0THVB,タピ♡すきクラブ,9,10,10,10,10,10,10,10,10,10
FWBTX791U,4,215412171307012,garry,MAJT0THVB,タピ♡すきクラブ,0,10,10,10,10,10,10,10,10,10
9R9QSN1GL,5,214507070494329,其疾如風,MAJT0THVB,タピ♡すきクラブ,13,10,10,10,10,10,10,10,10,10
Z4UQWX99L,6,212924248240090,しらす,MAJT0THVB,タピ♡すきクラブ,9,10,10,10,10,10,10,10,10,10
SKN67I1NN,7,211524330779768,在床上睡覺,MAJT0THVB,タピ♡すきクラブ,3,10,10,10,10,10,10,10,10,10
BFBDRTETJ,8,208190858696949,からいろは,EYN9H9N16,蓮好好俱樂部,11,10,10,10,10,10,10,10,10,10
7604CH5KV,9,206897617945012,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10
WYT65FE8G,10,206522179682504,ティーカップ,MAJT0THVB,タピ♡すきクラブ,2,10,10,10,10,10,10,10,10,10
2I4NAUEKO,11,204352372378654,司馬雲英,MAJT0THVB,タピ♡すきクラブ,2,10,10,10,10,10,10,10,10,10
02DY8MLAP,12,200981253904026,大智若愚吱吱理,MAJT0THVB,タピ♡すきクラブ,0,10,10,10,10,10,10,10,10,10
KY6X3BV7A,13,199579069021439,托羅猪肉・㌧ﾄﾛ,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
KLUX6726R,14,198686421355052,Ted,MAJT0THVB,タピ♡すきクラブ,10,10,10,10,10,10,10,10,10,10
SM59T811D,15,197553344868825,盒,MAJT0THVB,タピ♡すきクラブ,5,10,10,10,10,10,10,10,10,10
B424J17UB,16,197375969169612,ginkaho,MAJT0THVB,タピ♡すきクラブ,2,10,10,10,10,10,10,10,10,10
8EB0GXWX1,17,196672617115561,みむ。,EYN9H9N16,蓮好好俱樂部,4,10,10,10,10,10,10,10,10,10
PLE67URFB,18,194785819843232,DasserAN,MAJT0THVB,タピ♡すきクラブ,1,10,10,10,10,10,10,10,10,10
9ENVXR95K,19,194724796234682,マオ,MAJT0THVB,タピ♡すきクラブ,2,10,10,10,10,10,10,10,10,10
ZYAP6N76H,20,194062100177044,ぬわぁんでよぉ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,21,193815006385333,ちびこま,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
DES39P1DL,22,190943494882447,ツタンカーメン,YE7CX8RNP,能京カバディ部,8,10,10,10,10,10,10,10,10,10
WCN6J32TG,23,189261341577326,さゆりんのほっぺ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
4387Y57EA,24,188663150087044,あなたこなた,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
0CPFA3PTM,25,187755687431925,華凛,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
10NAV71GP,26,187315756450508,あばば,MAJT0THVB,タピ♡すきクラブ,4,10,10,10,10,10,10,10,10,10
1FREY7CCF,27,186910369082784,ぱむっち,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
L5FWMMCWN,28,186085367988983,马纳托,PBRDPWEY1,무라무라회,9,10,10,10,10,10,10,10,10,10
A172AA7DD,29,185468402122394,にしん,FVJFA973A,新蓮天愛好者協會,2,10,10,10,10,10,10,10,10,10
HLMXHTKGB,30,185327032540431,たまき,MAJT0THVB,タピ♡すきクラブ,0,10,10,10,10,10,10,10,10,10
0USG3I0AK,31,184490268462282,ピーちゃん,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
RCB4C3Q5H,32,183829101333270,まいごう,MAJT0THVB,タピ♡すきクラブ,10,10,10,10,10,10,10,10,10,10
