player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,吟子,小铃,缀理,さやか,瑠璃乃,梢,花帆,慈
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,44,15648526847106320,10,10,10,10,10,10,10,10,10
VGWT7LCX7,ZUC,BKLW6CR5L,Mix鮭の空!!,12,45,15585431558762300,10,10,10,10,10,10,10,10,10
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,15,46,15506430688515170,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,47,15504194918177010,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,48,15476752065955030,10,10,10,10,10,10,10,10,10
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角,4,49,15457045662869320,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,15,50,15399915072387450,10,10,10,10,10,10,10,10,10
XTY4GG18V,素顔のピクセル,1BME38BCD,さすさやクラブ,15,51,15330057788934590,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,52,15294553997185740,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,8,53,15293784066578490,10,10,10,10,10,10,10,10,10
QH44G80K9,ぱとんく,11XTEEEJT,リンクラ料理部,15,54,15285066677264480,10,10,10,10,10,10,10,10,10
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,14,55,15262652631846600,10,10,10,10,10,10,10,10,10
ZWGHFBK3S,DSsuzu,BKLW6CR5L,Mix鮭の空!!,15,56,15249927238926010,10,10,10,10,10,10,10,10,10
8XP3JM3HY,ちかりこ,CX967RTGY,おんゆあさーくる,13,57,15241496712830280,10,10,10,10,10,10,10,10,10
4YTEQDE04,まんまる,1BME38BCD,さすさやクラブ,15,58,15228923352332990,10,10,10,10,10,10,10,10,10
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,10,59,15192523604412510,10,10,10,10,10,10,10,10,10
8GYTX89XA,しづTY102期,FVJFA973A,蓮ノ空愛好会,15,60,15184220092472260,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,61,15178830068442160,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,62,15152617824013630,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,63,15124634444569350,10,10,10,10,10,10,10,10,10
TKLRD66RN,ふじー,BKLW6CR5L,Mix鮭の空!!,15,64,15110462055094200,10,10,10,10,10,10,10,10,10
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,10,65,15093874434568820,10,10,10,10,10,10,10,10,10
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,66,15082881760030480,10,10,10,10,10,10,10,10,10
5UT1FEC2R,きんちゃ,FVJFA973A,蓮ノ空愛好会,4,67,15060910017705110,10,10,10,10,10,10,10,10,10
1FREY7CCF,ぱむぱむ,11XTEEEJT,リンクラ料理部,15,68,15023325963009280,10,10,10,10,10,10,10,10,10
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,69,15000395911903140,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,70,14982096174063530,10,10,10,10,10,10,10,10,10
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,71,14962346343576390,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,72,14936849100278450,10,10,10,10,10,10,10,10,10
BRJ0XWX77,しいのき,EYN9H9N16,蓮すきすきクラブ,15,73,14903873437040160,10,10,10,10,10,10,10,10,10
JRT9COU68,1192,VW65MCVF8,スリスリーズ,15,74,14891481580096550,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,75,14868295397578060,10,10,10,10,10,10,10,10,10
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,76,14853623060335620,10,10,10,10,10,10,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,77,14853579325196260,10,10,10,10,10,10,10,10,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,78,14851412896093350,10,10,10,10,10,10,10,10,10
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,13,79,14822407737004880,10,10,10,10,10,10,10,10,10
24M5TJDPS,わるつ,FVJFA973A,蓮ノ空愛好会,15,80,14789559128494970,10,10,10,10,10,10,10,10,10
G25EXFDYH,久保田梨沙復帰！,25PMPEMG7,星見プロ,7,81,14787956363194680,10,10,10,10,10,10,10,10,10
CO2UVBYHH,社畜の墓場,VW65MCVF8,スリスリーズ,2,82,14786516523385090,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,83,14786058846419070,10,10,10,10,10,10,10,10,10
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,84,14762324395149070,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,85,14739281615141310,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,86,14733951983908630,10,10,10,10,10,10,10,10,10
OYHRPRDN6,トマト先生,YE7CX8RNP,蓮ノ大三十角,6,87,14731740810501480,10,10,10,10,10,10,10,10,10
CZKJL4VOV,親戚プランタン,FVJFA973A,蓮ノ空愛好会,15,88,14727784836395800,10,10,10,10,10,10,10,10,10
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,89,14694929212806520,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,90,14685350311777380,10,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,91,14683176661372460,10,10,10,10,10,10,10,10,10
P3O3FFU0F,てんま,EYN9H9N16,蓮すきすきクラブ,9,92,14672236635916500,10,10,10,10,10,10,10,10,10
TF3P7YXVG,顔面異次元人ギギ,VW65MCVF8,スリスリーズ,15,93,14655727267260190,10,10,10,10,10,10,10,10,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,15,94,14654988049279020,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,95,14652854401572690,10,10,10,10,10,10,10,10,10
W4E0R6NA9,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,15,96,14651159041958840,10,10,10,10,10,10,10,10,10
4W6BIX284,りり,FK5MUK0ET,くる♡すきクラブ,15,97,14625008312892750,10,10,10,10,10,10,10,10,10
P4BD94K88,ﾛｰﾗ･ﾘﾙﾚ,11XTEEEJT,リンクラ料理部,15,98,14617555897274210,10,10,10,10,10,10,10,10,10
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,99,14613005445123390,10,10,10,10,10,10,10,10,10
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,14,100,14606953544970130,10,10,10,10,10,10,10,10,10
NC6WJYFVX,でら,11XTEEEJT,リンクラ料理部,15,101,14597017267323440,10,10,10,10,10,10,10,10,10
8XGER9Q5Y,ひろ,11XTEEEJT,リンクラ料理部,15,102,14558736249320720,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,14,103,14547593048419020,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,104,14524407017021990,10,10,10,10,10,10,10,10,10
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,105,14514979493676910,10,10,10,10,10,10,10,10,10
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,106,14484208210006580,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,107,14462307372338840,10,10,10,10,10,10,10,10,10
FZMYZZPRK,彩花,EYN9H9N16,蓮すきすきクラブ,11,108,14454636344716440,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,109,14443746249297250,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,14,110,14434851252172080,10,10,10,10,10,10,10,10,10
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,111,14417456299509310,10,10,10,10,10,10,10,10,10
M8KSSVGQS,おばすこ,BKLW6CR5L,Mix鮭の空!!,15,112,14390673992437630,10,10,10,10,10,10,10,10,10
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,113,14382318943523540,10,10,10,10,10,10,10,10,10
JC33CNHML,かすかす,PBRDPWEY1,村村会,14,114,14380912714775790,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,15,115,14380799013503260,10,10,10,10,10,10,10,10,10
TW9L2LKS7,ボクと契約して魔,YE7CX8RNP,蓮ノ大三十角,15,116,14377555271802220,10,10,10,10,10,10,10,10,10
ZX04ZZ2IW,きく,YCTM6RYDP,金沢おでん同好会,14,117,14363215282702570,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,118,14350705432093800,10,10,10,10,10,10,10,10,10
RV0TDDA7D,ブリてっか,BKLW6CR5L,Mix鮭の空!!,14,119,14325869664986900,10,10,10,10,10,10,10,10,10
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,120,14324749146750100,10,10,10,10,10,10,10,10,10
7VGVR7YBY,キモ・ヤマト,FVJFA973A,蓮ノ空愛好会,15,121,14323947029923310,10,10,10,10,10,10,10,10,10
S1JO65QZU,すと。,BKLW6CR5L,Mix鮭の空!!,9,122,14311550963781670,10,10,10,10,10,10,10,10,10
LKY79HKFR,しらす,FVJFA973A,蓮ノ空愛好会,8,123,14306059997287940,10,10,10,10,10,10,10,10,10
62NPMRQF6,ふく,EYN9H9N16,蓮すきすきクラブ,11,124,14297857298302740,10,10,10,10,10,10,10,10,10
7VE9T0CUP,むらたみ,PBRDPWEY1,村村会,14,125,14295974017024410,10,10,10,10,10,10,10,10,10
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,126,14294888032341890,10,10,10,10,10,10,10,10,10
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,127,14294122011720970,10,10,10,10,10,10,10,10,10
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,14,128,14293609400586630,10,10,10,10,10,10,10,10,10
0Y3QCF38L,小泉くろ,M5LHG6R4T,乙宗動物園,7,129,14291456949820490,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,8,130,14287186701319000,10,10,10,10,10,10,10,10,10
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,131,14285702605786960,10,10,10,10,10,10,10,10,10
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,132,14271338780295670,10,10,10,10,10,10,10,10,10
WYT65FE8G,ティーカップ,M5LHG6R4T,乙宗動物園,2,133,14251154427892270,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,134,14200688701650760,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,135,14188831382388700,10,10,10,10,10,10,10,10,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,136,14160600766143310,10,10,10,10,10,10,10,10,10
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,137,14148402133495310,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十角,10,138,14133667894785310,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,KT4C59NXG,めぐ島,15,139,14133591212055790,10,10,10,10,10,10,10,10,10
V7YLMH2IY,ゲッコー絵森ア,PBRDPWEY1,村村会,15,140,14118785232013740,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,7,141,14112479967615080,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,142,14103316377149170,10,10,10,10,10,10,10,10,10
ZHVYQOXPW,たかやん,VW65MCVF8,スリスリーズ,15,143,14092757782792550,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,8,144,14083525463548650,10,10,10,10,10,10,10,10,10
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,145,14080531719112030,10,10,10,10,10,10,10,10,10
NT480V79A,ゆざくら,PBRDPWEY1,村村会,15,146,14079528876156120,10,10,10,10,10,10,10,10,10
8JKPKHDHC,あるふぁん,EYN9H9N16,蓮すきすきクラブ,15,147,14072197210894560,10,10,10,10,10,10,10,10,10
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,148,14066790221496780,10,10,10,10,10,10,10,10,10
EGDNFP2WQ,ハマ,11XTEEEJT,リンクラ料理部,10,149,14052214897064730,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,150,14037012891560990,10,10,10,10,10,10,10,10,10
OS5RF4SH8,ふら,GXR6C85BT,花帆ちゃん親衛隊,11,151,14026555020948950,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,152,14019908759033620,10,10,10,10,10,10,10,10,10
DLSZMF1HF,小牧,11XTEEEJT,リンクラ料理部,15,153,14011789700227460,10,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,154,13995184530398840,10,10,10,10,10,10,10,10,10
15LURYMC1,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,155,13979432946435980,10,10,10,10,10,10,10,10,10
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,13,156,13977943080283340,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,157,13962708554681810,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,158,13961825329800680,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,159,13955877433639410,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,160,13955611773315250,10,10,10,10,10,10,10,10,10
A1YL665HX,dai,YCTM6RYDP,金沢おでん同好会,15,161,13934415306728010,10,10,10,10,10,10,10,10,10
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗動物園,4,162,13915279195548120,10,10,10,10,10,10,10,10,10
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,163,13893220007740110,10,10,10,10,10,10,10,10,10
