player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,梢,さやか,小铃,花帆,瑠璃乃,吟子
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,15,43,7104499152669190,10,10,10,10,10,10,10,10,10
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,44,7040436046640104,10,10,10,10,10,10,10,10,10
NLNKEMVRB,なのはな,BKLW6CR5L,Mix鮭の空!!,13,45,7032483429603220,10,10,10,10,10,10,10,10,10
L5FWMMCWN,ひよこ,PBRDPWEY1,村村会,9,46,7009778705543041,10,10,10,10,10,10,10,10,10
8XP3JM3HY,ちかりこ,CX967RTGY,おんゆあさーくる,13,47,7006019402962794,10,10,10,10,10,10,10,10,10
SDS1BUPY2,にる,11XTEEEJT,リンクラ料理部,5,48,6996087521953731,10,10,10,10,10,10,10,10,10
5UT1FEC2R,きんちゃ,FVJFA973A,蓮ノ空愛好会,4,49,6990682238578251,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,50,6989412340548331,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,8,51,6986717552789012,10,10,10,10,10,10,10,10,10
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,52,6975376063031701,10,10,10,10,10,10,10,10,10
8GYTX89XA,しづ,FVJFA973A,蓮ノ空愛好会,15,53,6966029900879999,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,54,6960385702699168,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,55,6932619943120349,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,56,6930038849987158,10,10,10,10,10,10,10,10,10
TKLRD66RN,ふじー,BKLW6CR5L,Mix鮭の空!!,15,57,6914852530978677,10,10,10,10,10,10,10,10,10
QH44G80K9,ぱとんく,11XTEEEJT,リンクラ料理部,15,58,6909165488349947,10,10,10,10,10,10,10,10,10
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十秭角,4,59,6904475141886026,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,60,6902948978441284,10,10,10,10,10,10,10,10,10
V578L0R6J,mion,PBRDPWEY1,村村会,15,61,6900531818449816,10,10,10,10,10,10,10,10,10
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,62,6897013505502319,10,10,10,10,10,10,10,10,10
9NMP2LJU2,d'Or,EYN9H9N16,蓮すきすきクラブ,15,63,6889011800239442,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,64,6863956521591041,10,10,10,10,10,10,10,10,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,65,6855377146032765,10,10,10,10,10,10,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,66,6847387597709147,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,67,6818870699604882,10,10,10,10,10,10,10,10,10
1FREY7CCF,ぱむぱむ,11XTEEEJT,リンクラ料理部,15,68,6800836287626152,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,69,6796852760657437,10,10,10,10,10,10,10,10,10
