player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,花帆,慈,小铃,吟子,瑠璃乃,梢,姬芽,缀理
B676D4CKM,まき,5YXVKDEKV,サークル(仮),0,1838,6477006738279653,7,10,9,10,10,5,10,4,5
KQJL49F8B,しゅが〜,K7JJTMPXB,チケキャン,12,1839,6476598199021628,10,10,10,10,10,10,9,10,10
IQ3SMZMFS,NEO,8FR866PRY,蓮っ子みらくラブ,7,1840,6476220542134781,10,10,10,10,10,10,10,10,10
NFHW3MHX0,カンナ,K4TAHF9YA,はすっこ準備室,2,1841,6473834365359762,10,10,7,10,10,7,10,7,10
FA4C0U7P4,主任,WN3625XFV,チーム自由,11,1842,6472229691350859,10,10,10,10,10,10,10,10,10
LF6E9CG7H,マリジャ,L15B25270,蓮女マネージャー,10,1843,6469021219466758,10,10,10,10,10,10,10,10,10
7GP8U9AL2,ぴかぴ,0UT59MJ8U,かほすこ同好会,3,1844,6468757625079203,10,10,10,10,10,1,8,7,10
521MU0XLT,ぬえ,CM5THHYHB,「」ノ空だけれど,12,1845,6466080221171360,10,10,10,10,10,10,10,10,10
N3X1PXZH9,にょえる,HBM31HMUY,YUKIZURI,9,1846,6463913209731464,10,10,10,10,10,10,10,10,10
DE5UYEDHQ,さぼてん,8M6UDX260,ぽけもん好き,13,1847,6460130543447011,9,9,10,10,9,9,10,10,10
TX8VZDBGI,てるい,CHYNT48H6,蓮ノ空新聞部,3,1848,6457546130277426,10,10,10,10,10,10,10,10,10
PCWYG7PXA,たぴおか,GMEF2K8DL,花咲く泥も好き²,4,1849,6456181281330649,10,10,10,10,10,10,10,10,10
A8FLKFA0G,ユニット,XPRA8TRVE,蓮ノ空ロボット部,4,1850,6455965272594045,10,10,10,10,10,10,10,10,10
QV9PR61S7,ふどう,WN5B7VKPU,きんぴられんこん,7,1851,6452918862001987,10,10,10,10,10,10,9,9,10
O7EIPY4EI,GS,3FF3NB77X,せーはす愛好会,2,1852,6452515829622290,10,10,10,10,10,10,10,10,10
ELMA5YEX1,Z宗木肖,7U20138DB,LGP,4,1853,6447471419986554,10,10,10,10,10,10,10,10,10
JVHAWHL1K,ヨウ,V7768X8AC,せーので！,15,1854,6445189528685953,10,10,10,10,10,10,10,10,10
N85MGWGJA,りなてん,7R8NKPAB1,花帆推し倶楽部,0,1855,6445178158442379,9,10,8,10,9,9,9,9,9
G96XGGQTF,餃子の花園,WBEK5AKNW,次世代蓮の空部,3,1856,6444595413311955,10,10,10,10,10,10,10,10,10
46A5H4H1W,ゆのくに転調,YFADYJVW4,FPS好きクラブ,7,1857,6434197180344877,10,10,10,10,10,10,10,10,10
439PDG459,まずか,8JMW9G2XW,僕らのリンクラ！,6,1858,6431509912900853,10,10,10,10,10,10,10,10,10
R5WEB9KV9,くりけん,B2KV0EVPD,蓮ちゅきクラブ,4,1859,6428803281579459,10,10,10,10,10,10,10,10,10
N8M4VIU27,りゃう,N0EXH1CM1,ぱちぱち徒町,2,1860,6428209943735291,10,10,10,10,9,10,10,10,10
WR5M7UDWK,ゼロクラン,LUDNM40F8,ふくふく無言OK,6,1861,6420315853876230,10,10,10,10,10,10,10,10,10
R5GW1UCPB,キラ,R9T0YKDW8,もちまち応援隊,1,1862,6409239450395808,10,9,10,10,9,9,8,8,10
RM8XVIS1J,ローレンス,V4A5MP41E,徒町チャレンジ！,15,1863,6409020955156017,10,10,10,10,10,10,10,10,10
0C4XH2P8K,ちろる,HBK6KCRPP,無言でおけ,4,1864,6406006125190341,9,8,10,10,7,9,8,8,10
TVH6NVA7T,うさっちゃ,V830CTTX3,日野下後輩,7,1865,6405983645152448,10,10,10,9,10,10,10,10,10
V5WH9X9NW,ヒトシ,H0DV3JJGA,かほさやてぇてぇ,12,1866,6404875590751195,10,10,10,10,10,10,10,9,10
0LA3F3HXB,来蔵後味,ABU58EVJ2,Quatuor,3,1867,6403149296107686,7,9,8,6,10,10,9,9,9
UC2XHTF7W,なま,ABALH0AL3,楽園計画,1,1868,6392799020984871,9,8,10,10,8,9,9,8,10
B1F0B03DC,Tsuki,3FF3NB77X,せーはす愛好会,12,1869,6392179649210652,8,7,10,8,9,9,7,8,10
X0GQORFOT,灼熱カバディ完結,F2CFWVMY9,藤島め組,12,1870,6383811082311064,10,10,10,10,10,9,10,9,10
I1D51RNAU,"AKIRA,s",31A7JKC69,蓮好きの巣窟,15,1871,6383425760777776,10,10,10,10,10,10,10,10,10
VMTBMK4LR,きょーすけ,573J1JVVK,かほかほ,2,1872,6382436786160671,10,10,10,10,10,10,10,10,10
30LH94C60,びん,GKR9TEBYC,毎日がホリデイ♪,15,1873,6381013279983194,10,10,10,10,10,10,10,10,10
M9W9N3QSR,ダノンおしゃんT,CX967RTGY,おんゆあさーくる,3,1874,6376795026934067,10,8,10,10,8,10,8,10,10
UMVG7J10Y,おーたー,EPWMMAXNY,蓮ちゃん初心者,3,1875,6376010617827204,10,10,10,10,10,10,10,10,10
6FBPZCLEW,古鴉夢,60D1TTYTV,無言自由会,10,1876,6374203293186474,10,10,10,10,10,10,10,10,10
B8GEMJUDW,桜木花道,KW0RM1LEP,はすっこくらぶ,12,1877,6371441534698101,10,10,10,10,10,10,10,10,10
551YW8KVB,カミュ,K2L5DCVNR,REAL,4,1878,6371350238357456,10,10,10,10,10,10,10,10,10
5N9RR25L2,あさひ,DH6C5B7WF,蓮ノ空FC,8,1879,6370017689795421,10,10,10,10,10,10,10,10,10
RVCURAXF3,めっち,CT8XW752X,蓮ノ空写真部,9,1880,6369823595715814,10,10,10,10,10,10,10,10,10
OWDPYJQZ9,ゆう,11XTEEEJT,リンクラ料理部,7,1881,6367117175054090,9,10,9,9,10,8,10,8,9
3696CQRVA,じょるつん,MVMP6NNXD,空き時間らくがき,6,1882,6365343545083048,10,10,8,9,10,10,9,8,10
2ESEUE909,やまやま,3194B9E93,初心者寄り合い所,4,1883,6363171390151592,10,10,10,10,10,10,10,10,10
YC8AHBBCX,ふろっず,D7H8MN2U4,LLD,7,1884,6362324618235676,10,10,10,10,10,10,10,10,10
Y9DEXKEKI,ぐっさん¥,WN5B7VKPU,きんぴられんこん,0,1885,6356580636815229,10,10,10,10,10,10,10,10,10
J58T7F4U5,和,Y2HV0YEF7,蓮ノ空を応援し隊,1,1886,6355490571617370,6,8,9,7,7,7,7,6,8
ISK5MIR6S,みぃ,R181MKNX1,みらくらは人生！,7,1887,6355061911074233,10,10,10,10,10,10,10,10,10
HAMDUHENP,ヨーソロ,V7768X8AC,せーので！,3,1888,6355031071914217,10,10,10,6,6,10,10,7,10
K397Y27G5,キョウ,2NY9H8BR9,乙宗紅茶館,6,1889,6352737094288386,10,10,10,10,10,10,10,10,10
WGOPEUKC7,さかさ,HWJ8XPW0T,箱推しなのだけど,3,1890,6347294113329732,10,10,10,10,10,10,10,10,10
BSGRWC7TI,けんたす,WHWT61ELR,【無言】ハスノソ,12,1891,6346091487028768,10,10,10,10,10,10,10,10,10
715HWUL7M,クラリス,B5V2LNN43,WMW,9,1892,6345356442302981,10,10,10,10,10,10,10,10,10
6ZQDZ2WMR,きらむ,FE282F3VH,天悶部,6,1893,6342843369024246,9,8,10,9,8,7,9,7,8
AP1R1QMI3,ますヲ,J7N4W6Y1K,こずミックラブ♡,2,1894,6335878152569221,9,9,10,9,9,9,9,9,9
7WEHEX7T9,あやね,DH6C5B7WF,蓮ノ空FC,10,1895,6335647731430153,10,10,10,10,10,10,10,10,10
QQSNTXEJ1,Takchan,NG47YWRR1,繚乱！蓮ノ空,5,1896,6333677791155733,10,10,10,10,10,10,10,10,10
L5TXUMJED,LaMeeska,2JVBK752G,卍愛蓮説卍,7,1897,6332892951056614,10,10,10,10,10,10,10,10,10
61RXN1MFW,ヒビー,WAT20PN3Y,こな党,4,1898,6330447912142850,7,10,10,9,9,8,10,6,10
X4GUKVXQU,マロニー,DH6C5B7WF,蓮ノ空FC,12,1899,6328376110602108,10,10,10,10,10,10,10,10,10
YRYBVERHB,いるかす,R9T0YKDW8,もちまち応援隊,1,1900,6326111313229278,10,10,10,10,10,10,10,10,10
