player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,姬芽,花帆,梢,瑠璃乃,吟子,小铃,缀理,さやか
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,14,43,4457101191369931,10,10,10,10,10,10,10,10,10
P3O3FFU0F,てんま,EYN9H9N16,蓮すきすきクラブ,9,44,4449497695313459,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,8,45,4440530675675514,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,46,4428468901176550,10,10,10,10,10,10,10,10,10
ZWGHFBK3S,DSsuzu,BKLW6CR5L,Mix鮭の空!!,15,47,4428238996850550,10,10,10,10,10,10,10,10,10
5UT1FEC2R,きんちゃ,FVJFA973A,蓮ノ空愛好会,4,48,4422929705144061,10,10,10,10,10,10,10,10,10
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十垓角,4,49,4416520073138556,10,10,10,10,10,10,10,10,10
L5FWMMCWN,ひよこ,PBRDPWEY1,村村会,9,50,4410826458149778,10,10,10,10,10,10,10,10,10
NLNKEMVRB,なのはな,BKLW6CR5L,Mix鮭の空!!,13,51,4406797566314540,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,52,4382659161128381,10,10,10,10,10,10,10,10,10
8GYTX89XA,しづ,FVJFA973A,蓮ノ空愛好会,15,53,4382168935087505,10,10,10,10,10,10,10,10,10
8XP3JM3HY,ちかりこ,CX967RTGY,おんゆあさーくる,13,54,4381845897414690,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,55,4366123713203711,10,10,10,10,10,10,10,10,10
BRJ0XWX77,しいのき,EYN9H9N16,蓮すきすきクラブ,15,56,4360524768394951,10,10,10,10,10,10,10,10,10
QH44G80K9,ぱとんく,11XTEEEJT,リンクラ料理部,15,57,4359341646003844,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,58,4347001102507745,10,10,10,10,10,10,10,10,10
