player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A RANK,结算前A分数,结算前B RANK,结算前B分数,结算前C RANK,结算前C分数,结算前音游 RANK,结算前音游分数,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
1F9AN5SC8,ゆきひと,XL1M7KUPL,始めたばかりです,791,0,11938,273880,10929,2656824,10027,7780338,10940,2243797,0,0,1,3,1,6,1,1,1,5,19
58ZGCJ71P,フクロウ,8JMW9G2XW,僕らのリンクラ！,1065,5,11939,273700,10975,2428394,10720,2633176,10281,5797243,0,0,7,5,9,10,5,8,5,7,56
PEXV044P3,まかろに,8J1GJT2BC,近畿の大金沢,520,0,11940,273524,0,0,0,0,0,0,0,0,6,3,6,3,1,6,4,2,31
RV4HR8EMU,ロペス,68MTL2RGE,スクステ沼津支部,833,2,11941,273340,10406,7705315,11830,482528,10833,2661988,0,0,2,3,3,10,5,10,1,4,38
MTN6BL54Y,アーシャ,N6T2MVATD,まったりサークル,769,0,11942,273290,9082,332119011,8634,203188551,8557,360596045,0,0,1,3,4,4,2,4,5,4,27
0SHGH6YD4,高宮 なすのＰ,JU476V6K9,ポチッ！,873,0,11943,273200,8731,736275830,8813,125110392,9538,23995361,0,0,6,4,2,2,4,5,4,10,37
XAB9DC77D,セイミ,LUDNM40F8,ふくふく無言OK,331,0,11944,273110,8688,810215109,9827,11569901,9197,59608188,0,0,6,7,8,4,5,10,5,9,54
SI8I8RWGV,fam,BW38LDPRF,蓮浦の星空,860,2,11944,273110,10921,2679059,9917,9701500,10545,3796203,2192,107478233,6,2,7,9,4,7,8,8,51
ZJA0WYIK8,しゃけ,6E1405RMG,秘境,1280,6,11946,272800,10490,6056596,11201,1454810,10529,3864274,0,0,5,4,1,6,4,4,1,5,30
6UF7V3MTG,たぬこ,T48KV9EP2,無言ぱーく,235,0,11947,272530,10631,4601600,10384,4549350,10923,2299807,0,0,8,7,8,7,4,9,8,10,61
E6UEARDD7,KTH42,CJWR9P8LM,花帆さん愛でる会,609,1,11948,272080,11413,1026461,10619,3133003,10428,4514338,0,0,1,9,1,2,2,1,2,2,20
6OB3PXZXA,ジョーニアス,GWGDMA3YC,初心者無言自由だ,681,0,11948,272080,11043,2074995,10327,4880274,10379,4945904,0,0,2,2,2,6,7,10,5,5,39
MKWPULHN3,とうふイオ,ULUELCJ7T,なるようになる？,900,4,11950,271985,0,0,0,0,0,0,0,0,4,4,8,4,1,1,1,1,24
U3G47L63L,齁,Y6KN85L5P,孤独の村人,228,0,11951,271814,11221,1443756,11131,1580882,11638,806484,0,0,2,4,4,2,1,1,4,4,22
79XB2BVMX,N,BYA3FA0X8,無言ぼっち同好会,912,0,11952,271670,11502,916807,8834,119962905,8184,715760874,0,0,6,4,4,9,4,8,4,7,46
EO1SHYUQP,トラクロ,M49MMBK4F,スリーズパーク,332,0,11953,271310,9321,160880474,8092,666514466,11868,352303,0,0,1,2,1,2,1,1,1,1,10
U6AT9JVN6,なか,9U8KNU6U9,対抗戦用,727,0,11954,271301,0,0,0,0,0,0,0,0,4,2,1,6,2,2,4,4,25
5UM0Q3UJB,嵯峨政風,RM7N1JDB5,無言推奨不干渉会,976,0,11955,271270,10627,4617024,10531,3653451,10706,3085207,0,0,6,6,7,7,6,7,5,7,51
ZJ7LK3VTO,おちゃ,57UT319NN,蓮ノ空同好会,413,0,11956,271130,11199,1506345,11290,1281823,10382,4876876,0,0,4,8,8,4,1,4,5,7,41
T2YHMA9BC,life0,VXDPPJJL1,蓮ノ空リボ課金部,1117,0,11956,271130,9967,23331252,10350,4754487,8118,798959114,0,0,7,4,5,5,4,7,5,7,44
367NN695K,ヒイラギ,V8XX999F6,卍蓮村幼稚園卍,197,0,11958,271090,10405,7716888,10496,3799891,11121,1811357,0,0,4,5,1,2,1,1,3,1,18
