player_id,player_name,search_guild_key,guild_name,DR数量,rank, point , 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,1," 17,495,000 "," 710,481,048,412,195 ", 6 ," 629,523,026,060,240 ", 1 ," 674,981,286,728,264 ", 1 ,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,M5LHG6R4T,乙宗家執事連合会,16,2," 17,445,000 "," 694,790,248,760,226 ", 26 ," 605,824,394,166,663 ", 2 ," 631,705,019,632,449 ", 3 ,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,3," 17,375,000 "," 717,133,904,167,621 ", 2 ," 594,951,628,870,061 ", 9 ," 620,958,202,868,634 ", 11 ,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,4," 17,325,000 "," 709,557,441,263,783 ", 10 ," 598,415,060,492,795 ", 5 ," 603,736,057,294,716 ", 20 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,4," 17,325,000 "," 701,250,552,285,185 ", 18 ," 586,404,366,840,925 ", 24 ," 621,672,310,327,085 ", 8 ,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,PBRDPWEY1,村村会,9,6," 17,290,000 "," 671,970,780,647,481 ", 48 ," 586,023,158,974,148 ", 26 ," 645,355,464,909,077 ", 2 ,10,10,10,10,10,10,10,10,80
7TAQGMS8W,ちかわさだよ,PBRDPWEY1,村村会,16,7," 17,175,000 "," 712,113,073,313,144 ", 3 ," 587,612,882,541,527 ", 22 ," 586,803,722,178,622 ", 27 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,M5LHG6R4T,乙宗家執事連合会,15,7," 17,175,000 "," 710,101,642,992,379 ", 8 ," 591,579,283,316,077 ", 13 ," 583,719,584,078,147 ", 32 ,10,10,10,10,10,10,10,10,80
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,9," 17,145,000 "," 694,601,282,347,160 ", 27 ," 591,922,904,734,282 ", 12 ," 621,598,390,118,645 ", 9 ,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,M5LHG6R4T,乙宗家執事連合会,16,10," 17,115,000 "," 710,956,315,381,105 ", 5 ," 572,000,131,834,613 ", 49 ," 595,023,490,681,782 ", 22 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ヴィクトワール,PBRDPWEY1,村村会,13,11," 17,100,000 "," 683,039,640,619,705 ", 39 ," 589,059,231,242,903 ", 17 ," 625,383,067,008,449 ", 6 ,10,10,10,10,10,10,10,10,80
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,16,12," 17,050,000 "," 695,205,145,303,090 ", 25 ," 586,622,940,646,765 ", 23 ," 578,690,520,908,516 ", 38 ,10,10,10,10,10,10,10,10,80
NT480V79A,ゆざくら,PBRDPWEY1,村村会,16,13," 17,000,000 "," 669,605,158,192,289 ", 53 ," 592,200,308,071,377 ", 11 ," 600,374,647,492,530 ", 21 ,10,10,10,10,10,10,10,10,80
D0RVYCT5J,MONO,PBRDPWEY1,村村会,12,14," 16,938,000 "," 707,020,008,152,977 ", 13 ," 604,360,303,703,853 ", 3 ," 622,516,231,468,011 ", 7 ,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,M5LHG6R4T,乙宗家執事連合会,16,15," 16,890,000 "," 717,320,060,954,205 ", 1 ," 584,622,509,218,954 ", 29 ," 565,064,392,215,008 ", 65 ,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,16," 16,795,000 "," 696,406,458,248,027 ", 23 ," 554,320,039,915,881 ", 83 ," 629,068,539,148,748 ", 5 ,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,PBRDPWEY1,村村会,16,17," 16,770,000 "," 711,479,357,102,968 ", 4 ," 595,076,396,413,495 ", 8 ," 485,617,469,557,306 ", 234 ,10,10,10,10,10,10,10,10,80
