player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,25,8280000," 604,917,716,085,184 ", 32 ," 529,667,198,126,558 ", 6 ," 498,042,578,307,194 ", 65 ,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗家執事連合会,12,26,8268000," 643,082,179,001,515 ", 3 ," 514,922,466,075,950 ", 17 , - , - ,10,10,10,10,10,10,10,10,80
J9C1NN8VB,CBCRR23,VW65MCVF8,スリスリーズ,16,27,8250000," 562,813,279,522,434 ", 68 ," 502,141,187,437,928 ", 50 ," 537,049,327,494,882 ", 5 ,10,10,10,10,10,10,10,10,80
7VE9T0CUP,デュランダル村長,PBRDPWEY1,村村会,16,28,8240000," 606,769,992,197,931 ", 29 ," 503,266,846,462,773 ", 46 , - , - ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,M5LHG6R4T,乙宗家執事連合会,9,29,8225000," 614,539,477,703,722 ", 26 ," 521,236,439,487,257 ", 11 ," 495,733,047,658,284 ", 71 ,10,10,10,10,10,10,10,10,80
AFMBX6BPP,美鳩,PBRDPWEY1,村村会,13,29,8225000," 587,895,947,033,445 ", 48 ," 495,937,640,584,715 ", 68 ," 525,371,793,616,098 ", 11 ,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,水すきすきクラブ,15,31,8215000," 606,739,240,643,450 ", 30 ," 507,665,111,322,912 ", 34 ," 503,535,247,819,996 ", 50 ,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,PBRDPWEY1,村村会,7,32,8210000," 623,853,953,885,096 ", 18 ," 500,641,268,463,683 ", 55 , - , - ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,33,8180000," 570,508,064,832,505 ", 63 ," 491,223,810,296,162 ", 75 ," 572,887,797,561,728 ", 1 ,10,10,10,10,10,10,10,10,80
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,34,8175000," 622,884,141,800,320 ", 20 , - , - ," 502,274,994,491,489 ", 53 ,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,16,35,8165000," 601,472,037,077,200 ", 36 ," 518,386,259,553,786 ", 12 , - , - ,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,水すきすきクラブ,16,36,8158000," 527,453,323,067,333 ", 126 ," 517,549,962,785,083 ", 14 ," 520,118,535,102,555 ", 15 ,10,10,10,10,10,10,10,10,80
JC33CNHML,かすかす,PBRDPWEY1,村村会,16,37,8145000, - , - ," 499,630,433,474,415 ", 59 ," 505,441,570,578,631 ", 44 ,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,16,38,8140000," 537,446,426,220,658 ", 95 ," 521,354,822,813,483 ", 10 ," 512,932,340,611,584 ", 31 ,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,M5LHG6R4T,乙宗家執事連合会,16,39,8130000," 606,224,619,994,495 ", 31 ," 514,996,480,650,549 ", 16 ," 491,857,329,916,732 ", 78 ,10,10,10,10,10,10,10,10,80
D0RVYCT5J,MONO,PBRDPWEY1,村村会,12,40,8128000," 643,717,325,911,267 ", 2 ," 479,169,843,259,939 ", 101 , - , - ,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,PBRDPWEY1,村村会,15,41,8125000," 623,099,933,630,231 ", 19 ," 409,217,910,397,749 ", 361 ," 512,172,486,685,285 ", 33 ,10,10,10,10,10,10,10,10,80
PFE7K6YNC,テニサー幹部,M5LHG6R4T,乙宗家執事連合会,10,42,8110000," 604,525,809,430,070 ", 33 ," 511,520,760,435,212 ", 28 ," 497,091,679,391,459 ", 69 ,10,10,10,10,10,10,10,10,80
7604CH5KV,つるぎ,PBRDPWEY1,村村会,16,43,8108000," 636,338,106,382,850 ", 5 , - , - , - , - ,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗家執事連合会,16,44,8094000," 630,478,004,310,757 ", 11 ," 511,337,838,200,043 ", 29 ," 465,906,810,787,134 ", 127 ,10,10,10,10,10,10,10,10,80
0Y3QCF38L,be proud,M5LHG6R4T,乙宗家執事連合会,8,45,8088000," 617,267,676,803,913 ", 24 ," 514,396,615,966,387 ", 20 ," 475,476,227,399,413 ", 112 ,10,10,10,10,10,10,10,10,80
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,16,46,8080000," 548,882,113,761,139 ", 81 ," 512,024,892,039,045 ", 27 ," 510,590,377,084,183 ", 37 ,10,10,10,10,10,10,10,10,80
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗家執事連合会,4,47,8065000," 579,940,801,241,227 ", 56 ," 509,615,383,155,014 ", 32 ," 461,017,191,317,709 ", 135 ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,紫ノ宮,YE7CX8RNP,蓮ノ大三十角ex,16,47,8065000," 585,884,429,029,069 ", 50 ," 500,026,616,911,137 ", 58 ," 509,856,554,008,087 ", 39 ,10,10,10,10,10,10,10,10,80
CZKJL4VOV,親戚プランタン,M5LHG6R4T,乙宗家執事連合会,15,47,8065000, - , - ," 514,799,535,605,605 ", 18 ," 504,322,843,324,399 ", 46 ,10,10,10,10,10,10,10,10,80
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗家執事連合会,15,50,8050000," 587,155,888,459,884 ", 49 ," 509,415,624,493,388 ", 33 , - , - ,10,10,10,10,10,10,10,10,80
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,16,50,8050000," 556,374,327,024,571 ", 74 ," 507,406,340,200,418 ", 36 ," 507,968,763,436,681 ", 41 ,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗家執事連合会,10,52,8045000," 610,999,724,671,593 ", 27 ," 499,321,122,525,206 ", 60 ," 500,874,492,259,499 ", 56 ,10,10,10,10,10,10,9,10,79
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,7,53,8025000," 591,268,864,174,418 ", 47 ," 506,733,553,219,544 ", 38 ," 498,698,553,194,551 ", 62 ,10,10,10,10,10,10,10,10,80
C9325WMEN,初恋ドア,PBRDPWEY1,村村会,14,54,8010000," 584,152,034,145,820 ", 54 , - , - ," 512,078,513,175,077 ", 34 ,10,10,10,10,10,10,10,10,80
6W15T8F42,しう,PBRDPWEY1,村村会,16,55,7985000," 559,007,649,967,370 ", 70 ," 491,688,318,257,495 ", 74 ," 517,199,999,334,916 ", 21 ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,56,7930000," 544,914,316,494,061 ", 87 ," 498,502,552,908,375 ", 62 ," 514,607,067,899,279 ", 26 ,10,10,10,10,10,10,10,10,80
