player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
N6DG1BVCJ,のいあ,LLDLG20UU,UR取り隊,923,6,13832,2657023,,,2,1,2,1,1,1,5,1,14
SLH3S1GRE,igacyon,1D7T2UXC2,無言でのんびり,395,0,13833,2655940,,,3,2,3,4,2,5,1,1,21
VJ1R93MCD,マーレ,3KJT6LNX8,花帆♡♡クラブ,533,1,13834,2654407,47770840.0,2588.0,9,1,2,8,1,1,5,3,30
9STYT1EVR,まつりばおじさん,AWD4726F0,スクスタ難民,251,0,13835,2654237,,,2,1,3,4,1,3,2,1,17
4ABYKW6WA,涼涼,J83JWJ028,大ㄇㄚˊ露營區,662,0,13836,2653273,,,9,5,7,5,1,3,1,9,40
4GK496UTY,Virginia,8MDA3A0AK,イベント用,611,1,13837,2650413,,,2,5,10,5,4,4,4,5,39
0G7NS30JB,ゆううう,18YYNRFGA,LotusSky,172,0,13838,2650355,,,7,6,6,3,3,4,2,2,33
HEAR0EBTY,セラスすきすぎ♥,GG56G6WKD,FF43企鵝冰屋,1051,0,13839,2650330,,,5,10,10,10,8,8,10,10,71
8CA76C3HB,ないぜるP,CWPWP1266,さすさや,412,0,13840,2648100,,,5,4,6,6,6,6,5,7,45
2UFHMKXH6,イサキ,4FN0KWB4G,無言参加大歓迎！,358,0,13841,2647341,,,4,4,10,8,2,7,8,8,51
QKZGHQ3YG,トコハ,TR057C1UW,蓮ノ空ぼっち部,981,8,13842,2646719,,,8,5,7,7,4,5,8,8,52
E1C2AL973,ラー油,N6TVG18P8,すきすきクラブ,250,0,13843,2646624,,,5,1,2,7,2,1,7,7,32
JDJ0Y8BLV,ドット,9P9EPKFHE,無言参加OK,741,0,13844,2646592,,,8,6,6,4,6,6,5,5,46
TBA8KKT8U,しえる,KJU0BU77M,無言交流なし,1021,5,13845,2646233,,,10,7,9,10,8,4,1,9,58
9GTAH3J0O,バンダージャット,RMUU3AH3X,蓮ノ空広島県支部,798,0,13846,2646073,,,4,5,4,4,4,1,7,6,35
M5U1GV6LP,ヒナリク,EWM0GK62C,誰でもどうぞ,696,2,13847,2645816,,,5,4,5,5,1,3,1,3,27
OWZRL8RVJ,春樹,UG4RWGR7J,春樹ングダム,967,7,13848,2645010,19954281.0,3228.0,2,1,2,1,1,2,1,1,11
942YW5G6U,たか,36DAM7HBL,蓮隠れノ里,917,5,13849,2644297,,,6,5,8,6,10,4,7,7,53
NPL4B2MJP,KT003,0PJ19NAE3,蓮ノ空同好会☆,545,0,13850,2643345,,,3,2,3,1,5,5,1,1,21
9RTF8PC2K,ガチャ禁します,B6KWXGHWH,蓮ノ空SIFC,802,7,13851,2642262,,,3,3,6,1,2,5,1,3,24
9XJTRZ1QN,ひるねネコ,0XP0581BH,迷待機室,659,0,13852,2641534,,,1,1,3,2,1,2,1,1,12
9WYCUJG9H,菅原初奈,WBXF9XXW7,さやつづ愛でる会,228,0,13853,2640921,,,9,7,4,2,1,2,8,7,40
K3365SCIS,愚者,BWD9U1EJ2,蓮之空中国同好会,857,0,13854,2640275,,,4,4,2,5,1,6,7,4,33
