player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A RANK,结算前B分数,结算前B RANK,结算前C分数,结算前C RANK,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
KB8UJ667N,ホワイトおでん,X7YM9EG8K,伝統の石川地酒,195,0,8134,2701110,0,0,0,0,0,0,78293938,2664,7,10,7,4,8,5,8,7,56
8J67T8FM0,トワイライト,5YEE75CB4,ロビーで待ってる,913,3,8135,2700930,1544130197,7391,17970978217,7108,18200631497,6609,72131220,2710,9,7,8,5,10,10,6,8,63
CJHCLWNDA,えに,K3LMN5JHH,金沢カレーの皿,1018,4,8136,2699340,1016204628,7533,40675003450,6451,19579924676,6561,0,0,6,5,6,5,7,6,7,8,50
2OI7RHX1I,エイジ,CEWV1CM7H,隣の芝刈り,1259,16,8137,2697870,0,0,0,0,0,0,79887545,2649,10,9,10,8,8,10,10,10,75
3VSG0CBK9,KIRA,2BB5YVRFL,蓮好き好きクラブ,990,4,8138,2696610,8425187428,6739,9339491010,7532,20630323777,6513,39193396,3382,4,4,6,6,7,5,8,9,49
7H6Q3HRIZ,KUMA,MVMP6NNXD,空き時間らくがき,1070,7,8139,2696425,654622860,7644,2751553292,8245,43561275086,5981,0,0,6,1,4,1,8,1,6,8,35
HVLY4MXC4,はすにゃん,XPX36F6JX,無言初心者お試し,673,0,8140,2696070,11127222928,6627,26648104104,6824,3939632220,7488,0,0,5,6,6,1,4,1,5,5,33
TH083MUBT,ぐちやま,DHKUGEWBJ,めぐ党虹ヶ咲支部,252,0,8140,2696070,9429745538,6701,21283335726,6990,2332067954,7784,0,0,4,2,3,1,1,3,3,1,18
VNL4H8L9G,ちりりん,WJY2HK6A5,蓮の空イベント部,316,0,8142,2695587,306753386,7843,301820809,9386,319173328,8960,0,0,5,1,8,7,9,1,9,8,48
47ZGCDV2P,akz,A73H7ENN2,エロマンガ同好会,1220,4,8143,2695550,2510377597,7224,23649020989,6909,13938496684,6782,0,0,7,4,6,1,8,7,9,10,52
ULB35973K,テイル,NT2KU5174,こずかほ。,996,0,8144,2694360,7062067,8977,665859320,9034,2746883915,7691,81170348,2635,7,7,7,6,7,2,9,9,54
V4XPV38LV,すず,GVATEX7GC,のんびり,949,6,8145,2693118,219244496,7959,454583177,9211,3475593869,7570,0,0,10,10,9,8,9,9,5,10,70
3X63CAAL3,OKP,2VJG66JTH,まったり,530,1,8146,2692830,5421449793,6908,18515631719,7087,9943786633,6971,0,0,6,3,2,3,3,1,1,2,21
2GRGTU1CA,レーヴェン,B5LABACNK,ソロ専クラブ,688,0,8147,2692630,9459023359,6699,12411197511,7356,2163996400,7837,0,0,4,7,2,5,1,6,7,7,39
