player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A RANK,结算前B分数,结算前B RANK,结算前C分数,结算前C RANK,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1680,15,1,26940000,4109050,9231,940672379,8898,15129439762,6707,15115724754,1,10,10,10,10,10,10,10,10,80
4YTEQDE04,モブノデレラ,EYN9H9N16,蓮すきすきクラブ,1625,15,2,26760000,0,0,2238234136631,5,5587544140549,59,14892052714,3,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1430,16,3,26730000,223426814009,3866,146714667794,4716,579907133029,2858,14867414471,4,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1649,16,4,26610000,2489836393350,16,2335690986724,1,6454614627957,8,0,0,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1685,17,4,26610000,1412815493942,303,1545200952398,181,4291922889873,168,14953262316,2,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1661,16,6,26595000,168681082621,4356,102844365276,5349,41665861162,6019,4102526051,434,10,10,10,10,10,10,10,10,80
7604CH5KV,.,FK5MUK0ET,くる♡すきクラブ,1710,17,7,26495000,2607911169854,6,2258020391667,3,6415278946944,10,0,0,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1568,17,8,26490000,2606323644632,7,2053811002758,32,6517154841908,5,14806732403,5,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1542,16,8,26490000,2340643694933,46,2181186904982,13,5583815484520,60,14782191047,6,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,1519,15,10,26405000,2457540768522,23,2210766845165,9,6429431996308,9,0,0,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,ﾁｭｹのｼｭｼｭ,3F9P3U95T,ଳ天地鱏明の空ଳ,1630,17,11,26295000,2496966234883,13,2001918955618,43,6899809497024,1,0,0,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1624,15,12,26275000,2590981579685,8,2214631395161,8,6333502655997,13,0,0,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1649,15,13,26265000,2371594997779,38,2049170122680,34,5521572784152,68,14343644601,12,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1749,16,14,26205000,1540148344885,242,227585793827,3853,1714975079544,1144,14344041397,11,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1694,15,14,26205000,0,0,0,0,0,0,14299752594,13,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1741,17,16,26145000,1270194411986,386,1575607820857,168,4264005819407,172,14484529296,10,10,10,10,10,10,10,10,10,80
