player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A RANK,结算前B分数,结算前B RANK,结算前C分数,结算前C RANK,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1683,15,1,35910000,298007455,7752,12185447630,7297,6816400319,7144,15115626205,1,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1431,16,2,35640000,2620517564098,44,1874789734595,138,5906647916976,87,14867208461,4,10,10,10,10,10,10,10,10,80
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,1628,15,2,35640000,2851376896389,11,2443537902035,6,7183360906182,6,14892566243,3,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1661,16,4,35595000,172431173739,4396,181073273259,4436,329562029105,3908,4102829032,456,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1687,17,5,35550000,2018476947,7166,3388653023,8067,56502686030,5746,14953558545,2,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1649,16,6,35540000,2968979977967,3,2499655552389,3,7252519460086,4,0,0,10,10,10,10,10,10,10,10,80
7604CH5KV,.,FK5MUK0ET,くる♡すきクラブ,1712,17,7,35345000,2932414220309,4,2431678051069,7,7174791120409,7,0,0,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1569,17,8,35340000,2981794979345,2,2447228965078,5,6900827475707,15,14807285043,5,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1544,16,9,35310000,346594885359,3014,2361514816043,14,6308516363838,59,14782748840,6,10,10,10,10,10,10,10,10,80
ZYAP6N76H,鐘,3F9P3U95T,ଳ天地鱏明の空ଳ,1521,15,10,35125000,2928346195265,5,2430733836507,8,6694631055453,25,0,0,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,ﾁｭｹのｼｭｼｭ,3F9P3U95T,ଳ天地鱏明の空ଳ,1631,17,11,35090000,2742337959204,23,2468232060693,4,7270768972864,2,0,0,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1651,15,12,34935000,2698144500432,28,2107942271500,68,5926838185877,85,14342657072,12,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1749,16,13,34890000,13703760443,6439,30082462366,6665,186154047074,4638,14343280918,11,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1744,17,14,34845000,27382259,8459,384030968,9217,6470109376,7180,14486377549,10,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1697,15,14,34845000,0,0,0,0,0,0,14300903074,14,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,1522,13,14,34845000,0,0,0,0,0,0,14742583541,7,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1628,15,17,34835000,2674951758235,33,2377049103783,13,6921582146267,14,5167705778,316,10,10,10,10,10,10,10,10,80
LP0BEDRF6,笑ってフラジール,YE7CX8RNP,蓮ノ大三十角ex,1693,17,18,34755000,4115188611,6918,9789004911,7440,7049441664,7117,14718768374,8,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,1742,15,19,34750000,0,0,2413878336606,10,7044707953484,9,0,0,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1491,17,20,34745000,2539394042426,58,2516059960340,2,7385564440447,1,0,0,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,1528,15,21,34635000,110337707946,5004,245687588598,3829,324416608536,3929,13750832514,16,10,10,10,10,10,10,10,10,80
6NJM4GUG6,吟子ォ！,3F9P3U95T,ଳ天地鱏明の空ଳ,1687,9,22,34590000,2525908518939,64,2430244299839,9,7187941591295,5,0,0,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1612,16,23,34570000,2671088442716,34,2340628636574,16,6794233592535,18,14061555958,15,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,1690,17,24,34560000,2396016475,7106,2196031143,8310,9134381645,6967,14636592476,9,10,10,10,10,10,10,10,10,80
64M70NFSR,いなば,YE7CX8RNP,蓮ノ大三十角ex,1628,15,25,34530000,21376442,8557,541204695,9063,24069008407,6383,14341982863,13,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,1629,15,26,34515000,33760262189,6000,48144710555,6236,41698400035,5988,13453432249,18,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,1351,17,27,34410000,0,0,0,0,0,0,13524287270,17,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1422,12,28,34346000,2531363264202,62,2272565566645,37,7067459825218,8,0,0,10,10,10,10,10,10,10,10,80
