player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK , 结算前音游分数 , 结算前音游 rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,1602,9,24,8650000," 1,993,345,576,573 ", 6 ," 1,659,667,791,570 ", 12 ," 4,309,043,987,277 ", 27 , - , - ,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,1558,17,25,8640000," 1,783,194,344,182 ", 37 ," 1,743,387,649,780 ", 4 ," 4,766,416,425,540 ", 9 ," 8,716,515,761 ", 72 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,1518,13,25,8640000," 290,560,774,637 "," 2,597 "," 882,198,961,947 ", 511 ," 2,689,047,840,459 ", 332 ," 13,122,714,606 ", 15 ,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1607,16,27,8625000," 1,960,419,837,417 ", 11 ," 1,130,475,678,434 ", 239 ," 4,575,122,432,580 ", 13 ," 12,661,861,000 ", 21 ,10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,1660,16,28,8610000," 1,894,523,876,155 ", 19 ," 1,130,948,382,054 ", 238 ," 3,919,914,889,794 ", 61 ," 13,020,066,962 ", 16 ,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,1595,15,28,8610000," 1,900,506,514,271 ", 18 ," 1,523,388,213,754 ", 33 ," 5,029,750,819,143 ", 3 ," 5,506,298,136 ", 196 ,10,10,10,10,10,10,10,10,80
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,1620,17,30,8605000," 1,834,366,645,680 ", 29 ," 1,593,262,796,309 ", 19 ," 4,850,288,778,304 ", 5 ," 1,713,884,440 ", 869 ,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1660,16,31,8595000," 824,901,981,943 ", 499 ," 745,827,547 "," 8,581 ", - , - ," 4,168,078,106 ", 326 ,10,10,10,10,10,10,10,10,80
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,1691,17,32,8585000," 1,873,082,384,035 ", 21 ," 1,659,480,293,556 ", 13 ," 4,521,911,126,769 ", 17 ," 3,937,967,805 ", 353 ,10,10,10,10,10,10,10,10,80
FZMYZZPRK,彩花,B2KV0EVPD,蓮ちゅきクラブ,1341,15,33,8580000," 125,983,371,085 "," 4,441 "," 48,496,184,234 "," 6,049 "," 5,276,366,965 "," 7,144 "," 12,927,958,623 ", 17 ,10,10,10,10,10,10,10,10,80
WBWATJ60W,はとぴ,YE7CX8RNP,蓮ノ大三十角ex,1502,17,34,8565000," 228,697 "," 10,690 "," 4,830,692 "," 10,259 "," 6,700,063 "," 10,022 "," 12,786,819,186 ", 18 ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,3F9P3U95T,ଳ天地鱏明の空ଳ,1701,13,34,8565000," 1,903,189,428,297 ", 17 ," 1,621,314,415,346 ", 17 ," 4,394,458,852,653 ", 21 ," 10,581,410,037 ", 51 ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,1718,15,36,8550000," 4,310,243,424 "," 6,835 "," 7,959,825,806 "," 7,394 "," 149,427,039,633 "," 4,566 "," 12,786,793,769 ", 19 ,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1674,17,37,8535000," 546,727,431 "," 7,520 "," 2,889,509,128 "," 7,946 "," 6,681,444,598 "," 6,998 "," 12,696,361,093 ", 20 ,10,10,10,10,10,10,10,10,80
L2WFYHDCX,khani,0TKFF5EG3,サークル名募集中,1236,17,38,8520000," 67,092,061,760 "," 5,297 "," 150,512,869,501 "," 4,271 "," 236,715,480,830 "," 3,987 "," 12,547,752,639 ", 22 ,10,10,10,10,10,10,10,10,80
0USG3I0AK,KK,11FB0EDDT,スクステ同好会,1498,15,39,8505000," 632,047,520,101 ", 896 ," 486,814,997,331 "," 1,381 "," 1,493,394,802,951 ", 990 ," 12,398,584,604 ", 23 ,10,10,10,10,10,10,10,10,80
IEBYCC1D7,わらび餅,RFYKY8DCD,LA.LA.LA,1560,14,40,8500000," 1,962,257,805,807 ", 9 ," 1,449,441,185,517 ", 46 ," 4,560,414,549,863 ", 14 , - , - ,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,1623,17,41,8490000," 1,734,420,937,583 ", 45 , - , - ," 3,396,806,249,549 ", 133 ," 12,385,301,497 ", 24 ,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,1603,17,42,8475000," 1,883,394,052,072 ", 20 ," 1,530,136,241,357 ", 29 ," 4,338,597,751,084 ", 22 ," 4,223,881,933 ", 316 ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,秘密インシデント,YE7CX8RNP,蓮ノ大三十角ex,1692,17,42,8475000," 1,702,842,848 "," 7,167 "," 2,576,569,750 "," 8,000 "," 644,512,943 "," 8,247 "," 12,344,407,599 ", 25 ,10,10,10,10,10,10,10,10,80
