player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
ZA8HHDJM4,中川夏紀,EYN9H9N16,蓮すきすきクラブ,15,425,12284000,10,10,9,8,9,9,10,10,75,55
K8NUIOH6S,アッツン,J8HXTJ8TB,流し素麺同好会,15,426,12275000,10,10,10,10,10,10,10,10,80,60
MGO4M6TKM,ユノ,GVT61ATX0,なのだけれど,6,427,12271000,10,9,10,10,10,10,10,10,79,59
ED3WCG3KU,しゅ,R1RM3X0WV,後方腕組みオタク,8,428,12269600,10,9,10,7,8,9,10,7,70,53
LWPHMPLJH,日向 みのり,05KN1RR3U,さやかほ花卉園,15,429,12269000,10,9,10,10,10,10,8,8,75,59
N48B8N6QZ,こうて〜,CM5THHYHB,「」ノ空だけれど,15,430,12257000,10,10,10,10,10,10,10,10,80,60
X7RPCH2CD,アレックス,0TKFF5EG3,サークル名募集中,15,431,12236000,10,10,10,9,10,10,10,10,79,59
YLYWCNDGK,かいゆー,FC8NBAJBT,ラー麺二郎金沢店,15,432,12233000,10,8,10,9,10,9,10,10,76,56
XDEB1EAPH,通りすがり,V4A5MP41E,徒町チャレンジ！,15,433,12220000,10,10,10,10,10,10,10,10,80,60
W23S0ECDZ,もりっく,2DYYAPFVN,蓮っ子村,15,434,12217000,10,10,10,10,10,10,10,10,80,60
4WPGNU9FX,ラミュタス,PBRDPWEY1,村村会,7,435,12215000,10,9,10,8,8,8,10,10,73,53
NXLLUPEY0,ゆ〜いん,R181MKNX1,みらくらは人生！,12,436,12190200,10,10,10,9,10,10,9,10,78,59
7LOYVCMEZ,るべ,HBUK6F7CC,乙宗梢なりきり部,2,437,12185000,10,10,10,10,10,10,10,10,80,60
AMWA5QPIS,かみきれ,W26TRPM1R,めぐ党藤島派,15,438,12183000,10,10,10,9,10,9,10,10,78,58
0HPLRU7YX,すみたく,KT4C59NXG,めぐ島（仮）,15,439,12181000,10,10,10,10,10,10,10,10,80,60
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十角ex,10,440,12167000,10,6,8,5,8,7,10,8,62,44
2E7QQUULE,sho,B5V2LNN43,WMW,15,441,12166000,10,10,10,10,10,10,10,10,80,60
ED8PM57Y1,げんいちろー,49AMYCXCD,ルドベキア,4,442,12163000,10,7,10,7,10,9,10,10,73,53
HU55NKXPK,ヒロインズ,EYN9H9N16,蓮すきすきクラブ,15,443,12149300,10,7,10,7,9,7,8,9,67,50
DE7022HYW,ルビー,RFYKY8DCD,LA.LA.LA,12,444,12143000,10,10,10,10,10,9,10,10,79,59
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,445,12142000,10,10,10,10,10,10,10,10,80,60
JTKBKTH2T,かど・フロンタル,PBRDPWEY1,村村会,9,446,12133000,10,9,10,8,10,8,10,10,75,55
BGHQZ7N7W,の〜ヴぁ♪,GKR9TEBYC,毎日がホリデイ♪,15,447,12129000,10,8,10,9,9,9,9,10,74,55
ELL9GH53G,びよん,V4A5MP41E,徒町チャレンジ！,15,448,12125000,10,8,10,10,9,9,10,9,75,56
6AEKZEMQ6,ふゆねこ,BKUHCT7WF,蓮女お嬢様部,15,449,12088000,10,9,10,9,8,9,8,10,73,55
F8KHAHURM,スバル,JTX1G19BP,さやかほ癒し会,15,450,12085000,10,10,10,10,10,10,9,9,78,60
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,14,451,12082700,9,7,7,1,8,2,8,9,51,34
AJ713D5X4,キョウ,RFYKY8DCD,LA.LA.LA,3,452,12079000,10,7,10,7,9,7,9,9,68,50
MC10A5K27,マヒナペ,0UT59MJ8U,かほすこ同好会,9,453,12078200,10,9,10,8,9,9,10,10,75,55
NK48LNWT8,Eri_Maki,1BME38BCD,さすさやクラブ,13,454,12062400,10,9,10,9,9,9,9,10,75,56
JHA2S8IM3,pano,GKR9TEBYC,毎日がホリデイ♪,15,455,12062000,10,10,10,10,10,10,10,10,80,60
V7YLMH2IY,右手首捻,PBRDPWEY1,村村会,15,456,12061600,10,9,10,8,10,8,7,9,71,55
A3GT3EAPG,ichiro_j,0TKFF5EG3,サークル名募集中,15,457,12053000,10,10,10,10,10,10,10,10,80,60
RD2UKKFRU,ヒツジグマ,RWARTHA1M,乙宗梢大好き部,12,458,12050000,10,6,10,6,9,7,10,9,67,48
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,15,459,12026000,10,8,10,8,9,8,10,10,73,53
2XIASO3ML,もの。,95031TR10,ひめぎん文化会館,6,460,12012000,10,10,10,9,10,9,6,10,74,58
Y9VUZJIT2,とっし,X7C21B7H7,泥,10,461,12002000,10,8,10,7,9,8,8,9,69,52
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,462,11997000,10,9,8,8,8,8,10,10,71,51
SMHTGNN80,ブルー,1BME38BCD,さすさやクラブ,15,463,11990000,10,9,10,8,10,9,9,10,75,56
RZ2VFDOTK,安心,8R49BTWW6,蓮女お嬢様クラブ,15,464,11989000,10,9,10,9,9,9,10,10,76,56
7F72YZWZM,K-GO,V4A5MP41E,徒町チャレンジ！,15,465,11987000,10,8,10,8,9,9,9,9,72,54
XK44KNPLR,C_T4KE,GXR6C85BT,花帆ちゃん親衛隊,13,466,11984400,10,6,10,7,10,6,10,10,69,49
PE08U0X7E,きちよぎ,0EL43A30P,こころのいろは,13,467,11982000,10,9,10,8,10,10,9,10,76,57
EIJ9NR6QJ,もんじゃくん,11FB0EDDT,スクステ同好会,11,468,11978000,10,10,10,10,10,10,10,10,80,60
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,469,11974200,10,7,10,7,10,8,8,7,67,52
CQSYMDA64,やっちゃん,1DU9LCND7,蓮ノ空すこやか部,9,470,11974000,10,10,10,10,10,10,10,10,80,60
FWJDTTNBY,ヤジロベー,LCJPXXXL2,カリン塔,13,471,11971500,10,9,10,8,10,9,8,10,74,56
