player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,音游分数,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
3GWWIDCBG,九代目松本梢四郎,NMT63RUDV,泥村,1777,15,2350,8142600,,,10,10,10,10,10,10,10,10,80
T9035038D,^にゃおき^,VP0K6KF0K,蓮ノ空大好き!!,901,2,2350,8142600,,,8,6,7,9,8,6,4,5,53
BNLR2PWN4,かいいぬ,GN1798YEX,ド!ド!同好会,1460,9,2350,8142600,,,9,7,7,8,9,8,8,4,60
IKGXEWZ7Z,saka,JDAG79TG7,百合ノ空観察部,1441,9,2353,8142440,,,9,7,6,6,7,7,5,1,48
16J4RMFUM,めぐります,MUXWTW1GV,蓮の空見守り隊,907,2,2354,8140720,,,8,7,10,10,8,7,8,3,61
B19R6K9CH,みど★みど,F8MLHU2NV,乙宗梢様､､､,1466,15,2355,8140600,,,10,10,10,10,10,10,10,10,80
8S4KJM7JG,白水かなた,Y2P9LABR2,スクステ同好会③,1580,10,2356,8140200,,,10,9,10,10,10,10,10,10,79
52KQKW48S,nikki,787M83PDC,FU€TORY,1426,19,2357,8139000,,,10,9,9,10,10,10,10,8,76
LNP5811EV,ヌオー,BW38LDPRF,蓮浦の星空,1238,1,2358,8137400,,,10,6,9,7,7,7,9,3,58
4KDL64SOU,いけるる,8M2MFU9U0,リンクライブ,1369,15,2359,8136800,,,10,8,7,10,10,8,10,7,70
APR7476BU,みなと定食,WHWT61ELR,【無言】ハスノソ,1428,19,2360,8135800,,,10,10,10,10,10,10,10,10,80
2DV683HDF,抹希(まっき),VW65MCVF8,スリスリーズ,1734,10,2361,8133672,,,10,10,10,10,10,10,10,10,80
QEVN5E2PF,ブレイヴ,KULVP7FDR,アニマル分室,1373,15,2362,8133600,,,9,9,10,9,9,9,10,9,74
AOBBJ0EIP,ホルモン皇子,5R48K950F,EDF蓮ノ空支部,890,2,2363,8133400,,,6,8,3,10,6,4,1,1,39
