player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,姬芽,缀理,瑠璃乃,梢,慈,小铃,花帆,さやか,季度等级
X0GQORFOT,灼熱カバディ完結,F2CFWVMY9,藤島め組,10,2698,329264474421434,5,6,10,8,7,9,5,7,8,65
HETR1NXDG,ack1011,XEENRBXCG,蓮ノ空休日クラブ,0,2699,329250801874071,5,7,8,8,7,7,6,8,8,64
RXH48G868,御前狐,BH244Y5H0,休暇建設協会,2,2700,328932760975348,5,6,9,6,9,10,6,9,8,68
FACXNTRM7,Anemone,7XH3K4GBT,LLP,4,2701,328841211450224,5,7,8,3,7,8,4,9,5,56
Y00NWBHFP,ラフェルノ,WHWT61ELR,【無言】ハスノソ,4,2702,328593890043314,3,7,8,8,8,8,6,9,8,65
STBVTN1A4,レイ,79C17CHA2,蓮ノ空出張部,1,2703,328532269085255,6,6,9,7,8,10,6,7,8,67
0KYQF022J,すみすみ,LY0XPW7NL,元カノ概念強火派,5,2704,328143072690298,4,5,7,5,4,7,5,5,7,49
Z8HTE470V,みすたそ,BW38LDPRF,蓮浦の星空,12,2705,328098850236769,8,9,9,9,9,10,7,10,8,79
E7V3X4DSA,あいせつか,PPAHU1TNY,蓮ノ空のんびり部,2,2706,327466355136698,6,7,9,7,7,10,5,6,6,63
J345LCDL6,すん,YNR28303K,りんくらぶ,0,2707,327286883885242,5,5,10,6,6,7,5,10,8,62
K9GA3WET1,つきみ,07JW71HWG,良いチケで観よう,3,2708,326930179427034,6,8,10,7,10,10,7,10,9,77
NJENP3TEO,ノム,998H940YN,お嬢様筋トレ部,4,2709,326901589464184,5,6,10,7,7,9,6,8,7,65
RR0BNJ6QX,ぐりか,CM5THHYHB,「」ノ空だけれど,3,2710,326691934223445,6,8,7,6,7,7,6,6,7,60
TP2EFMLU4,綿棒,VNEY6C9BE,スリーマーメイド,1,2711,326669524145138,4,6,10,7,8,8,4,8,6,61
JH3EAKFDR,わらし,NG47YWRR1,繚乱！蓮ノ空,3,2712,326524013642312,4,7,7,6,7,7,4,6,7,55
V2DLBNAGW,Espina,MVMP6NNXD,空き時間らくがき,6,2713,326293954447220,7,6,9,8,9,9,7,8,7,70
EU6AA5CWB,Tell_Inc,R083H7WRN,サークル無言,3,2714,326204757250187,7,5,9,5,10,8,4,9,6,63
D0XMY9EW7,ハララ,ATB27G5P2,おこめ茶寮,3,2715,326136675388898,5,7,9,6,8,9,5,8,8,65
AF9WUHL21,ふぃりあ,T56X6LP0L,光の海,0,2716,326096889743360,6,5,3,5,5,6,4,6,5,45
48RBUG2U8,クリオネ,RHU8M5VUL,幼馴染同好会,2,2717,325882842611394,6,7,8,7,9,9,6,8,8,68
69B4P3TW1,ルアルディ,PDMPF3VVV,r/LL,14,2718,325878652166115,1,1,7,4,5,4,1,6,7,36
