player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,吟子,さやか,瑠璃乃,慈,姬芽,花帆,梢,小铃,季度等级
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角,15,42,961219027621992,10,10,10,10,10,10,10,10,10,90
9ENVXR95K,マオ,NC2YT2V28,蓮之愛同予者何人,10,43,961159960509777,10,10,10,10,10,10,10,10,10,90
NLNKEMVRB,なのはな,H6JWBBGCG,蓮天・乙宗一心流,13,44,953113039132850,10,10,10,10,10,10,10,10,10,90
764KKEH5V,K,X7C21B7H7,泥,9,45,946230613163658,10,10,10,10,10,10,10,10,10,90
CZKJL4VOV,来栖トア,FVJFA973A,蓮ノ空愛好会,15,46,946210100840140,10,10,10,10,10,10,10,10,10,90
1AZ5EJR7Z,Inahime,X7C21B7H7,泥,12,47,944775181258915,10,10,10,10,10,10,10,10,10,90
NC6WJYFVX,でら,11XTEEEJT,リンクラ料理部,15,48,943464563534793,10,10,10,10,10,10,10,10,10,90
7XT268BWG,冬はこずめぐにょ,FVJFA973A,蓮ノ空愛好会,15,49,942018531095540,10,10,10,10,10,10,10,10,10,90
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,50,939889817892844,10,10,10,10,10,10,10,10,10,90
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,51,936452509677169,10,10,10,10,10,10,10,10,10,90
FSHR5FP4W,Kian,0B4LPDY69,巣〜極楽〜,15,52,933559908884644,10,10,10,10,10,10,10,10,10,90
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,53,932512180386720,10,10,10,10,10,10,10,10,10,90
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,7,54,931051459420603,10,10,10,10,10,10,10,10,10,90
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,10,55,930299736370650,10,10,10,10,10,10,10,10,10,90
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,12,56,928965936851929,10,10,10,10,10,10,10,10,10,90
LQEN0GFVZ,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,57,922879593886807,10,10,10,10,10,10,10,10,10,90
VLVZCU5K1,ひなつき,B5V2LNN43,WMW,15,58,922228809927543,10,10,10,10,10,10,10,10,10,90
TKLRD66RN,チャリこず8凸,BKLW6CR5L,Mix鮭の空!!,15,59,921072413300523,10,10,10,10,10,10,10,10,10,90
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,12,60,919357840355146,10,10,10,10,10,10,10,10,10,90
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,61,913369819129440,10,10,10,10,10,10,10,10,10,90
PLE67URFB,ギンッカ,M5LHG6R4T,乙宗動物園,6,62,911340967645525,10,10,10,10,10,10,10,10,10,90
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角,15,63,911196331939488,10,10,10,10,10,10,10,10,10,90
VGWT7LCX7,ZUC,BKLW6CR5L,Mix鮭の空!!,12,64,908808877452940,10,10,10,10,10,10,10,10,10,90
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,65,904853442314999,10,10,10,10,10,10,10,10,10,90
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,66,904388109972832,10,10,10,10,10,10,10,10,10,90
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,67,902912229169593,10,10,10,10,10,10,10,10,10,90
F81U86M87,こま,H6JWBBGCG,蓮天・乙宗一心流,15,68,902725847232259,10,10,10,10,10,10,10,10,10,90
JC33CNHML,かすかす,PBRDPWEY1,村村会,12,69,901801193756282,10,10,10,10,10,10,10,10,10,90
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,3,70,900863154219229,10,10,10,10,10,10,10,10,10,90
CO2UVBYHH,L4,VW65MCVF8,スリスリーズ,2,71,900131649215262,10,10,10,10,10,10,10,10,10,90
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,9,72,892731116900510,10,10,10,10,10,10,10,10,10,90
HY934N56T,遠距離ナントカ,BKLW6CR5L,Mix鮭の空!!,10,73,891653013281879,10,10,10,10,10,10,10,10,10,90
84U35FCIX,じゃじゃ,YCTM6RYDP,金沢おでん同好会,10,74,891179547212183,10,10,10,10,10,10,10,10,10,90
BFBDRTETJ,からいろは,EYN9H9N16,蓮すきすきクラブ,13,75,889530705686752,10,9,10,9,10,10,10,10,10,88
0G5LN9DZ8,抹茶,FVJFA973A,蓮ノ空愛好会,15,76,888809085081250,9,9,9,10,10,10,10,10,9,86
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,13,77,888670525580770,10,10,10,10,10,10,10,10,10,90
4FGPNYMSS,かくれんぼ,VW65MCVF8,スリスリーズ,15,78,887650377390840,10,10,10,10,10,10,10,10,10,90
VX6FL3EOS,ミミル,EYEPHE14G,花上梢頭,15,79,887303558743833,10,10,10,10,10,10,10,10,10,90
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,80,885484668864844,10,10,10,10,10,10,10,10,10,90
X0N1L475X,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,81,884997783229880,10,10,10,10,10,10,10,10,10,90
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,10,82,877514667024680,10,10,10,10,10,10,10,10,10,90
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,83,876791402270814,10,10,10,10,10,10,10,10,10,90
24M5TJDPS,わるつ,FVJFA973A,蓮ノ空愛好会,15,84,871845068899589,10,10,10,10,10,10,10,10,10,90
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,85,867656493662362,10,10,10,10,10,10,10,10,10,90
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,86,867351989394253,10,10,10,10,10,10,10,10,10,90
CCQ5QCTL1,琥珀,GMEF2K8DL,花咲く泥も好き²,15,87,864390539163954,10,10,10,10,10,10,10,10,10,90
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,88,861945322979513,10,10,10,10,10,10,10,10,10,90
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,10,89,861641032462056,10,10,10,10,10,10,10,10,10,90
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,90,858721604887973,10,10,10,10,10,10,10,10,10,90
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,91,858160697788234,10,10,10,10,10,10,10,10,10,90
CRBY4XCB9,すべゆるお,VW65MCVF8,スリスリーズ,12,92,857873890760972,10,10,10,10,10,10,10,10,10,90
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角,13,93,854938283277038,10,10,10,10,10,10,10,10,10,90
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角,15,94,854646438369392,10,10,10,10,10,10,10,10,10,90
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角,3,95,850526492215200,10,10,10,10,10,10,10,10,10,90
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,5,96,850419182647569,10,10,10,10,10,10,10,10,10,90
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,97,849926474560896,10,10,10,10,10,10,10,10,10,90
62NPMRQF6,ふく,EYN9H9N16,蓮すきすきクラブ,9,98,849041008878560,10,10,10,10,10,10,10,10,10,90
IEBYCC1D7,わらび餅,RFYKY8DCD,LA.LA.LA,14,99,846315210641071,10,10,10,10,10,10,10,10,10,90
AMV02DEFM,てぃーえくるす,FK5MUK0ET,くる♡すきクラブ,9,100,845243382458967,10,10,10,10,10,10,10,10,10,90
G25EXFDYH,いかずちさんだー,25PMPEMG7,星見プロ,6,101,843053364231153,10,7,9,9,10,10,10,10,10,85
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,102,842363984038146,10,10,10,10,10,10,10,10,10,90
