player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,花帆,梢,吟子,瑠璃乃,慈,さやか,缀理,数量
D0RVYCT5J,49,1235665645743336,MONO,,,0,10,10,10,10,10,10,10,10,10,1
R3YC2XYYZ,50,1234828342129127,秋,GPKTRBCTT,騎空団蓮ノ空支部,2,10,10,10,10,10,10,10,10,10,1
68S69TGO8,51,1234556923097093,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,5,10,10,10,10,10,10,10,10,10,1
GVNJDLBW8,52,1233845114703509,魔虚羅,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10,1
64M70NFSR,53,1233096815723901,ぎんこたむ,VW65MCVF8,スリスリーズ,10,10,10,10,10,10,10,10,10,10,1
VH1RC5NNC,54,1231333229639581,コグレの小指にも,25PMPEMG7,星見プロ,2,10,10,10,10,10,10,10,10,10,1
8GYTX89XA,55,1222739355375901,しづ,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10,1
7TAQGMS8W,56,1209288936223532,ゆる,PBRDPWEY1,村村会,15,10,10,10,10,10,10,10,10,10,1
U7NEBV4KH,57,1208708063839962,こーど,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10,1
NC6WJYFVX,58,1206746341876801,でら,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10,1
KY1DYH45V,59,1206109475505836,ate_san,B5V2LNN43,WMW,7,10,10,10,10,10,10,10,10,10,1
MEGKKH1W5,60,1199528352385357,75,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10,1
QTHXHSE6U,61,1199195344782856,2分26秒,EYN9H9N16,蓮すきすきクラブ,8,10,10,10,10,10,10,10,10,10,1
TKLRD66RN,62,1199171628040943,ふじー,BKLW6CR5L,Mix鮭の空!!,8,10,10,10,10,10,10,10,10,10,1
L8VJOGDKM,63,1185055655109722,立派な常識人,VW65MCVF8,スリスリーズ,11,10,10,10,10,10,10,10,10,10,1
9L52YPRA1,64,1178656036163885,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10,1
ON66GC85Z,65,1175932602333630,ミツボシ,JTX1G19BP,さやかほ癒し会,14,10,10,10,10,10,10,10,10,10,1
X0N1L475X,66,1173585992321865,ぼた餅,J7N4W6Y1K,こずミックラブ♡,4,10,10,10,10,10,10,10,10,10,1
IZUFEEX2U,67,1169816238082048,アルメ,EYN9H9N16,蓮すきすきクラブ,6,10,10,10,10,10,10,10,10,10,1
