行标签,求和项:point
304,824695096692541.0
305,823431948347559.0
306,822640648741654.0
307,818463746502544.0
308,818111338839488.0
309,815968407125485.0
310,814933038109073.0
311,813612557375007.0
312,812455512035760.0
313,806251398152807.0
314,806080687251487.0
315,805894601656327.0
316,805620840182157.0
317,805580780341810.0
318,803210158600426.0
319,802572061528843.0
320,802151024617333.0
321,801364566683304.0
322,800937238315287.0
323,800037697238775.0
324,798769309549836.0
325,797896771439450.0
326,796818314455752.0
327,794636715339816.0
328,790741382787284.0
329,789618234413162.0
330,789573291722805.0
331,788368713180256.0
332,788240173197471.0
333,787796931572078.0
334,786710699466090.0
335,783186696222507.0
336,782342521861801.0
337,782334571070118.0
338,782218779202551.0
339,782132034428769.0
340,781026270476453.0
341,780865784942529.0
342,779517859822002.0
343,778449426262048.0
344,778218141101140.0
345,775458995243804.0
346,773202569888270.0
347,772982252780215.0
348,771305861430686.0
349,771052710709789.0
350,770443130015025.0
351,770060261236727.0
352,769737833167823.0
353,769196291881252.0
354,768138300620250.0
355,765646718389856.0
356,765641779462383.0
357,765461863156873.0
358,765402340241534.0
359,765138893666785.0
360,765057105592879.0
361,765030740133416.0
362,763095154820394.0
363,761780067485110.0
364,760359143266569.0
365,759472613633374.0
366,758833225374450.0
367,758483956557829.0
368,757793401514901.0
369,757147044155340.0
370,756565503145845.0
371,755837975024802.0
372,754630084783481.0
373,753953249127999.0
374,752362169881827.0
375,752161858039152.0
376,751607857215472.0
377,751276919199853.0
378,750372165603977.0
379,750095157303104.0
380,749938929154271.0
381,749764284363671.0
382,749067964132397.0
383,749020816684088.0
384,748177241859670.0
385,747241009473990.0
386,746772681877051.0
387,745321697682263.0
388,744172340404764.0
389,743897757315171.0
390,741617979022046.0
391,741483675904949.0
392,740805685608197.0
393,740353715965925.0
394,739018160291498.0
395,737901767397789.0
396,737297204788763.0
397,735493323376466.0
398,735303468572030.0
399,733862437166361.0
400,731509919434245.0
401,731016268854092.0
402,730073654944498.0
403,729218363174656.0
404,729050002941486.0
405,728863509165414.0
406,728854787075617.0
407,728379171395413.0
408,728154239524004.0
409,727254688609614.0
410,726274402300986.0
411,725438604417222.0
412,724414289008342.0
413,724322431844307.0
414,723688398283811.0
415,722953546903956.0
416,722167907128243.0
417,721739841166445.0
418,720845450350582.0
419,720669546468444.0
420,720357205041005.0
421,720240085126739.0
422,718918615619581.0
423,718861263700173.0
424,718774485400088.0
425,718704434745098.0
426,716584223613347.0
427,716438090891512.0
428,716039725520558.0
429,714637945016779.0
430,714236485151102.0
431,714127601666484.0
432,714092852933265.0
433,714068532197193.0
434,714006125486155.0
435,712785976337960.0
436,712365607037247.0
437,711970449395989.0
438,710955013253758.0
439,709149421245810.0
440,707088969659548.0
441,707043261793212.0
442,706808188174045.0
443,705908815318020.0
444,705836349086475.0
445,705746878288280.0
446,705177172846282.0
447,704516619761575.0
448,704433436462292.0
449,704362771641508.0
450,703942157561100.0
451,703924033995889.0
452,703749484394522.0
453,703384129985974.0
454,703212365455914.0
455,701787691656218.0
456,701264865956367.0
457,700533337486014.0
458,699811489297131.0
459,699675096780056.0
460,699046115520637.0
461,698547017363746.0
462,698192960130719.0
463,697992994928630.0
464,697325333626999.0
465,696851993206824.0
466,696699508430327.0
467,696618025470782.0
468,696335923906571.0
469,695015758246469.0
470,694470081972332.0
471,694017871621791.0
472,692521553109548.0
473,690765106337204.0
474,690481077454969.0
475,690258072312796.0
476,690225779211377.0
477,690054589607246.0
478,689811005873558.0
479,689134035500708.0
480,687497200248902.0
481,687454166689024.0
482,687305577552304.0
483,686035886390055.0
484,686034608042601.0
485,686024921521178.0
486,685053245655065.0
487,684772860399581.0
488,684197284004451.0
489,684028622528500.0
490,683628797615983.0
491,683530234774452.0
492,682795129391683.0
493,681993407471496.0
494,681246065602723.0
495,679679649063945.0
496,679377508802302.0
497,678876303064165.0
498,678871110598562.0
499,678686920148816.0
500,678645889673726.0
501,678377550321562.0
502,676874714352127.0
503,676731609178632.0
504,676212325063894.0
505,673899196177090.0
506,671929387337307.0
507,670178535687305.0
508,669861693764554.0
509,669807536754899.0
510,667696981517515.0
511,666943089563702.0
512,666757404866634.0
513,666324621117976.0
514,665827225689657.0
515,665664221016690.0
516,665085064686499.0
517,664851333230848.0
