行标签,求和项:数量,求和项:point,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
なのだけれど,1,472027662438713,,,,,,,,,,,,
巣〜極楽〜,1,609501480036431,,,,,,,,,,,,
見晴台,1,399712298072430,,,,,,,,,,,,
泥のみんなS,1,527405603576030,,,,,,,,,,,,
ふくふく無言OK,1,388322004061051,,,,,,,,,,,,
素鴨のピクセル,1,439893076072319,,,,,,,,,,,,
近畿の大金沢,1,387951220179459,,,,,,,,,,,,
新鮮館,1,387845216179703,,,,,,,,,,,,
BBF 金沢支社,1,431809148181260,,,,,,,,,,,,
綴理と無言で昼寝,1,401124710997016,,,,,,,,,,,,
蓮ちゅきクラブ,1,376372957775098,,,,,,,,,,,,
僕らのリンクラ！,1,452227513789038,,,,,,,,,,,,
フラワーガーデン,1,402602613912717,,,,,,,,,,,,
1限目に遅刻ラブ,1,407302324590834,,,,,,,,,,,,
蓮ノ空すこやか部,1,445790429437947,,,,,,,,,,,,
天悶部,1,524632397173145,,,,,,,,,,,,
フラワー泥民館,1,431629206264693,,,,,,,,,,,,
無言でエンジョイ,1,476414770138620,,,,,,,,,,,,
蓮ノ空のんびり部,1,405408026563244,,,,,,,,,,,,
休暇建設協会,1,391123215285899,,,,,,,,,,,,
LLすこすこ部,1,468426665772092,,,,,,,,,,,,
はすのひよこ,1,482355062817733,,,,,,,,,,,,
アニマル分室,1,383668597518014,,,,,,,,,,,,
ぱちぱち徒町,1,424539417951682,,,,,,,,,,,,
アフター観たいぞ,1,413679806473727,,,,,,,,,,,,
♬さやか愛好会♬,1,377604611268513,,,,,,,,,,,,
蓮ノ空老人会,1,453599455264507,,,,,,,,,,,,
騎空団蓮ノ空支部,1,678325364659136,,,,,,,,,,,,
蓮ノ空魔術部,1,374445603555821,,,,,,,,,,,,
かちまち応援隊,1,352295992589216,,,,,,,,,,,,
まったりハスら～,1,475080876378661,,,,,,,,,,,,
レンクウ,1,485184620058089,,,,,,,,,,,,
サークル2,1,389206583396021,,,,,,,,,,,,
ド！ド！泥！,1,380635894611677,,,,,,,,,,,,
アフター見よう！,1,384392801626982,,,,,,,,,,,,
「」ノ空だけれど,1,400083249680128,,,,,,,,,,,,
蓮女マネージャー,1,498746326520681,,,,,,,,,,,,
無言 ノルマなし,1,405369395982082,,,,,,,,,,,,
良いチケで観よう,1,353706859743140,,,,,,,,,,,,
ドル家の『D』,1,491285546205537,,,,,,,,,,,,
アポロベイ海賊団,1,390791796274204,,,,,,,,,,,,
とろぺりです,1,362940825021490,,,,,,,,,,,,
瑠璃乃推し隊,1,351047215134254,,,,,,,,,,,,
待機室跡地観測所,1,369315762272653,,,,,,,,,,,,
旅人,1,378602095067098,,,,,,,,,,,,
かほ子のイオン,1,353929371253685,,,,,,,,,,,,
ラ！の会,1,364422854187825,,,,,,,,,,,,
楽園計画,1,551061720468726,,,,,,,,,,,,
毎日がホリデイ♪,1,369883534214972,,,,,,,,,,,,
花咲かせ隊,1,371116935044450,,,,,,,,,,,,
さやかほ花卉園,1,374280877968468,,,,,,,,,,,,
Catlike,1,353659624180446,,,,,,,,,,,,
总计,500,247135906705065280,,,,,,,,,,,,
