player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
DBMUT6YCX,キリ,V8XX999F6,卍蓮村幼稚園卍,10,227,7251000, - , - , - , - , - , - ," 5,421,047,065 ", 134 ,10,10,10,8,10,9,8,10,75
NT480V79A,ゆざくら,PBRDPWEY1,村村会,17,227,7251000," 2,541,944,769,977 ", 115 ," 2,607,793,718,095 ", 123 ," 1,012,546,334,976 ", 159 , - , - ,10,10,10,9,10,9,9,9,76
HCH7L01VU,スノーアイス,RF5215M2U,スクステ同好会②,17,229,7248000," 526,694,042,843 "," 2,269 "," 595,675,138,866 "," 2,259 "," 192,392,359,713 "," 2,582 "," 5,398,668,959 ", 135 ,10,10,10,9,10,9,10,10,78
AFMBX6BPP,美鳩,PBRDPWEY1,村村会,13,230,7245000," 2,428,497,629,502 ", 154 ," 2,685,684,461,083 ", 110 ," 1,030,572,005,764 ", 141 , - , - ,9,6,9,7,10,10,9,10,70
P8RB3BEJ1,Parare,6XX7GBM0K,ぷちぐる同好会,0,230,7245000," 2,496,454,825,912 ", 131 ," 2,489,260,447,612 ", 166 ," 1,058,539,265,842 ", 119 ," 3,140,521,556 ", 276 ,10,10,10,10,10,10,10,10,80
P3REY1R5J,いがらし,,,0,230,7245000," 60,171,374,036 "," 5,940 "," 70,563,757,804 "," 6,133 "," 26,423,809,217 "," 5,733 "," 5,389,088,959 ", 136 ,10,10,9,10,9,3,1,7,59
84CN09DR5,むすび,0TKFF5EG3,サークル名募集中,14,233,7244000," 2,634,039,112,279 ", 96 ," 2,663,853,550,117 ", 114 ," 960,750,439,631 ", 212 , - , - ,10,10,10,9,10,9,10,10,78
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,14,234,7242000," 2,589,734,074,072 ", 103 ," 2,555,858,573,770 ", 146 ," 1,014,847,319,300 ", 157 ," 4,892,011,546 ", 147 ,10,9,10,9,10,8,8,10,74
URT1M3CIM,おハル,1BME38BCD,さすさやクラブ,15,234,7242000," 2,269,886,563,354 ", 204 ," 2,354,835,270,889 ", 214 ," 860,050,293,922 ", 313 ," 5,388,430,145 ", 137 ,9,9,10,9,10,9,9,10,75
GJYTSRBIE,キイロイトリ,PPAHU1TNY,蓮ノ空のんびり部,6,236,7239000, - , - , - , - , - , - ," 5,288,282,853 ", 138 ,9,8,9,7,10,6,7,9,65
845LY9UX1,鈴木さつき,KT4C59NXG,めぐ島,6,237,7236000," 342,440,115,116 "," 3,047 "," 68,406,084,765 "," 6,173 "," 2,990,051,845 "," 7,228 "," 5,275,595,800 ", 139 ,10,7,8,6,9,6,7,10,63
