player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank, point , 音游分数 ,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
KMCDE4QJH,ゆきにゃ,P01RCC6L2,まったーり,896,0,11153," 5,446,573 "," 15,007,499 ",4820,2,5,4,5,7,1,6,5,35
8HB5BY79W,ぷらり,TB7GJ57D7,シャイニーフラワ,862,1,11154," 5,446,256 ",,,4,3,3,1,1,1,2,1,16
DN2U6P9EX,minagi,,,164,0,11155," 5,446,073 "," 38,994,264 ",4034,9,4,4,4,2,1,3,4,31
ANF0KJFE3,レディオ,DFXN9DB2H,どんぐり共和国,968,3,11156," 5,445,372 ",,,3,4,4,5,1,2,7,4,30
WZ6IB9JWX,はるひん,DF7FA982P,蓮ノ空百合部,890,2,11157," 5,444,400 ",,,4,1,1,4,4,1,5,4,24
VA3YHVRXW,りる,1618JMRED,リンクラ自習室,707,2,11158," 5,442,175 ",,,6,4,5,2,2,1,1,3,24
U95MA1P2F,うりゅう,UX96YX4T1,『位置について』,736,2,11159," 5,441,433 ",,,4,5,4,2,4,1,7,7,34
AVHCRJNN6,なお,LX25CP0TG,深夜の芋煮処,939,0,11160," 5,441,172 ",,,5,4,6,7,8,3,9,7,49
96VIZWZ23,ワセリン,XWNXDWJ5R,ふ〜ねちゃん,992,0,11161," 5,440,170 "," 50,657,065 ",3701,5,5,7,5,7,1,7,6,43
KDALR902C,KMR,EMAVTJ4G4,あるはらぱーく！,317,0,11162," 5,439,450 ",,,1,7,5,1,4,1,7,9,35
L2L4XUZSJ,十五夜,RKT7BC4F6,人形浄瑠璃乃,936,0,11163," 5,437,240 ",,,4,5,4,6,7,1,5,5,37
JDR5HDG0L,ちゅうか,6NFFWXN3L,金沢調教センター,1011,11,11164," 5,436,189 ",,,5,6,6,7,4,1,8,5,42
GT9WVA7K8,味噌かつ,R083H7WRN,サークル無言,1024,11,11165," 5,434,730 ",,,7,5,5,6,4,1,6,6,40
B113VP53H,くろつぐみ,A86FEX2JC,おやさいさん,910,3,11166," 5,434,041 ",,,5,6,6,5,7,1,5,5,40
4TEPBVM6C,むこ,LLDLG20UU,UR取り隊,693,0,11167," 5,433,102 ",,,6,7,7,7,8,1,4,7,47
89GE1X1KP,リーエ,N1JM7M3YC,丘側,965,7,11168," 5,432,960 "," 50,142,901 ",3710,2,8,7,2,7,2,4,8,40
NTTC141BV,ンゴ,17AEM7PUN,SIFcord,856,2,11169," 5,431,381 ",,,2,2,6,1,4,1,4,5,25
LF4TUHPGF,カツ,M44P06CH5,つづさや見守り隊,941,1,11170," 5,431,254 ",,,6,1,4,1,4,1,9,10,36
3WU46EDRT,ユウキ-S,WN3LHKX0L,レンコンおいしい,925,6,11171," 5,430,794 ",,,5,2,1,5,7,1,5,5,31
D96CUY14A,だだんだん,3F0M4HXJE,蓮ノ空まったり部,1115,6,11172," 5,430,219 "," 53,351,656 ",3634,5,4,6,5,5,1,8,10,44
WJW5G283D,間坂真琴,,,855,0,11173," 5,429,730 ",,,5,6,6,1,7,1,5,6,37
4Q0GJMUL4,じゅん坊,51CF1LTGY,ラ研連合,623,0,11174," 5,428,380 "," 42,820,749 ",3911,6,6,4,7,1,1,6,5,36
BUD2V4U3Y,ぎゃるかん,LV51699A1,餃子の満州,581,0,11175," 5,427,457 ",,,10,10,5,8,7,2,5,5,52
WX8AEZCXB,アイス,,,717,0,11176," 5,426,573 ",,,1,3,2,1,1,1,2,1,12
CWD74E0R8,ゆきかぜ,WWWUTP96L,異次元からキマシ,945,0,11177," 5,424,772 ",,,6,5,9,8,8,2,5,8,51
BU7BQ65D6,masoho,PDTRRYUGM,石川県民ひろば,803,3,11178," 5,424,510 "," 39,113,184 ",4027,2,6,1,5,8,2,4,1,29
HW6FCXDYM,(・8・),57UT319NN,蓮ノ空同好会,784,2,11179," 5,423,430 ",,,7,3,1,5,6,1,6,5,34
C7RT5WY2E,たま　20号,KC1W74B9B,蓮六園,748,0,11180," 5,423,393 ",,,8,5,1,7,1,2,5,7,36
4Z781CKQC,ゆう,F2M746D4B,頑張らないクラブ,1053,7,11181," 5,423,250 ",,,4,6,6,1,4,1,10,9,41
ZQO6AY2YL,ARU,2UKNVBMBU,梢ちゃん同好会,597,2,11182," 5,422,478 ",,,3,1,2,1,1,2,2,1,13
