player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,花帆,さやか,缀理,吟子,姬芽,瑠璃乃,慈,小铃,季度等级
XCRX2GAFB,42,3886048967375055,なる,WN5B7VKPU,きんぴられんこん,12,10,10,10,10,10,9,9,10,9,87
W6KGEJ697,43,3875760889652925,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10,90
7RODEB74T,44,3862350992357568,しよー,RWARTHA1M,乙宗梢大好き部,15,9,10,10,10,9,9,9,9,9,84
67GP30NUW,45,3855378825673492,yuba,11FB0EDDT,スクステ同好会,11,10,10,10,10,9,8,10,9,9,85
X0N1L475X,46,3855289289576949,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,10,10,10,10,10,10,10,10,10,90
U7NEBV4KH,47,3846958386644403,こーど,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,9,8,10,10,9,86
9L52YPRA1,48,3845074515037732,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,9,9,9,87
JRXUOPXXN,49,3836887822391259,ぐんま,49AMYCXCD,ルドベキア,12,9,9,10,10,8,7,10,8,7,78
KMUYDNERU,50,3804072258544199,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,10,10,10,10,10,10,10,10,10,90
NOB5KDBV6,51,3782892234929836,しる220,0UT59MJ8U,かほすこ同好会,15,9,10,10,10,9,9,10,9,10,86
C9ZMT7RH7,52,3782399015690964,キミタケ,YE7CX8RNP,蓮ノ大三十角,15,10,10,10,10,10,10,10,10,10,90
BJI9H7CC6,53,3765618334874738,エイジ,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10,90
JFND2KZVS,54,3755290950239592,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
24M5TJDPS,55,3740532336825448,わるつ,FVJFA973A,蓮ノ空愛好会,15,7,8,10,10,9,7,7,9,8,75
TKLRD66RN,56,3737883184422474,ふじーにょ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10,90
P4LVRKG9L,57,3715263440320573,月見海月,RFYKY8DCD,LA.LA.LA,15,10,10,10,10,10,10,10,10,10,90
8DSWY1SNL,58,3692721680560739,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,9,10,10,10,9,9,10,9,9,85
SM59T811D,59,3687482450363261,Case,RWARTHA1M,乙宗梢大好き部,7,8,8,9,10,8,8,10,8,8,77
KXMPLAX04,60,3686201195200687,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,9,9,10,10,10,8,9,9,8,82
GVNJDLBW8,61,3684868224060687,ダークライ,11XTEEEJT,リンクラ料理部,11,9,8,10,10,9,8,10,8,8,80
AJMEJX0KG,62,3683685357565022,こーか,FVJFA973A,蓮ノ空愛好会,13,10,10,10,10,10,10,10,10,10,90
TW9L2LKS7,63,3677586203238117,パワッチョ,YE7CX8RNP,蓮ノ大三十角,15,9,10,10,10,9,9,10,9,9,85
4387Y57EA,64,3664099526445794,あなたこなた,11XTEEEJT,リンクラ料理部,12,10,9,10,10,6,5,9,9,7,75
FDXBWBH2B,65,3663443575870325,あおっち,11FB0EDDT,スクステ同好会,0,10,10,10,10,10,10,10,10,10,90
9FCM2N4CA,66,3657866877205335,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,12,9,9,10,10,10,9,10,10,10,87
RFP277XPM,67,3655279188945845,スガ,11FB0EDDT,スクステ同好会,15,8,9,10,10,8,8,9,8,8,78
P4ZNDWHDA,68,3651025447982191,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,8,8,10,10,8,8,9,9,8,78
68S69TGO8,69,3648528388395592,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,9,10,10,10,9,9,10,9,9,85
VGWT7LCX7,70,3640918393614041,ZUC,BKLW6CR5L,Mix鮭の空!!,12,9,9,10,10,8,8,9,8,8,79
HF5CLQ1F8,71,3637483102126849,すがぽん,M5LHG6R4T,乙宗動物園,8,9,9,10,10,9,9,9,10,9,84
TUHKRV0IW,72,3627151328717903,ポン,EYN9H9N16,蓮すきすきクラブ,15,9,10,8,10,8,7,8,9,8,77
K7QAEXJLJ,73,3608067103747792,のりすけ,49AMYCXCD,ルドベキア,15,9,10,10,10,10,10,10,9,10,88
BJ2YEFM93,74,3604282653431015,テンババア,EYN9H9N16,蓮すきすきクラブ,13,8,8,9,10,8,7,8,8,8,74
DES39P1DL,75,3602426582007792,よわよわペンギン,EYN9H9N16,蓮すきすきクラブ,8,8,10,10,10,8,8,8,8,8,78
RND3BA6Q4,76,3564406907861003,あゆ,49AMYCXCD,ルドベキア,15,8,8,10,9,10,8,8,8,8,77
8GYTX89XA,77,3541547250430399,めぐ→るり,FVJFA973A,蓮ノ空愛好会,8,8,8,10,10,9,8,8,10,9,80
45NY6HUBX,78,3531312320489165,かいこ,25PMPEMG7,星見プロ,10,9,10,10,10,9,9,10,10,9,86
KWNXKNY6X,79,3521964498650366,応愛こず,49AMYCXCD,ルドベキア,15,9,9,10,10,7,7,9,10,7,78
64M70NFSR,80,3521713784750213,たむ,VW65MCVF8,スリスリーズ,13,10,10,10,7,6,6,6,6,6,67
BFBDRTETJ,81,3515601527721986,からいろは,EYN9H9N16,蓮すきすきクラブ,13,7,7,10,9,6,6,7,6,6,64
PG3THEV4C,82,3498036556804458,あお,EYN9H9N16,蓮すきすきクラブ,7,10,7,10,9,8,8,7,9,8,76
B6XUHLVUZ,83,3491783721802861,ればにら,RFYKY8DCD,LA.LA.LA,14,8,10,10,10,9,9,10,8,8,82
935BA0WHY,84,3475348955756004,にむ,11FB0EDDT,スクステ同好会,15,10,10,10,10,8,8,10,10,8,84
K137HR419,85,3470869116037931,しょうご,VW65MCVF8,スリスリーズ,15,8,8,8,9,8,8,8,7,8,72
VH1RC5NNC,86,3467879167563846,コグレ,25PMPEMG7,星見プロ,13,9,9,10,10,8,8,8,9,10,81
76L1SWWX0,87,3450152290313920,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,14,10,10,10,10,9,9,9,10,9,86
3Q65ASSTC,88,3442230160796096,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,9,8,10,10,8,8,10,8,8,79
M3ANWTEQ1,89,3441693776833166,"甘野老oNM,",73CBYJYB0,"oNM,",10,9,10,10,9,9,9,8,9,9,82
4W6BIX284,90,3438204780161445,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,10,10,10,10,9,8,10,10,8,85
L13896J13,91,3435505440515245,XLD,NC2YT2V28,蓮之愛同予者何人,13,6,8,9,10,6,6,8,7,7,67
JC33CNHML,92,3425329598444247,かすかす,PBRDPWEY1,村村会,12,9,10,10,9,9,9,8,8,9,81
VX6FL3EOS,93,3425025335394136,ミミル,EYEPHE14G,花上梢頭,15,8,8,10,10,8,8,8,7,8,75
NLNKEMVRB,94,3422045735165452,なの花ちゃん,H6JWBBGCG,蓮天・乙宗一心流,13,9,10,10,10,8,8,10,9,9,83
ZYAP6N76H,95,3421640832722254,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,8,6,7,10,7,6,7,10,6,67
7XT268BWG,96,3418982745589237,冬はこずめぐ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,4,10,10,10,84
42J4J5OSG,97,3405338829718209,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,7,8,10,10,8,7,8,8,7,73
VLVZCU5K1,98,3401850987477763,ひなつき,B5V2LNN43,WMW,15,8,9,10,10,9,7,10,10,7,80
K8XN5UVA3,99,3401104470037386,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,9,10,10,10,9,9,10,9,8,84
R3YC2XYYZ,100,3399111136022290,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,9,10,10,10,9,9,9,8,9,83
CPU567Q5P,101,3393522111333354,あいざっく,8M6UDX260,ぽけもん好き,2,8,9,10,10,8,8,10,8,8,79
70NE2637U,102,3392082684802517,りふいっと,BKLW6CR5L,Mix鮭の空!!,3,9,10,10,8,8,8,10,8,8,79
8HYVGQUX7,103,3390748188049956,まさき,CXG25026E,泥のみんなS,14,10,10,10,10,10,10,10,10,10,90
68X4A67UG,104,3380549829295354,いたこ,25PMPEMG7,星見プロ,13,7,8,10,10,7,7,8,6,7,70
S1JO65QZU,105,3380002639150824,すと。,BKLW6CR5L,Mix鮭の空!!,9,9,9,10,10,7,7,8,7,7,74
KWSACZISO,106,3379385699682533,すずき,CTW8DKV5P,まったり,15,9,9,10,10,9,9,10,9,9,84
EQOU1ZZS7,107,3374436187399335,セラスのス,VW65MCVF8,スリスリーズ,12,7,7,10,10,7,7,8,6,8,70
UA5OC8495,108,3369198228747562,zth,NC2YT2V28,蓮之愛同予者何人,15,10,10,10,10,9,9,10,10,10,88
DV73OQD94,109,3367390770478749,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,9,9,10,10,9,8,10,8,8,81
QUQRGUWJL,110,3360664469748748,にしおり,49AMYCXCD,ルドベキア,15,8,8,10,9,8,8,8,7,7,73
YIGSDJFDL,111,3360207064612289,あっきー,YCTM6RYDP,金沢おでん同好会,6,7,8,10,10,7,7,8,7,7,71
1Y0XFNNDJ,112,3354325658704529,かなたなか,EYN9H9N16,蓮すきすきクラブ,11,9,9,10,10,9,9,10,10,9,85
TXTPD6OZ9,113,3311090882380808,stella,BKLW6CR5L,Mix鮭の空!!,14,9,9,10,10,9,9,9,10,9,84
