player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,缀理,さやか,梢,吟子,花帆,慈,瑠璃乃,季度等级
8E70ID58F,217,1157646028109448,あるとす,WN5B7VKPU,きんぴられんこん,15,7,7,8,10,8,8,7,8,7,70
9NMP2LJU2,218,1153664822959101,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,9,9,9,9,9,9,10,9,9,82
SKN67I1NN,219,1151975724233155,在床上睡覺,FH7G62PKW,月火水木金土日,12,5,5,6,6,6,5,7,6,6,52
KN3FIHXL7,220,1151544178872672,トミィ,RFYKY8DCD,LA.LA.LA,7,9,7,7,9,9,8,9,7,8,73
BRJ0XWX77,221,1150130123235459,しいのき,EYN9H9N16,蓮すきすきクラブ,15,8,7,8,8,8,8,9,8,9,73
71Z6P5FC1,222,1149577420115798,すつ,YCTM6RYDP,金沢おでん同好会,7,6,6,7,9,7,7,9,7,8,66
542A8BY8D,223,1148290137026337,よしこぽけ,11FB0EDDT,スクステ同好会,4,7,8,10,9,10,8,10,10,10,82
8XVGBRB0R,224,1147182610802476,言の葉,49AMYCXCD,ルドベキア,15,6,7,6,6,7,6,7,7,8,60
8DV5XX99R,225,1145740805345393,あぐ゛,25PMPEMG7,星見プロ,11,6,7,7,9,7,6,8,5,7,62
72CKW0EAA,226,1144803104582044,にっぴー,PBRDPWEY1,村村会,12,6,6,8,7,7,6,8,7,7,62
FYK24K9Y1,227,1141256363428629,卓球,HBUK6F7CC,乙宗梢なりきり部,15,7,7,9,10,8,8,7,10,10,76
UPWIH0P3R,228,1139852818432314,アルカナ,2B97MH4YA,同じ話し何回も…,15,7,8,8,10,7,7,9,10,10,76
AJ713D5X4,229,1139643796862758,キョウ,RFYKY8DCD,LA.LA.LA,3,6,6,8,8,7,6,7,6,7,61
8W61A02JJ,230,1138274359963648,ごんべん京,W3YKKRWHG,ルリと愉快な一家,11,7,8,8,8,9,7,8,10,8,73
NJTVVJ3AR,231,1137819833665259,もつに,EYN9H9N16,蓮すきすきクラブ,15,6,6,6,6,6,7,7,6,7,57
DJFBBUV8E,232,1135805509754954,トルコ,WN5B7VKPU,きんぴられんこん,11,8,8,8,8,10,8,7,10,8,75
DZ3B41G7E,233,1134812394703647,お茶組織,CX967RTGY,おんゆあさーくる,8,7,10,9,10,10,7,10,10,9,82
7TAQGMS8W,234,1130962876229621,ゆる,PBRDPWEY1,村村会,15,6,7,6,7,7,6,7,6,6,58
HY934N56T,235,1128187290736212,キュアップラパパ,BKLW6CR5L,Mix鮭の空!!,9,7,7,7,6,6,7,8,7,8,63
OC4GF3LF1,236,1126512974381619,ゆとり,M5LHG6R4T,乙宗動物園,12,7,7,8,7,8,7,8,7,7,66
U8OROTM2Y,237,1123026721086968,なってしまった！,YCTM6RYDP,金沢おでん同好会,11,8,8,7,10,7,8,7,8,8,71
3U37YD7G6,238,1120881263055655,くぃ,W26TRPM1R,めぐ党藤島派,10,7,7,7,8,8,8,8,7,8,68
