player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,缀理,瑠璃乃,慈,小铃,花帆,さやか,梢,季度等级
TW9L2LKS7,49,733200265911068,パワッチョ,YE7CX8RNP,蓮ノ大三十角,15,8,8,9,10,9,8,10,10,8,80
4387Y57EA,50,732519357015368,あなたこなた,11XTEEEJT,リンクラ料理部,12,5,6,7,9,9,6,9,8,10,69
RND3BA6Q4,51,731506722443838,あゆ,49AMYCXCD,ルドベキア,15,8,8,8,8,7,8,8,9,8,72
P4ZNDWHDA,52,730656297340159,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,7,8,7,9,9,8,8,9,8,73
AJMEJX0KG,53,726741536581486,こーか,FVJFA973A,蓮ノ空愛好会,13,10,10,10,10,10,10,10,10,10,90
K7QAEXJLJ,54,722935341874860,のりすけ,49AMYCXCD,ルドベキア,15,8,9,9,10,9,8,10,10,9,82
DV73OQD94,55,722341032076686,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,8,9,8,9,8,8,9,9,8,76
68S69TGO8,56,722267329863354,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,8,8,10,10,9,8,9,10,8,80
FWBTX791U,57,721107638825090,garry,M5LHG6R4T,乙宗動物園,4,9,9,10,9,10,10,10,10,10,87
L5FWMMCWN,58,717920072741248,マナト,PBRDPWEY1,村村会,9,8,8,10,8,7,8,8,10,7,74
VLVZCU5K1,59,717663013168413,ひなつき,B5V2LNN43,WMW,15,7,8,8,10,10,7,8,8,7,73
U7NEBV4KH,60,717578460719535,こーど,BKLW6CR5L,Mix鮭の空!!,15,7,7,8,10,9,8,10,9,8,76
76L1SWWX0,61,714730128608891,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,14,8,8,10,9,10,8,9,9,10,81
24M5TJDPS,62,713659423768945,わるつ,FVJFA973A,蓮ノ空愛好会,15,6,8,9,6,9,7,7,7,4,63
KBI8MUTYD,63,708689582468055,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,9,9,8,9,9,8,10,9,10,81
TUHKRV0IW,64,706362990408684,ポン,EYN9H9N16,蓮すきすきクラブ,15,7,6,8,7,9,7,10,8,8,70
PG3THEV4C,65,705771025395701,あお,EYN9H9N16,蓮すきすきクラブ,7,8,8,7,7,9,8,7,7,10,71
M8KSSVGQS,66,703652359214330,ぬいに晴れ,BKLW6CR5L,Mix鮭の空!!,15,8,9,10,10,10,9,10,10,10,86
KWNXKNY6X,67,703135669467897,応愛こず,49AMYCXCD,ルドベキア,15,7,7,7,9,9,6,9,10,8,72
KXMPLAX04,68,702950022744327,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,7,9,8,9,8,8,8,9,9,75
FDXBWBH2B,69,701096938172418,あおっち,11FB0EDDT,スクステ同好会,0,10,10,10,10,10,10,10,10,10,90
GVNJDLBW8,70,700048661658196,魔虚羅,11XTEEEJT,リンクラ料理部,11,7,8,9,9,8,7,8,9,9,74
Z4TLWEM1D,71,689863529790602,ちびこま,YE7CX8RNP,蓮ノ大三十角,6,10,10,10,10,10,10,10,10,10,90
64M70NFSR,72,689334644025977,海月に叢雲、,VW65MCVF8,スリスリーズ,13,5,6,6,6,6,5,10,6,10,60
RFP277XPM,73,687499688522690,スガ,11FB0EDDT,スクステ同好会,15,8,8,8,9,8,8,8,8,8,73
B6XUHLVUZ,74,687296458014887,ればにら,RFYKY8DCD,LA.LA.LA,14,8,8,7,10,7,8,10,10,8,76
7XT268BWG,75,686708068059907,ひめぎんがさァ…,FVJFA973A,蓮ノ空愛好会,15,4,10,7,9,10,9,9,9,10,77
VH1RC5NNC,76,674789878192663,コグレ,25PMPEMG7,星見プロ,13,8,8,9,8,8,9,9,8,8,75
9FCM2N4CA,77,674502770783077,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,12,8,9,10,9,9,9,9,9,9,81
U587LWLVX,78,674480460938899,asagi,RWARTHA1M,乙宗梢大好き部,4,7,9,8,8,9,7,8,9,8,73
72SX1Q0B7,79,673068755742305,初手涙ビルド,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10,90
TKLRD66RN,80,671439992674054,ふじー,BKLW6CR5L,Mix鮭の空!!,15,8,9,8,9,8,9,8,9,8,76
X0N1L475X,81,671306013324281,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,10,10,10,10,10,10,10,10,10,90
CPU567Q5P,82,670617994771077,あいざっく,8M6UDX260,ぽけもん好き,2,7,8,8,10,8,7,9,8,8,73
NOB5KDBV6,83,669564330919837,しる220,0UT59MJ8U,かほすこ同好会,15,7,7,9,9,8,7,10,9,8,74
4W6BIX284,84,669261805466126,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,7,7,8,9,10,7,10,10,9,77
VGWT7LCX7,85,665167611057328,ZUC,BKLW6CR5L,Mix鮭の空!!,12,8,8,8,9,8,8,9,8,8,74
BFBDRTETJ,86,657587884866482,からいろは,EYN9H9N16,蓮すきすきクラブ,13,6,6,7,7,6,6,7,7,7,59
JRXUOPXXN,87,657101434630580,ぐんま,49AMYCXCD,ルドベキア,12,6,6,10,9,7,6,9,9,9,71
9L52YPRA1,88,652952787594740,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,8,9,9,8,8,9,10,9,10,80
G8M0NAAWE,89,649989832870879,かのひと,FK5MUK0ET,くる♡すきクラブ,10,9,10,10,10,9,10,10,10,10,88
W6KGEJ697,90,648665226411389,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,10,10,9,10,10,10,9,9,10,87
VX6FL3EOS,91,646225396376232,ミミル,EYEPHE14G,花上梢頭,15,8,8,7,8,7,8,8,8,8,70
G25EXFDYH,92,645236899361421,いかずちさんだー,25PMPEMG7,星見プロ,6,6,6,8,7,7,6,8,7,8,63
EMFP5HG3T,93,642061084575991,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,8,8,9,9,8,8,8,9,9,76
NLNKEMVRB,94,641542933594498,なの花ちゃん,H6JWBBGCG,蓮天・乙宗一心流,12,7,7,8,9,8,7,9,10,9,74
BJ2YEFM93,95,640246703921154,テンババア,EYN9H9N16,蓮すきすきクラブ,12,7,7,7,8,6,7,8,8,7,65
ODE064I6J,96,639816385180508,ちあき,M5LHG6R4T,乙宗動物園,12,8,8,7,8,8,8,8,8,7,70
L6HBG7C3L,97,636739120090764,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,8,9,10,9,10,9,9,10,10,84
BE9A0VUV4,98,634708461874866,さんげ,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10,90
1Y0XFNNDJ,99,633969862528361,かなたなか,EYN9H9N16,蓮すきすきクラブ,11,8,8,8,10,9,7,8,10,9,77
CZKJL4VOV,100,631934308376074,波田陽区,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,9,10,10,10,89
45NY6HUBX,101,631925010593816,かいこ,25PMPEMG7,星見プロ,8,8,8,10,8,8,8,10,9,9,78
AL804BYBX,102,629780754307727,はなぶさ,YE7CX8RNP,蓮ノ大三十角,15,7,7,6,8,7,7,8,9,7,66
5K59F4UVE,103,628857821025769,ガチャ至上主義,11FB0EDDT,スクステ同好会,12,6,6,6,7,7,6,7,7,7,59
R3YC2XYYZ,104,627291343042539,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,8,9,8,9,8,8,10,9,9,78
XKLJ2EBER,105,626509340337590,シェフカワサキ,Y2R7E79U3,カワウソ同好会,12,9,9,6,10,10,8,10,8,10,80
935BA0WHY,106,624355254026587,にむ,11FB0EDDT,スクステ同好会,15,7,6,8,9,10,8,10,10,10,78
V6X4BPJ37,107,624065961871359,SHIRO,G59NGM0XA,シュリーレン,14,7,7,9,8,9,7,9,8,7,71
4KFUM6ADN,108,620851591220900,ねくすと,M5LHG6R4T,乙宗動物園,15,7,7,8,8,9,7,8,7,7,68
YIGSDJFDL,109,619941067214001,あっきー,YCTM6RYDP,金沢おでん同好会,6,7,7,7,7,7,7,7,8,7,64
AKMY82517,110,619702576748175,いずのあいさん,VW65MCVF8,スリスリーズ,15,8,8,9,10,9,8,10,10,9,81
CRBY4XCB9,111,616338219069630,すべゆるお,VW65MCVF8,スリスリーズ,12,8,8,8,8,10,8,10,9,10,79
42J4J5OSG,112,616187068011949,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,7,7,8,7,8,7,8,7,7,66
SM59T811D,113,615156497546597,Case,RWARTHA1M,乙宗梢大好き部,7,6,6,7,8,8,7,8,8,7,65
19KYGA4WX,114,614636471529111,ココ,25PMPEMG7,星見プロ,15,5,10,10,10,7,7,9,10,10,78
JLADG5GPX,115,614267512727165,うぇすとれ,PBRDPWEY1,村村会,15,7,8,7,8,8,7,8,8,8,69
S1JO65QZU,116,612001264705527,すと。,BKLW6CR5L,Mix鮭の空!!,9,7,7,6,8,7,7,8,8,9,67
DRSNNTTME,117,611053789839628,もや,YE7CX8RNP,蓮ノ大三十角,2,7,7,7,8,10,7,7,7,8,68
Y2LLTQ4MF,118,610046044797897,Lautrum,M5LHG6R4T,乙宗動物園,15,8,8,8,10,10,8,10,10,9,81
YHD181KD3,119,607752829068459,へぶんAN,FVJFA973A,蓮ノ空愛好会,9,7,8,6,10,7,7,10,10,10,75
8GYTX89XA,120,606636238912837,ですぶーけ,FVJFA973A,蓮ノ空愛好会,8,7,8,7,8,10,7,7,8,7,69
JC33CNHML,121,606287890779686,かすかす,PBRDPWEY1,村村会,12,8,8,8,8,8,8,9,10,8,75
EQOU1ZZS7,122,605851379042471,セラスのス,VW65MCVF8,スリスリーズ,12,7,7,7,8,6,7,7,7,7,63
CL0CDYUYY,123,603646450453941,かなちゃん,PBRDPWEY1,村村会,12,8,10,8,8,9,9,10,9,9,80
8OJ4K93MD,124,603507597433981,コロ,HBUK6F7CC,乙宗梢なりきり部,11,7,7,7,7,6,7,8,8,9,66
70NE2637U,125,603463019089032,りふいっと,BKLW6CR5L,Mix鮭の空!!,3,8,8,8,9,8,8,9,9,8,75
BFERXX3NE,126,601670791423918,SE,YFADYJVW4,FPS好きクラブ,7,8,7,8,8,8,8,8,9,7,71
CCQ5QCTL1,127,600762350363897,琥珀,GMEF2K8DL,花咲く泥も好き²,15,8,9,8,9,7,8,9,8,7,73
IMAK5NFHF,128,598868304257951,よもぎ,YE7CX8RNP,蓮ノ大三十角,13,7,8,8,8,6,7,8,7,6,65
L13896J13,129,598166525125253,XLD,NC2YT2V28,蓮之愛同予者何人,13,1,2,9,7,6,5,7,9,5,51
T95Y9M2F4,130,595907701343213,いくりら,FK5MUK0ET,くる♡すきクラブ,13,10,10,7,10,6,10,10,10,10,83
6X3LMM5NH,131,593046068659753,ズライカ,X7C21B7H7,泥,15,8,8,9,9,10,8,9,9,8,78
68X4A67UG,132,592735092227842,いたこ,25PMPEMG7,星見プロ,13,7,7,8,7,6,7,8,8,6,64
C3F3E5F3Y,133,592598640596581,TATSUYA,VW65MCVF8,スリスリーズ,8,7,8,5,8,9,7,8,6,6,64
L71LEGR49,134,590165546105987,かんなぎ,3BDTCERX6,打ち返した流れ星,13,7,8,7,7,7,7,7,8,7,65
TXTPD6OZ9,135,587874468024505,stella,BKLW6CR5L,Mix鮭の空!!,14,8,9,8,9,9,9,9,9,9,79
22F9H0NK0,136,587743376440237,かじみん,JTX1G19BP,さやかほ癒し会,15,8,8,8,8,8,8,8,8,8,72
8HYVGQUX7,137,586208728884866,まさき,CXG25026E,泥のみんなS,14,10,10,10,10,10,10,10,10,10,90
W51RD80OU,138,584860298727352,赤飯のごま塩,49AMYCXCD,ルドベキア,15,6,8,9,8,6,8,6,8,7,66
0USG3I0AK,139,583587434970448,DARKNESS,VW65MCVF8,スリスリーズ,15,9,7,7,9,9,7,8,7,8,71
C1Y7XAVVD,140,583422886234631,ユニ乃瑠璃コーン,0TKFF5EG3,サークル名募集中,7,7,7,8,8,7,6,8,8,7,66
8Q0P3A5Y5,141,583343187389819,よしお,CM5THHYHB,「」ノ空だけれど,15,8,8,7,10,8,8,9,9,8,75
HUREN9CYS,142,583316798821284,サキ,KND3T7056,ぽかぽかモガの村,2,6,7,5,6,7,6,8,8,7,60
I3Z8DKKMK,143,581561247130534,naru,YCTM6RYDP,金沢おでん同好会,15,7,9,5,9,6,9,8,8,6,67
