player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,瑠璃乃,さやか,慈,梢,花帆,吟子,小铃,缀理
ERRN2SUVD,わたあめ,K2L5DCVNR,REAL,11,12869,40563494954,5,1,6,10,10,6,7,5,9
C8KNE18J6,アイ,KGY709ULG,蓮の花束,11,12870,40525959530,5,6,6,10,9,7,7,5,8
CE2MVWVFA,サンデー,,,0,12871,40497594712,1,1,7,1,9,7,4,7,9
R4JXKNNA6,しあの,K3LMN5JHH,金沢カレーの皿,6,12872,40476767855,1,2,3,9,1,9,6,10,2
EWDPM5DD6,音無,,,0,12873,40467822744,1,1,1,1,1,1,1,1,1
JGL2WYG3B,むよむよ,CY02L6P79,ほ,1,12874,40465093975,1,10,3,1,7,3,5,9,2
A8464A88Y,Ben,8MTLYLH9F,木星の月華富輝宮,0,12875,40395869743,5,7,3,7,7,3,6,6,10
LBDCDAF5P,ペペロンチーノ,CP3KWKH07,まったり社会人部,0,12876,40371962231,4,6,5,7,7,7,6,6,6
W90X4G7N8,岩本。,W3UUXHMDV,水彩ブーケ,0,12877,40357806291,1,1,5,1,4,2,3,7,1
9GV5ZVXZL,ヒカル,UYCT3Y4JK,蓮っ子,7,12878,40350450507,1,9,1,4,1,1,8,7,4
VLNJH2SZK,ユウゴ,G2B2TC3PK,iLiFE!,1,12879,40323381540,6,4,1,8,1,2,5,3,7
8FV4A6HPK,紅い子,BEMED3RY1,無言無課金ok,0,12880,40288996498,1,1,2,1,3,1,4,3,3
TV6UHR0FF,cing,PHMJLJY5E,ラブライブ愛好家,2,12881,40275102512,4,4,4,5,4,9,4,4,4
N7MHHN7GB,。,GBEJMUFWT,めぐちゃんズ(仮,2,12882,40263859465,4,9,1,4,4,1,4,7,1
Q12WIIUNS,ひろっち,PD80VCP5N,虹ヶ咲学園,0,12883,40219896128,1,4,4,5,4,1,4,5,5
MIXAD6V92,まご茶,2JK7E4115,ラ！推し,6,12884,40201376630,5,7,7,8,10,9,7,5,7
F5IPUHHZJ,マイオン,HB9AU9DJJ,聖心党,0,12885,40160486322,5,4,6,5,8,6,6,4,7
7JZES5BTH,蓬莱,HGRP0LCCF,あなたの傘,1,12886,40107382551,7,4,9,4,8,6,5,7,7
LPHMIH2TR,柊かがみ,DKNHY5HH6,なす料理研究会,12,12887,40104833246,4,4,1,5,4,1,8,9,4
7K2JJT6P9,プラチナ,BY5NV4UU8,トライファイター,1,12888,40104472902,1,1,1,1,1,3,2,2,1
LTNWG038A,MBee,9D722M8KC,蓮ノ空同好会,0,12889,40074840675,1,1,1,9,1,1,6,1,10
C5T6C9311,Ctrip,60KU468X3,はっすーず,0,12890,40026373158,4,9,4,4,2,1,2,4,4
07TU74WAB,2代目四駆戦士,7B0W0EWVA,ソロの為の避難所,0,12891,39816769054,4,4,4,5,6,6,5,4,4
MLHXBFUCV,ぽち,H7KAMMKFX,第3げいのーか。,1,12892,39798012126,1,7,7,5,7,7,4,6,5
EB0FWU4QG,ダッチズ,T56X6LP0L,光の海,2,12893,39758028739,1,1,4,1,4,4,4,6,4
QSS8G76GS,miya,2UKNVBMBU,梢ちゃん同好会,1,12894,39706460320,1,2,1,1,4,4,4,1,1
MJK7JDDLF,ののし,,,5,12895,39700288073,1,8,2,3,3,3,1,7,10
6O2YNN943,影市,WLLWJ8ADP,乙宗筋肉サークル,2,12896,39645194120,1,3,1,4,5,1,2,1,4
4UJRPU6LG,マッチャン,9D722M8KC,蓮ノ空同好会,2,12897,39564792404,5,9,1,2,9,1,6,5,4
