player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,瑠璃乃,姬芽,吟子,小铃,缀理,花帆,さやか,梢
9DAFEANY3,ちまき,E76N52LMW,イベントのみ,1,4263,42275105446935,7,6,9,4,7,7,5,5,6
BHD0B1K5M,みほ,U1X8XUL9G,イベント用？,3,4264,42260804128229,10,6,6,7,1,5,6,6,10
7WC7GFGP4,きた,7U20138DB,LGP,8,4265,42085139117062,8,8,6,6,9,8,7,8,9
YNLYR8JC4,やんぴー,JY79RPB1D,リンクラゆる部,3,4266,42066966060310,5,7,4,6,10,10,3,10,3
CU2L9YX9T,Y,PN4VA24XF,みーかるぱーく！,2,4267,42056927144296,5,5,1,4,1,1,5,2,6
5TWMV7M1F,のあ,RHU8M5VUL,幼馴染同好会,0,4268,42038445328394,5,6,5,6,10,9,8,7,5
GER8KPMLK,まほ,RN24L196L,るりーーー,2,4269,41958242234436,1,4,1,2,2,6,4,4,5
97GLFJXLM,そうけん,CXG25026E,泥のみんなS,4,4270,41938517575514,1,4,5,5,5,7,4,7,1
VFX9TV8LS,宣牛(ノブウシ),NLB84DYBF,下松系拉麺同好会,1,4271,41897862719384,7,5,7,6,7,8,6,6,7
TFB1M96P1,EDstree,J80MEYHBC,Nymphaea,10,4272,41761504629855,6,7,4,6,5,5,5,5,5
N6VKC2U4W,sin,1UBNNHVLG,蓮箱推し（仮）,6,4273,41703971371126,5,5,4,6,6,6,3,8,5
VLGU7FJM9,sim@め,C8A9CTB34,蓮ノ空山岡家部,2,4274,41667533830435,4,4,1,3,4,1,5,4,4
F3LM4E30H,あびわん,69JYHU29C,ワンゲル,1,4275,41645557571551,4,4,1,3,7,7,1,5,1
XRWCY0X2K,μ'6 ニャズラ,18YYNRFGA,LotusSky,0,4276,41609788817752,8,9,8,9,10,8,8,8,8
R80M776XY,カナメ,GVT61ATX0,なのだけれど,0,4277,41578902470310,7,7,5,6,5,1,5,5,3
AAB10KRUT,えるど,FK5MUK0ET,くる♡すきクラブ,2,4278,41541038969255,3,7,4,4,4,4,4,4,5
