player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,慈,梢,花帆,缀理,さやか,姬芽,小铃
X6UKIG4N3,狐百合,,,0,15453,728368401,1,1,1,1,1,1,1,1,1
B9XHJMM62,ぶっちい,TX92H9GBV,アフターが見たい,0,15454,726932245,2,1,1,1,1,1,1,3,5
9YE2CBEQB,エルステリア,HB9AU9DJJ,聖心党,0,15455,724802547,2,5,7,7,4,8,4,1,8
PT3B5R8MF,SAKANA♡,Y6KN85L5P,孤独の村人,0,15456,724731117,3,2,1,1,2,1,1,1,1
6Z7PZXRXL,has,PWK02KG0F,メメントの森公園,0,15457,723821961,2,1,1,1,1,1,1,1,1
RLLK0FRL5,プリウス,9D722M8KC,蓮ノ空同好会,0,15458,722228816,3,1,1,1,1,1,1,1,4
VHBT5BY78,Lotus,,,2,15459,722065055,1,1,1,1,1,1,1,1,1
0CLAFM87X,ロージー,00T3NXXA9,初心者,0,15460,719054458,2,1,1,1,1,1,1,1,3
WVAFFD0YH,ま,R7VEXFUBP,蓮ノ空応援クラブ,0,15461,717067690,4,5,4,4,1,4,5,4,5
ZKJBCDYRP,bubu,LTAG28AVM,蓮ノ空同好会,0,15462,716848374,4,1,7,7,1,1,9,5,1
UJX9P3PL5,羽中,C021HVB2B,第3芸能科,0,15463,715335638,2,1,1,1,1,1,1,1,1
20YPXVPA7,星影アイ,,,0,15464,713475791,1,1,1,1,1,2,1,1,1
ML74F9AAR,いちご,Y3A3M2Y4N,サンクルミエール,0,15465,712364053,3,1,7,4,5,4,5,5,1
X88H2D6JA,あき,1EL57CDR0,なんもわからん,0,15466,712079548,4,1,1,1,1,1,1,1,1
82CBPPX44,胡桃,BBNEWB1UA,蓮ノ空紅茶部,0,15467,711020431,3,1,1,1,1,1,1,2,2
97MRE1C8E,せをはや,R9NGK6L48,のんびりサークル,2,15468,710619317,8,1,1,1,1,1,1,1,1
P0L0U5PXB,まーーーーしー,RAP9FVR3B,あばうといち,0,15469,709987609,3,1,2,5,1,1,2,1,2
8O7V68YVD,のほほん,,,0,15470,708807621,1,1,1,2,1,1,1,2,1
HR7UR79JD,ウメちゃんすん,XPRA8TRVE,蓮ノ空ロボット部,0,15471,708689056,4,1,1,2,1,1,3,1,1
40JEP6WFY,アキラ,,,0,15472,706428124,4,7,5,1,1,4,1,4,6
UY31HZ2CW,あおい,VGG1HM53K,のんのん日和,1,15473,705055180,5,1,10,4,1,2,4,1,1
84S38WYU6,苑名零,,,0,15474,704372556,1,1,1,1,1,1,1,1,1
G55PW6AFR,Hannyu,AD9A9J96E,LLEspaña,0,15475,703672841,3,1,2,1,1,2,1,3,2
TNJNRDYU8,マル,,,0,15476,702649383,3,1,4,2,2,2,2,5,2
6NNEP6F86,やまひつじ,JXN6XJAFK,ぼくなんなの,0,15477,702443415,4,1,3,1,3,10,6,4,4
9K5TCG27T,ゆうゆ,GK9X3XGW1,さやか好き,0,15478,702143330,1,1,1,1,1,1,1,1,1
IOXI817JG,れおな,15UKCFG7X,ろーたすぺたる！,2,15479,701360198,2,1,8,1,1,1,1,1,1
PR26MDUWL,あかつき,YNR28303K,りんくらぶ,0,15480,700947937,2,1,2,1,1,1,1,1,2
BS6U4MPTN,SIG,,,0,15481,697706854,1,1,1,1,1,1,1,1,1
L950V6DXU,ゔぃゔぃんば,,,0,15482,696320863,1,1,1,1,1,1,1,1,1
RVPB47DCP,ぐで,,,0,15483,696301241,1,1,1,2,3,2,1,1,1
B3A1UJAAG,デブトトロ,6E27A15ER,蓮ノ空自由クラブ,0,15484,694702777,2,3,1,1,1,1,1,1,1
S4OCSCIZN,ちちゃー,,,0,15485,693859813,1,4,4,1,1,1,2,1,1
