player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,缀理,花帆,梢,小铃,慈,さやか,姬芽,瑠璃乃
6UUHU8CKA,クローベット,27N2UHJYL,ラブライブ格ゲー,0,16396,3482727990,3,1,1,1,1,1,1,1,1
33M87RXN3,きなこもち,F31CP8BR8,まったり蓮ノ空,0,16397,3474183014,1,1,1,1,1,1,1,1,1
MHWVYQCBZ,阿瑋,LB0K3MHND,フラワー,3,16398,3470389610,2,1,1,2,1,1,1,1,1
L9MK5V26V,ほた,GN9EEL045,きらくに,1,16399,3467789699,2,9,1,1,3,1,1,1,1
J6WMUJKYP,ぴ,7AU131BMP,pcomm,0,16400,3458681903,4,4,5,4,4,4,4,1,1
05IURGLUU,こまめ,,,0,16401,3458644944,1,1,2,4,2,1,1,1,1
PEF48PYV1,たっぴー,DHKUGEWBJ,めぐ党虹ヶ咲支部,0,16402,3452317215,1,5,1,5,1,4,1,1,1
VURJPDMAQ,若紫,H6CCL64P9,NATTO,1,16403,3449357769,2,1,4,1,4,10,1,1,5
8QSOZUFY6,みゅう,,,0,16404,3439713790,1,1,1,4,1,1,1,1,1
Z43Q6NKBE,みお,,,0,16405,3431042441,1,1,1,1,2,1,1,1,1
KKKU8X9S5,ふわなー,T9LWWNWY2,とび爆ぜっ,0,16406,3430409970,4,7,1,4,5,1,1,4,7
41X3KLFKM,ノア,KJU0BU77M,無言交流なし,0,16407,3427776786,2,1,1,10,1,1,1,1,2
P8VNMLGW2,こんぱん,UX96YX4T1,『位置について』,0,16408,3427010382,4,1,1,1,1,1,1,1,1
2GSGT3GAQ,♡Yugiri♡,YXKR0GGM4,蓮ノ空好き好き,2,16409,3420365874,2,1,1,1,2,2,1,1,1
2YOOQVPMJ,ゆうなぎ,3EMV4F69U,梢先輩を見守り隊,2,16410,3412299820,1,4,2,4,4,5,4,1,4
M1KWEGFUE,村野彩花,JVUNVCT8P,梢先輩のASMR,0,16411,3409049793,4,2,1,2,1,1,1,1,2
N0BV13LLX,Fuppy,,,0,16412,3403919378,1,1,1,1,1,1,1,1,1
TFRGBP723,ユウジ,TD87P23DJ,黄昏の旅団,0,16413,3402775098,2,4,4,1,1,1,7,1,4
L97C85B82,C4−621,J8YK0M7XA,AC LLL,0,16414,3402527017,1,2,2,2,1,1,2,1,1
DXGH8KP44,whg,0TBMAXN7V,加賀鳶 吟醸梅酒,0,16415,3392360624,2,2,1,3,3,1,1,1,2
FIZ2YUNKW,素麺,0NLHKATWL,生きてるだけ偉い,1,16416,3392103970,2,4,4,4,1,5,4,1,4
4M3LLTT8B,せちあ,E76N52LMW,イベントのみ,2,16417,3390885178,4,4,4,4,5,4,6,4,5
BXH39RIFC,せーや,0UTVRAKFL,平穏無言,0,16418,3390458957,3,1,1,1,2,2,1,1,1
EWDV662X8,アデス,DF7FA982P,蓮ノ空百合部,4,16419,3389856134,1,1,1,1,2,1,1,1,1
WVAFFD0YH,ま,R7VEXFUBP,蓮ノ空応援クラブ,0,16420,3387560913,6,4,1,6,5,4,5,4,5
H1977P7PK,たらみー,,,0,16421,3387082301,4,4,4,4,5,4,7,1,1
54JJ4MMYX,Cant,9X07VGM42,近江町食べ歩き隊,0,16422,3383287876,2,2,2,1,1,1,1,1,2
B006PH4DA,かほめぐの亡霊,CVJYALRGU,ラ！の会,0,16423,3381187555,4,4,4,4,4,6,4,3,7
9N4GL5YJD,nabeyan,F0DFY9N9C,ロンド・ベル,0,16424,3369389374,6,5,5,5,6,7,4,4,4
PHG9D1W6M,いなもん,LB2YHKR6K,さやか推し,1,16425,3362616235,1,1,1,1,2,4,8,1,1
J079S2SFF,imp1073,,,0,16426,3360209772,4,1,7,4,6,4,5,1,5
KVYLF9W6P,はるや,E050K9859,蓮党,0,16427,3354269861,4,8,2,7,5,9,1,5,1
HGNPA40M7,シトラス,W3UUXHMDV,水彩ブーケ,0,16428,3349830986,3,3,4,7,1,3,2,1,2
0ARHFIUG9,メルディ,6N3F238R0,イベント参加用,0,16429,3347119111,1,2,2,2,3,2,1,1,1
2F9N19ECM,ゆうすけ,U8GLCJVJP,コミュ障用誰でも,0,16430,3346214390,4,4,1,5,6,4,4,4,1
Y6AUJ66K3,もみ,M8LEKM6U4,ルリめぐ,0,16431,3345976156,5,4,1,4,4,4,1,4,1
WB45XP6CL,ムートン,M67ACEP3M,オーバーブースト,2,16432,3345266108,5,1,10,4,1,4,1,1,1
Y6PLNY9Q9,あや,LHXNEF3D5,まるまるサークル,0,16433,3340762864,2,2,1,2,1,1,1,1,1
TUBKCAXN8,ぽぽぽ,RBH0YM8P2,蓮ノ空ラーメン部,0,16434,3339267496,4,1,2,1,1,2,1,1,1
PWAP7L3NM,蓮,ATB27G5P2,おこめ茶寮,0,16435,3337518828,2,10,1,2,4,1,1,4,1
1JM8GDBD3,ねりぽて,1TTD4X6NC,一人親方,0,16436,3327462388,1,1,1,1,1,1,1,1,1
P1EWQ6QTA,えいと,M6UPWJ6DU,蓮結ぶ虹と星の音,0,16437,3316915075,2,1,1,1,2,1,1,1,1
FV9K6JGKP,troiisi,,,0,16438,3313745721,2,3,1,4,3,1,1,1,1
90AB8XN31,ゆう,6JFCA000E,ひとりぼっち,0,16439,3309418325,3,1,2,1,1,1,1,1,1
XXFRCA8DX,ヨーソロー,,,0,16440,3296332439,1,1,1,1,1,1,1,1,1
72W245AT9,繚華,,,0,16441,3286861542,1,1,1,1,1,1,1,1,4
