player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,さやか,小铃,吟子,慈,梢,缀理,瑠璃乃,花帆
TKLRD66RN,ふじー,BKLW6CR5L,Mix鮭の空!!,15,44,9898773190167448,10,10,10,10,10,10,10,10,10
L5FWMMCWN,マナト(偽物),FK5MUK0ET,くる♡すきクラブ,9,45,9886388073662780,10,10,10,10,10,10,10,10,10
AKMY82517,いずのあいさん,VW65MCVF8,スリスリーズ,15,46,9817688748696358,10,10,10,10,10,10,10,10,10
1FREY7CCF,ぱむぱむ,11XTEEEJT,リンクラ料理部,15,47,9816249941887040,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,8,48,9805975434840214,10,10,10,10,10,10,10,10,10
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,49,9795064637423664,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,50,9777010984087194,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,51,9776165101361658,10,10,10,10,10,10,10,10,10
V578L0R6J,mion,,,15,52,9734514389255916,10,10,10,10,10,10,10,10,10
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,53,9705965469208484,10,10,10,10,10,10,10,10,10
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,15,54,9677640866145726,10,10,10,10,10,10,10,10,10
0USG3I0AK,ピーちゃん,VW65MCVF8,スリスリーズ,15,55,9654653578789444,10,10,10,10,10,10,10,10,10
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,56,9638900604390344,10,10,10,10,10,10,10,10,10
ALF76WC94,あかつき,RWARTHA1M,乙宗梢大好き部,15,57,9620748118296846,10,10,10,10,10,10,10,10,10
5LL48ARPU,シュウ,BKLW6CR5L,Mix鮭の空!!,15,58,9612819028905900,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,59,9609810063794228,10,10,10,10,10,10,10,10,10
KXMPLAX04,ろーぱす,BKLW6CR5L,Mix鮭の空!!,15,60,9606566076053288,10,10,10,10,10,10,10,10,10
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,15,61,9604602880716708,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,14,62,9583390225579036,10,10,10,10,10,10,10,10,10
152BPF239,たると,YE7CX8RNP,蓮ノ大三十兆角,10,63,9569710422703196,10,10,10,10,10,10,10,10,10
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,64,9562728591490640,10,10,10,10,10,10,10,10,10
M3ANWTEQ1,"甘野老oNM,",73CBYJYB0,"oNM,",13,65,9550542268763248,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,66,9546908142730268,10,10,10,10,10,10,10,10,10
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,67,9536533591553272,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,68,9534975742103448,10,10,10,10,10,10,10,10,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,14,69,9534531683800492,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅,J7N4W6Y1K,こずミックラブ♡,15,70,9497584982160138,10,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,15,71,9461710803403676,10,10,10,10,10,10,10,10,10
KWSACZISO,すずき,CTW8DKV5P,まったり,15,72,9457981751774070,10,10,10,10,10,10,10,10,10
NC6WJYFVX,ヘブンズゲート,11XTEEEJT,リンクラ料理部,15,73,9455309129069332,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,15,74,9445368841458468,10,10,10,10,10,10,10,10,10
AFMBX6BPP,美鳩,PBRDPWEY1,村村会,13,75,9440968586585586,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,76,9427108423866968,10,10,10,10,10,10,10,10,10
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十兆角,15,77,9409744095132322,10,10,10,10,10,10,10,10,10
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,78,9407598370904576,10,10,10,10,10,10,10,10,10
S1JO65QZU,すと。,BKLW6CR5L,Mix鮭の空!!,9,79,9376940710634512,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,葵,VW65MCVF8,スリスリーズ,15,80,9354890361244306,10,10,10,10,10,10,10,10,10
M8KSSVGQS,おばすこ,BKLW6CR5L,Mix鮭の空!!,15,81,9331882112201960,10,10,10,10,10,10,10,10,10
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,82,9329367000074832,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,83,9313596851967572,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,8,84,9289212795159848,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,85,9284486067712874,10,10,10,10,10,10,10,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,86,9284295847014548,10,10,10,10,10,10,10,10,10
JC33CNHML,かすかす,PBRDPWEY1,村村会,14,87,9283472248071666,10,10,10,10,10,10,10,10,10
C7IMXOP79,ナーガ,FVJFA973A,蓮ノ空愛好会,0,88,9271563965802252,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,89,9255415004244012,10,10,10,10,10,10,10,10,10
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十兆角,15,90,9227428058110184,10,10,10,10,10,10,10,10,10
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,91,9226229516965176,10,10,10,10,10,10,10,10,10
H827FHG5T,つな,FC8NBAJBT,ラー麺二郎金沢店,15,92,9222527424976764,10,10,10,10,10,10,10,10,10
W5XCH27LY,クロ,D5A2EEG7F,わたくしは大丈部,2,93,9221454897006592,10,10,10,10,10,10,10,10,10
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,9,94,9220301302457642,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,13,95,9187082483740486,10,10,10,10,10,10,10,10,10
72SX1Q0B7,ティーケー,YE7CX8RNP,蓮ノ大三十兆角,10,96,9179036022936408,10,10,10,10,10,10,10,10,10
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,15,97,9177792983933752,10,10,10,10,10,10,10,10,10
LVOYGDF8A,norano,RWARTHA1M,乙宗梢大好き部,9,98,9175330038012382,10,10,10,10,10,10,10,10,10
T0AGDWEPM,ゆゆ,CX967RTGY,おんゆあさーくる,15,99,9168917571093372,10,10,10,10,10,10,10,10,10
AK6AYMM19,ごろよん,PBRDPWEY1,村村会,15,100,9159278448630468,10,10,10,10,10,10,10,10,10
DCU9XHY3U,しばひめ,YE7CX8RNP,蓮ノ大三十兆角,13,101,9149872988163240,10,10,10,10,10,10,10,10,10
4W6BIX284,りり,FK5MUK0ET,くる♡すきクラブ,15,102,9103956850535368,10,10,10,10,10,10,10,10,10
8YL7FPM4D,テツブリ,49AMYCXCD,ルドベキア,15,103,9095900095582496,10,10,10,10,10,10,10,10,10
OR2FS00BH,あぼます,494DMR1RJ,蓮ノ空推し活部,8,104,9068864122013148,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,105,9024795350373104,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,106,9009489637308452,10,10,10,10,10,10,10,10,10
QH44G80K9,ぱとんく,11XTEEEJT,リンクラ料理部,15,107,9008007231826856,10,10,10,10,10,10,10,10,10
838S79KWG,オバマが到来,BKLW6CR5L,Mix鮭の空!!,10,108,8963449720113725,10,10,10,10,10,10,10,10,10
JIKYKGGNX,ぬー,HBUK6F7CC,乙宗梢なりきり部,15,109,8957013274289323,10,10,10,10,10,10,10,10,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,110,8934266366086159,10,10,10,10,8,10,10,9,10
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,14,111,8913122032269496,10,10,10,10,10,10,10,10,10
2XWFCWBCR,そで,K4TAHF9YA,はすっこ準備室,12,112,8903257029793832,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,113,8902956001957545,10,10,10,10,10,10,10,10,10
DV73OQD94,ちゆ,BKLW6CR5L,Mix鮭の空!!,15,114,8897820736785879,10,10,10,10,10,10,10,10,10
PNCHE9KS0,凡ばぁどけーじ,WN5B7VKPU,きんぴられんこん,15,115,8895991634871687,10,10,10,10,10,10,10,10,10
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,116,8856244077736663,10,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,117,8849981368982407,10,10,10,10,10,10,10,10,10
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,12,118,8795897183463977,10,10,10,10,10,10,10,10,10
0K9AYHMNP,茉莉,VW65MCVF8,スリスリーズ,9,119,8786316101792379,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,120,8763743800158752,10,10,10,10,10,10,10,10,10
L0HOC7EEE,金無院田,YE7CX8RNP,蓮ノ大三十兆角,5,121,8758972361248913,10,10,10,10,10,10,10,10,10
3HDDUL1DX,シロくま,02XNKDH8X,せーはすの雑用係,11,122,8738243837336857,10,10,10,10,10,10,10,10,10
OYHRPRDN6,トマト先生,YE7CX8RNP,蓮ノ大三十兆角,6,123,8726139748991332,10,10,10,10,10,10,10,10,10
J5GI3NA6M,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,124,8709238470040617,10,10,10,10,10,10,10,10,10
RFP277XPM,スガ,11FB0EDDT,スクステ同好会,15,125,8708622062451675,10,10,10,10,10,10,10,10,10
ME00V6X4B,オラトニス,BKLW6CR5L,Mix鮭の空!!,15,126,8688538181870401,10,10,10,10,10,10,10,10,10
06K5U684T,らぎあくるしゅ,KND3T7056,ぽかぽかモガの村,13,127,8664550977404674,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,128,8659373898897551,10,10,10,10,10,10,10,10,10
JFND2KZVS,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,129,8658229732110946,10,10,10,10,10,10,10,10,10
8GYTX89XA,タ・シヅ,FVJFA973A,蓮ノ空愛好会,15,130,8648912150396723,10,10,10,10,10,10,10,10,10
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,7,131,8648115202948705,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,132,8640044105629716,10,10,10,10,10,10,10,10,10
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,133,8601913252691797,10,10,10,10,10,10,10,10,10
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,134,8601896555444568,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,135,8600818720251044,10,10,10,10,10,10,10,10,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,136,8577338517812924,10,10,10,10,10,10,10,10,10
FSHR5FP4W,Kian,0B4LPDY69,巣〜極楽〜,15,137,8567329754399862,10,10,10,10,10,10,10,10,10
KOKTCEUS1,にんじんソード,1BME38BCD,さすさやクラブ,15,138,8528457757384398,10,10,10,10,10,10,10,10,10
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,139,8520320414226789,10,10,10,10,10,10,10,10,10
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,140,8519883925269487,10,10,10,10,10,10,10,10,10
24M5TJDPS,わるつ,FVJFA973A,蓮ノ空愛好会,15,141,8493736405085230,10,10,10,10,10,10,10,10,10
G25EXFDYH,国民の力,25PMPEMG7,星見プロ,7,142,8484053830242957,10,10,10,10,10,10,10,10,10
81GLQQIAH,ジンベイ,6XX7GBM0K,ぷちぐる同好会,15,143,8446875335865987,10,10,10,10,10,10,10,10,10
JRT9COU68,あ,VW65MCVF8,スリスリーズ,15,144,8429418835658435,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,9,145,8425487767240987,10,10,10,10,10,10,10,10,10
7YZUF27YY,ユウキ,11FB0EDDT,スクステ同好会,15,146,8419716891547710,10,10,10,10,10,10,10,10,10
EFW2PMAHB,くら,YCTM6RYDP,金沢おでん同好会,15,147,8397884199016480,10,10,10,10,10,10,10,10,10
QUQRGUWJL,にしおり,49AMYCXCD,ルドベキア,15,148,8380750504711336,10,10,10,10,10,10,10,10,10
UFXL4JKYR,そら。,JDAG79TG7,百合ノ空観察部,12,149,8379899901835598,10,10,10,10,10,10,10,10,10
9X5GDG3PC,床,11XTEEEJT,リンクラ料理部,11,150,8370153434233174,10,10,10,10,10,10,10,10,10
4YTEQDE04,まんまる,1BME38BCD,さすさやクラブ,15,151,8347875421481436,10,10,10,10,10,10,10,10,10
6HHFM7N28,はなぶさ,0TKFF5EG3,サークル名募集中,10,152,8347608983395952,10,10,10,10,10,10,10,10,10
0YNR6FZYP,アカミソ,,,4,153,8309383385319361,10,10,10,10,10,10,10,10,10
M6J593C9W,うらかつ,494DMR1RJ,蓮ノ空推し活部,15,154,8289732318632864,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,14,155,8282834269857220,10,10,10,10,10,10,10,10,10
C3E5301MV,Peer,D7H8MN2U4,LLD,6,156,8260051363906659,10,10,10,10,10,10,10,10,10
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,14,157,8256319912452999,10,10,10,10,10,10,10,10,10
3LAV7X9TK,とい,RFYKY8DCD,LA.LA.LA,0,158,8255114062740618,8,9,8,9,7,10,8,9,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,15,159,8246558806250171,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,160,8234797959446396,10,10,10,10,10,10,10,10,10
W4E0R6NA9,そらをとぶ,BKLW6CR5L,Mix鮭の空!!,15,161,8203104919872593,10,10,10,10,10,10,10,10,10
70NE2637U,りふいっと,BKLW6CR5L,Mix鮭の空!!,7,162,8194571057709479,10,10,10,10,10,10,10,10,10
T8W3G9VWA,とれいん,GKR9TEBYC,毎日がホリデイ♪,12,163,8171728433380161,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,ごろーざ,FVJFA973A,蓮ノ空愛好会,15,164,8152037530140101,10,10,10,10,10,10,10,10,10
MHUB8095B,どらろー,25PMPEMG7,星見プロ,15,165,8094342495701106,10,10,10,10,10,10,10,10,10
A1YL665HX,dai,YCTM6RYDP,金沢おでん同好会,15,166,8079366976986623,10,10,10,10,10,10,10,10,10
1KEVDVFF9,のら,WN5B7VKPU,きんぴられんこん,8,167,8065378548613679,10,10,10,10,10,10,10,10,10
2RXBMCHH9,ぶるおんせん,YE7CX8RNP,蓮ノ大三十兆角,10,168,8033077532954768,10,10,10,10,10,10,10,10,10
74M5NJZTF,lanndamu,RWARTHA1M,乙宗梢大好き部,15,169,7991770042788659,10,10,10,10,10,10,10,10,10
KWNXKNY6X,応愛こず,49AMYCXCD,ルドベキア,15,170,7986473630549777,10,10,10,10,10,10,10,10,10
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,171,7981058288012380,10,10,10,10,10,10,10,10,10
FRTXRTHK1,コルド,49AMYCXCD,ルドベキア,15,172,7969752894547848,10,10,10,10,10,10,10,10,10
DEVDG82YE,ジョーくんぱす,N0EXH1CM1,ぱちぱち徒町,8,173,7953408828646410,10,10,10,10,10,10,10,10,10
5GUR9X53N,すてぽ,2B97MH4YA,同じ話し何回も…,9,174,7947014649260402,10,10,10,10,10,10,10,10,10
GXADUIMKY,みず,G59NGM0XA,シュリーレン,0,175,7943622204089658,10,10,10,10,10,10,10,10,10
FSJBKEC6U,レアコイル(本物,YE7CX8RNP,蓮ノ大三十兆角,7,176,7941624424826783,10,10,10,10,10,10,10,10,10
VLVZCU5K1,ひなつき,B5V2LNN43,WMW,15,177,7920067304971874,10,10,10,10,10,10,10,10,10
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,178,7919754236925137,10,10,10,10,10,10,10,10,10
