player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,花帆,小铃,さやか,姬芽,瑠璃乃,塞拉斯,泉,季度等级,104季度等级
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,493,20200500,5,8,4,6,5,10,7,5,50,38
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,494,20193000,7,7,7,8,7,7,10,7,60,43
7H13P2EPG,せとか,,,15,495,20192000,8,10,8,8,8,7,10,7,66,49
AADHJTAH6,ハッピー至上主義,0UT59MJ8U,かほすこ同好会,1,496,20189500,6,10,6,7,6,6,9,8,58,41
NG3YLD3WC,たそーら,73CBYJYB0,"oNM,",13,497,20188000,6,6,7,6,7,6,10,9,57,38
L0HOC7EEE,金無院田,YE7CX8RNP,蓮ノ大三十角ex,5,498,20186000,7,8,7,7,7,6,10,7,59,42
YJWW44VBR,ひの,RWARTHA1M,乙宗梢大好き部,9,498,20186000,5,10,5,5,5,5,7,7,49,35
ZA8HHDJM4,中川夏紀,EYN9H9N16,蓮すきすきクラブ,15,500,20184950,7,7,7,9,7,7,10,8,62,44
X78ZIRY1X,とく,R1RM3X0WV,後方腕組みオタク,0,501,20170000,8,10,7,8,7,8,10,8,66,48
8VBLF9GS8,火達磨,578YG6EAT,桜桃花束愛聴会,10,502,20163000,9,10,8,8,8,9,10,9,71,52
DFBXXJLL3,ポット,RFYKY8DCD,LA.LA.LA,9,503,20153000,7,8,6,7,7,8,10,6,59,43
RM8XVIS1J,ローレンス,V4A5MP41E,徒町チャレンジ！,15,504,20149000,7,10,7,7,7,7,10,7,62,45
