player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,さやか,姬芽,吟子,小铃,花帆,塞拉斯,泉,季度等级,104季度等级
EQCWYNLEG,サグ☆ナッツ,7R8NKPAB1,花帆推し倶楽部,6,449,27177500,6,6,7,6,6,10,7,4,52,41
DZD7E4Z46,チャックん,J8HXTJ8TB,流し素麺同好会,6,449,27177500,5,8,6,7,8,10,10,7,61,44
0TLDUDJ0J,すとーん,25PMPEMG7,星見プロ,12,451,27171100,6,6,7,8,6,8,8,5,54,41
XL4KR3J0W,あつ,0TKFF5EG3,サークル名募集中,13,452,27168500,7,8,7,8,7,10,6,6,59,47
1WHW3FXE7,コルセ・アスミ,MTBP3B4GM,ふらわーすきすき,11,453,27167000,5,6,6,6,6,8,7,8,52,37
8VNOEJXKL,めじろ,X7C21B7H7,泥,15,454,27159000,7,7,7,7,6,9,8,6,57,43
UYBPPXGKU,幸運の追い風,HBM31HMUY,YUKIZURI,12,455,27155000,6,7,8,6,6,9,9,7,58,42
CK49KFTJ1,こーどどどーん,RXXUPMWB9,待機室跡地観測所,5,456,27151900,7,7,6,6,7,10,8,7,58,43
DP15KUDDM,やゆ,49AMYCXCD,ルドベキア,9,457,27151625,8,8,8,8,9,10,10,6,67,51
AMWA5QPIS,かみきれ,W26TRPM1R,めぐ党藤島派,15,458,27146500,6,9,6,8,8,9,10,6,62,46
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,459,27145500,10,6,5,5,4,8,7,5,50,38
MGO4M6TKM,ユノ,,,6,460,27140000,9,9,7,7,7,9,10,6,64,48
OKGTPXFZ3,くのｗ,RFYKY8DCD,LA.LA.LA,12,461,27131500,7,7,6,8,7,8,10,7,60,43
34QCZTDD9,ベルりん,J8HXTJ8TB,流し素麺同好会,15,461,27131500,6,7,6,6,6,8,10,6,55,39
79D79HTEC,いっちー,D7H8MN2U4,LLD,6,463,27126500,7,7,7,8,9,9,9,8,64,47
G9H0HMGHX,ヒマラヤン,8R49BTWW6,蓮女お嬢様クラブ,15,464,27126085,10,10,8,8,8,10,8,8,70,54
P6OYR4PGF,フナッチ,WN5B7VKPU,きんぴられんこん,13,465,27115500,6,6,6,6,6,9,7,4,50,39
A3GT3EAPG,ichiro_j,0TKFF5EG3,サークル名募集中,15,466,27114200,7,7,7,8,7,10,9,7,62,46
0AIT0SH3M,Pastel,M5LHG6R4T,乙宗動物園,11,467,27114125,7,7,7,7,7,10,10,6,61,45
EQM3PYC53,プリン,R9T0YKDW8,かちまち応援隊,15,468,27105500,7,7,6,6,6,10,8,6,56,42
YHD181KD3,ゾ・シAN@,KND3T7056,ぽかぽかモガの村,14,469,27103750,6,6,6,5,5,9,9,7,53,37
EIJ9NR6QJ,もんじゃくん,9W43TY3MB,兎小屋ｼﾏﾘｽ部,11,470,27101500,9,9,7,8,8,10,10,9,70,51
UWTH7CJXX,アウル,GXR6C85BT,花帆ちゃん親衛隊,13,471,27094000,6,6,5,7,6,8,10,8,56,38
12GTXCH5V,Juice,7XH3K4GBT,LLP,14,472,27085000,7,8,8,7,6,10,10,5,61,46
MH25XY5YR,「」リ,NMT63RUDV,泥村,15,473,27083500,7,8,8,8,8,9,10,7,65,48
43JYBJIVA,やこう,GXR6C85BT,花帆ちゃん親衛隊,6,474,27070600,6,6,6,7,6,7,10,7,55,38
ZGJ44DOBJ,tomatore,X7C21B7H7,泥,3,475,27060000,6,6,7,7,6,8,9,6,55,40
1908GAXUT,source,CV62FGL1U,花咲かせ隊,15,476,27056500,7,7,7,7,7,10,8,7,60,45
F0546GHPH,ようへい,,,1,477,27051000,7,7,7,7,7,10,8,6,59,45
ZA8HHDJM4,中川夏紀,EYN9H9N16,蓮すきすきクラブ,15,478,27048450,7,9,7,7,7,8,10,8,63,45
ZYR6MKI25,Ringo,L15B25270,蓮女マネージャー,11,479,27044100,6,6,6,6,6,8,9,6,53,38
KJ69D4PA4,ぱん,G59NGM0XA,シュリーレン,15,480,27042500,7,7,8,6,7,10,10,7,62,45
G9KY68ADP,よっしー,JE7V5MM31,蓮ノ沼に沈んだ泥,0,481,27036500,6,6,6,6,6,7,9,6,52,37
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,482,27029000,7,8,7,7,7,7,10,7,60,43
AADHJTAH6,ハッピー至上主義,0UT59MJ8U,かほすこ同好会,1,483,27028500,6,7,6,6,7,10,9,8,59,42
7M2TYXN5R,琉加るか,0TKFF5EG3,サークル名募集中,12,484,27006500,6,7,6,6,6,9,7,6,53,40
IPI65P1CN,Maru@@,R9TC4WP0R,月夜見くらぶ＾～,4,485,27000000,6,6,6,6,6,10,8,6,54,40
8DV5XX99R,あぐ゛,25PMPEMG7,星見プロ,11,486,26990900,5,8,7,7,7,9,8,4,55,43
JHA2S8IM3,pano,GKR9TEBYC,毎日がホリデイ♪,15,487,26987000,8,8,7,7,7,9,9,7,62,46
