player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,52,7890000,10,9,8,8,8,6,9,10,68
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,54,7885000,8,10,9,9,9,9,9,10,73
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,55,7865000,7,7,8,8,8,8,8,8,62
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,56,7863000,6,6,8,6,9,8,6,9,58
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,57,7847500,9,8,6,7,7,6,7,7,57
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,58,7845000,7,6,6,8,7,6,6,7,53
V6X4BPJ37,SHIRO,G59NGM0XA,シュリーレン,15,59,7831500,6,9,10,8,9,8,5,9,64
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,60,7825000,7,7,7,7,7,7,7,7,56
U7NEBV4KH,こーど,,,15,61,7824500,8,6,6,6,7,6,7,7,53
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,6,62,7814000,10,7,7,7,8,7,6,8,60
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,63,7811500,5,7,8,8,7,7,4,7,53
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,64,7799000,8,7,6,7,7,7,6,7,55
LQEN0GFVZ,ごろーざ,,,15,65,7798500,7,7,7,7,7,7,7,8,57
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,66,7797000,7,7,6,7,6,6,7,6,52
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,67,7794000,9,6,7,6,8,6,9,6,57
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,68,7770000,6,8,7,7,8,7,5,8,56
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,69,7760000,5,6,7,7,7,7,5,6,50
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,70,7753000,6,9,8,9,8,9,7,9,65
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,71,7747500,9,5,6,5,6,6,9,6,52
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,72,7744000,5,8,8,8,9,7,5,9,59
C7IMXOP79,ナーガ,FVJFA973A,月猫愛好会,0,73,7730500,9,7,7,6,8,8,9,8,62
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,74,7725000,8,8,8,7,8,8,7,8,62
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,75,7724000,6,6,8,8,8,8,6,8,58
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,76,7711500,8,7,7,8,8,7,7,9,61
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,77,7710000,8,8,7,7,7,7,7,7,58
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,9,78,7702000,7,7,8,7,7,8,7,7,58
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,79,7700500,6,8,8,7,7,8,6,8,58
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,80,7689000,7,6,6,7,7,6,7,7,53
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,81,7688500,7,6,7,7,7,7,8,7,56
J5GI3NA6M,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,82,7672500,10,8,7,7,8,8,7,7,62
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,83,7668000,6,8,8,7,9,8,6,7,59
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,84,7655000,10,7,8,8,8,7,8,8,64
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,85,7652000,6,6,7,7,7,6,5,7,51
ODE064I6J,ちあき,M5LHG6R4T,乙宗動物園,12,86,7645000,4,6,6,7,8,6,4,8,49
4NF07ZA7K,ゆーさく,VW65MCVF8,スリスリーズ,15,86,7645000,7,9,8,8,9,7,10,8,66
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,15,88,7635000,8,7,7,7,8,7,8,8,60
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,89,7595500,6,6,6,6,7,6,6,6,49
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,15,90,7591000,7,8,7,7,7,7,7,7,57
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,15,91,7588500,8,6,6,5,6,6,7,6,50
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,15,92,7587500,4,8,8,7,8,8,5,8,56
8GYTX89XA,桂木しづみ,,,15,93,7581500,8,6,7,7,7,7,7,7,56
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,94,7579000,7,6,5,9,6,6,7,6,52
KWNXKNY6X,応愛こず,49AMYCXCD,ルドベキア,15,95,7572000,4,7,8,7,8,8,2,8,52
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,96,7571000,10,5,6,5,7,5,5,6,49
M13CTUF6N,ニール,49AMYCXCD,ルドベキア,15,97,7570000,8,8,7,8,8,7,8,9,63
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,98,7559500,8,8,8,8,6,9,8,9,64
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,15,98,7559500,8,7,7,7,7,7,8,7,58
NC6WJYFVX,でら,,,15,100,7557000,3,6,6,6,6,6,5,6,44
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,101,7556500,10,7,7,6,7,7,6,6,56
DES39P1DL,ェダ,B5V2LNN43,WMW,14,102,7539000,5,6,6,6,6,6,5,6,46
64M70NFSR,いなば,VW65MCVF8,スリスリーズ,15,103,7537000,7,6,6,7,10,5,6,6,53
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,103,7537000,5,5,7,7,7,7,5,7,50
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,105,7536500,6,7,7,6,6,7,6,7,52
5K59F4UVE,ガチャ至上主義,11FB0EDDT,スクステ同好会,15,106,7536000,9,6,6,6,6,6,8,6,53
30CWC728L,naonao,2K5AM4RV0,とろぺりです,4,107,7530500,8,8,7,8,7,7,8,8,61
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,108,7528000,10,7,7,7,7,8,4,7,57
