player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,45,39896500,8,7,10,10,7,7,6,7,62,49
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,46,39890000,10,8,8,8,8,8,7,10,67,50
IN27C39RY,スス,9YM3DBTB7,泥民館,15,47,39859000,9,9,9,9,9,9,8,10,72,54
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,48,39825000,8,9,9,8,8,9,8,10,69,51
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,49,39590000,10,9,8,8,9,8,8,10,70,52
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,50,39509000,10,7,8,9,8,8,5,7,62,50
J9C1NN8VB,私はマグネット,VW65MCVF8,スリスリーズ,15,51,39459000,10,6,6,9,5,6,7,9,58,42
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,52,39388000,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,53,39340500,7,6,6,6,6,8,6,10,55,39
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,54,39336000,10,6,7,7,6,6,6,8,56,42
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,55,39303000,10,7,9,8,7,8,7,10,66,49
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,56,39280000,10,8,9,6,8,9,6,7,63,50
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,57,39237000,10,7,8,7,8,7,7,9,63,47
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,9,58,39194000,10,10,10,10,10,10,10,10,80,60
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,59,39175000,10,9,10,9,9,9,9,10,75,56
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,60,39104500,10,7,8,8,7,7,7,9,63,47
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,61,39102000,7,6,10,6,7,6,7,10,59,42
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,62,39089500,9,10,10,9,8,8,8,10,72,54
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,63,39007000,10,7,10,8,8,9,5,8,65,52
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,64,38847000,9,8,8,8,8,9,6,10,66,50
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,65,38815000,10,7,6,7,7,7,5,6,55,44
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,66,38806500,8,7,7,8,7,8,7,10,62,45
U7NEBV4KH,こーど,,,15,67,38701000,10,8,8,8,8,8,7,9,66,50
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,68,38684000,10,6,7,7,6,7,7,9,59,43
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,69,38586000,7,7,7,6,7,7,9,10,60,41
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,70,38556000,10,9,8,8,8,9,6,7,65,52
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,71,38550000,9,7,7,7,7,7,5,8,57,44
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,72,38534500,10,7,6,6,10,6,6,6,57,45
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,73,38519500,10,8,8,7,7,9,6,7,62,49
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,74,38387000,10,8,8,7,8,9,7,8,65,50
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,75,38379500,10,7,8,7,7,7,7,9,62,46
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,76,38372500,10,7,7,6,8,6,6,8,58,44
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,77,38350000,10,9,9,9,9,8,9,10,73,54
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,78,38333500,10,6,6,6,7,8,9,10,62,43
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,79,38307500,10,8,9,6,8,9,9,10,69,50
C7IMXOP79,ナーガ,FVJFA973A,月猫愛好会,0,80,38304000,10,8,9,7,8,8,9,10,69,50
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,81,38296000,10,7,8,7,8,8,7,10,65,48
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,82,38209500,10,6,7,7,7,7,5,7,56,44
CL0CDYUYY,御所ヶ丸,PBRDPWEY1,村村会,15,83,38191500,10,7,8,7,7,7,7,8,61,46
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,84,38150500,9,7,7,7,7,7,8,9,61,44
8GYTX89XA,桂木しづみ,,,15,85,38135500,10,7,7,7,7,7,8,10,63,45
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,86,38077500,10,8,8,8,8,8,6,7,63,50
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,15,87,38034000,10,8,8,9,8,8,8,9,68,51
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,88,38000000,10,7,8,8,8,8,4,5,58,49
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,15,89,37996500,9,9,10,9,9,9,9,10,74,55
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,90,37952500,8,8,8,8,8,8,7,10,65,48
M8KSSVGQS,辛味チキン,2VB9FPCTL,音ゲー待機室,15,91,37928500,10,7,8,8,7,8,7,10,65,48
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,11,92,37921500,10,9,8,8,8,8,8,10,69,51
