player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
D0RVYCT5J,mono,9WDMCJNFX,雨と風と太陽と,12,1,8890000,534944890360390,5,503118189604305,3,793448491247091,7,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,M5LHG6R4T,村村動物園,9,2,8710000,544886092304620,1,518812878024362,1,669153509509201,47,10,10,10,10,10,10,10,10,80,60
JVDRVFFBP,サマポケ放送中,9WDMCJNFX,雨と風と太陽と,15,3,8705000,534838035693645,6,490251438081184,17,766393127204427,14,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,9WDMCJNFX,雨と風と太陽と,15,4,8670000,527565383594644,12,492587870834084,12,761493593478186,15,10,10,10,10,10,10,10,10,80,60
IZUFEEX2U,アルメ,9WDMCJNFX,雨と風と太陽と,15,5,8660000,528327170490061,10,494443967789990,9,711143119608183,25,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,村村動物園,15,5,8660000,526151623816146,17,495340748157580,7,728659429401801,21,10,10,10,10,10,10,10,10,80,60
ME00V6X4B,オラトニス,M5LHG6R4T,村村動物園,15,5,8660000,536363241328031,4,498647584155855,4,671294586504719,45,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,9WDMCJNFX,雨と風と太陽と,15,8,8655000,542467438025830,2,489062916431715,18,693681610301060,31,10,10,10,10,10,10,10,10,80,60
CAH984HAW,be proud,M5LHG6R4T,村村動物園,15,9,8635000,486847328113502,60,484428869564015,21,860863892628126,1,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,9WDMCJNFX,雨と風と太陽と,15,10,8625000,527453125779184,14,483858076674392,22,774928665889954,11,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,9WDMCJNFX,雨と風と太陽と,9,11,8615000,522778551568419,22,494290972028106,10,739126646975082,19,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,9WDMCJNFX,雨と風と太陽と,15,12,8595000,521393915231359,25,503478734414120,2,690156374544913,33,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,ﾁｭｹの点描の唄,9WDMCJNFX,雨と風と太陽と,15,13,8560000,527126745786120,16,477502837531468,28,759893608219329,16,10,10,10,10,10,10,10,10,80,60
WCN6J32TG,しみちゃん,9WDMCJNFX,雨と風と太陽と,15,14,8550000,514698367243572,33,493712614685311,11,744198286258113,18,10,10,10,10,10,10,10,10,80,60
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,15,8535000,510857236874546,38,481189675413946,25,807111699890580,6,10,10,10,10,10,10,10,10,80,60
8XP3JM3HY,ハヤシモリ,M5LHG6R4T,村村動物園,13,16,8530000,522141853370465,24,485333062191290,20,724803652574777,22,10,10,10,10,10,10,10,10,80,60
UA5OC8495,zth,9WDMCJNFX,雨と風と太陽と,15,17,8525000,499477044722428,49,485605579434469,19,835203581877489,4,10,10,10,10,10,10,10,10,80,60
GRN5C49P3,MAV,9WDMCJNFX,雨と風と太陽と,15,18,8520000,514634011892164,34,472833418031625,34,821807348480440,5,10,10,10,10,10,10,10,10,80,60
BJ2YEFM93,テンババア,9WDMCJNFX,雨と風と太陽と,15,19,8500000,521081602668585,27,495075869017092,8,681465564216511,39,10,10,10,10,10,10,10,10,80,60
