player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,小铃,慈,瑠璃乃,さやか,花帆,缀理,梢
L6HBG7C3L,45,979948278029209,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
T95Y9M2F4,46,959336148811678,いくりら,M5LHG6R4T,乙宗動物園,11,10,10,10,10,10,10,10,10,10
Z55OCBCZ1,47,958849117121676,すこや,RFYKY8DCD,LA.LA.LA,15,10,10,10,10,10,10,10,10,10
24M5TJDPS,48,956759041213483,わるつ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10
LVRF4GDVF,49,956341084778249,るびたぬ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
3T48QL4MY,50,955327955157554,るるる,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
W6KGEJ697,51,946144901556673,まだまだお,BKLW6CR5L,Mix鮭の空!!,6,9,9,9,10,10,10,10,10,10
VX6FL3EOS,52,945456196046825,ミミル,MAJT0THVB,眩耀夜行,12,7,7,7,10,9,9,8,10,9
VGWT7LCX7,53,944865556677577,ZUC,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
XCRX2GAFB,54,943725178189849,なる,WN5B7VKPU,きんぴられんこん,11,10,10,10,10,10,10,10,10,10
9L52YPRA1,55,939493409063476,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
FSHR5FP4W,56,936099669385348,Kian,0B4LPDY69,巣〜極楽〜,15,10,10,10,10,10,10,10,10,10
U1IQYBNI5,57,931913368599227,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
NOB5KDBV6,58,925020660735029,しる220,0UT59MJ8U,かほすこ同好会,15,8,9,8,10,10,10,10,10,10
TW9L2LKS7,59,924635674687226,パワッチョ,YE7CX8RNP,能京カバディ部,15,10,10,10,10,10,10,10,10,10
9ENVXR95K,60,924563240572984,マオ,MAJT0THVB,眩耀夜行,7,8,8,8,10,9,9,9,10,10
U7NEBV4KH,61,924372306182549,こーど,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
VCYWGAUP5,62,923763902787973,さく……,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
8OJ4K93MD,63,919691800472899,コロ,HBUK6F7CC,乙宗梢なりきり部,11,9,10,9,10,10,10,10,10,10
5W83UKK4H,64,917827783392297,望月,1BME38BCD,さすさやクラブ,15,10,10,10,10,10,10,10,10,10
IMAK5NFHF,65,917277677772455,よもぎ,YE7CX8RNP,能京カバディ部,13,10,10,10,10,10,10,10,10,10
NJTVVJ3AR,66,915654453314057,もつに(反省),EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
6X3LMM5NH,67,915028382731583,ズライカ,X7C21B7H7,泥,15,10,10,10,10,10,10,10,10,10
ED3WCG3KU,68,913975883732397,千早愛音,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
TKLRD66RN,69,911543201164930,ミンナノタメニ！,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
ON66GC85Z,70,910070444388638,ミツボシ,JTX1G19BP,さやかほ癒し会,15,10,10,10,10,10,10,10,10,10
EFW2PMAHB,71,906229159749155,くら,YCTM6RYDP,金沢おでん同好会,15,10,10,10,10,10,10,10,10,10
1FREY7CCF,72,904539964652667,ぱむぱむ,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10
KWSACZISO,73,903798156407742,すずき,CTW8DKV5P,まったり,15,10,10,9,10,9,10,10,10,10
IEBYCC1D7,74,901927733783965,わらび餅,RFYKY8DCD,LA.LA.LA,12,9,9,8,10,9,8,8,10,10
TRLEB6AD0,75,900817735696804,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,15,10,10,10,10,10,10,10,10,10
ODE064I6J,76,900719403484485,ちあき,M5LHG6R4T,乙宗動物園,10,9,9,9,10,10,10,10,10,10
NC6WJYFVX,77,899576863374228,でら,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
4W6BIX284,78,898958254954671,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,10,10,10,10,10,10,10,10,10
VDNBJFHAE,79,897975190936988,稲妻葵,FVJFA973A,蓮ノ空愛好会,11,10,10,10,10,10,10,10,10,10
EEODMO0PN,80,897899845081428,kazami,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10
AT03UHE11,81,897591856773300,えむ,25PMPEMG7,星見プロ,13,9,9,9,10,10,10,10,10,10
PG3THEV4C,82,897181331176917,あお,EYN9H9N16,蓮すきすきクラブ,6,8,8,8,10,10,10,7,10,10
CO2UVBYHH,83,896226337315084,更新事前連絡希望,VW65MCVF8,スリスリーズ,1,8,7,8,10,9,6,6,10,8
K137HR419,84,895901927946337,しょうご,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
GTVU8FY2P,85,895574746227912,めぐx2りらーと,FK5MUK0ET,くる♡すきクラブ,8,10,10,10,10,10,10,10,10,10
8DSWY1SNL,86,895339710397250,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,10,9,10,10,10,10,10,9,10
L0HOC7EEE,87,895002245930080,まほプリ神,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
GVNJDLBW8,88,891981699572393,魔虚羅,11XTEEEJT,リンクラ料理部,11,9,8,9,8,8,8,8,10,10
8GYTX89XA,89,891660114091992,めぐ党さん,FVJFA973A,蓮ノ空愛好会,8,9,9,9,10,9,10,10,10,10
XH8YBK7X1,90,889639001859446,アイマスP,25PMPEMG7,星見プロ,10,10,9,9,10,10,10,10,10,10
5LL48ARPU,91,889519002763785,シュウ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
VFEKJ4R8Q,92,888882011373628,はやみん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
68X4A67UG,93,886418820285738,いたこ,FE282F3VH,天悶部,13,10,10,10,10,10,10,10,10,10
JFND2KZVS,94,883840624304158,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10
7RODEB74T,95,883515612347704,しよー,RWARTHA1M,乙宗梢大好き部,15,10,9,10,10,10,10,10,10,10
K8XN5UVA3,96,876413070335848,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,10,10,10,10,10,10,10,10,10
BJI9H7CC6,97,873305826633740,エイジ,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
68S69TGO8,98,872445724659811,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,9,9,9,9,9,10,9,9,9
9FCM2N4CA,99,872281011546276,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,12,9,9,9,10,10,10,10,10,10
P4ZNDWHDA,100,871138876777940,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,7,8,8,10,10,9,10,10,10
U8OROTM2Y,101,870704602288168,なってしまった！,YCTM6RYDP,金沢おでん同好会,11,9,7,7,10,8,10,9,9,10
W4E0R6NA9,102,870099208482908,笑顔の約束,BKLW6CR5L,Mix鮭の空!!,14,8,10,8,10,9,10,10,10,10
ME00V6X4B,103,869702306491477,オラトニス,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
838S79KWG,104,869573338127536,紅蓮の破壊神,BKLW6CR5L,Mix鮭の空!!,7,10,10,10,10,10,10,10,10,10
7Q17H65NQ,105,869425062720861,mitsu,YE7CX8RNP,能京カバディ部,14,10,10,10,10,10,10,10,10,10
AJMEJX0KG,106,866717178966769,こーか,B5V2LNN43,WMW,12,10,10,10,10,10,10,10,10,10
CRBY4XCB9,107,865258243882286,すべゆるお,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
RFP277XPM,108,862173573655765,スガ,11FB0EDDT,スクステ同好会,12,9,9,9,10,9,9,9,10,10
7VGVR7YBY,109,861999520970090,いとしりん♡♡♡,FVJFA973A,蓮ノ空愛好会,14,7,7,10,10,10,6,7,10,8
BE9A0VUV4,110,861796685859860,覚醒クッキー,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10
MHUB8095B,111,859867201813349,どらろー,25PMPEMG7,星見プロ,14,10,10,10,10,10,10,10,10,10
XB2VHAJYV,112,856668312249638,まさお,GMEF2K8DL,花咲く泥も好き²,3,10,10,10,10,9,9,9,9,9
Y2LLTQ4MF,113,856322603999402,Lautrum,M5LHG6R4T,乙宗動物園,15,10,10,10,10,10,10,10,10,10
FSJBKEC6U,114,856314012916498,モンスターボール,YE7CX8RNP,能京カバディ部,7,8,8,9,10,9,8,9,10,9
W51RD80OU,115,855674166508047,赤飯のごま塩,49AMYCXCD,ルドベキア,15,10,10,10,9,10,9,9,10,9
RKVK0YI1L,116,855545262922352,おらぴさん,1BME38BCD,さすさやクラブ,14,8,8,8,9,9,9,9,8,9
