player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,音游分数,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
CDTVPL2BX,LIGH-KOU,K25DPPGT9,圧倒的にまったり,1304,10,1043,11907000,,,10,10,10,10,10,10,10,10,80
J0CF7WY7R,おーちゃん,B5V2LNN43,WMW,1367,11,1044,11905000,11826213918.0,503.0,10,10,10,10,10,10,10,10,80
DKCU5911H,あんこ,YCTM6RYDP,金沢おでん同好会,1406,16,1045,11904900,10599174609.0,544.0,10,10,10,10,10,10,10,10,80
FCG17HTDC,カニカイ,9FF5JBNDF,めぐすきクラブ,1585,18,1046,11896000,791150213.0,1512.0,10,10,10,10,10,10,10,10,80
BXVWFVNW5,春日影,919XF8V2V,蓮之空大三腳,1127,14,1047,11894000,9078287310.0,602.0,10,10,10,10,10,10,10,10,80
BYP30MHXJ,TK,2K5AM4RV0,とろぺりです,1193,11,1048,11888000,8086783796.0,648.0,10,10,7,8,10,9,7,9,70
FY75UBXCL,ぷにぱんだ,J8HXTJ8TB,流し素麺同好会,1359,10,1049,11887000,11490212318.0,510.0,10,10,10,10,10,10,10,10,80
0T75620R6,りっくん,2B97MH4YA,同じ話し何回も…,1313,18,1049,11887000,9712649032.0,579.0,10,10,10,10,10,10,10,10,80
J63BU63IU,イクコウ,YFADYJVW4,FPS好きクラブ,1523,17,1049,11887000,,,10,10,10,10,10,10,10,10,80
R50ENN3PN,ろっく,RFYKY8DCD,LA.LA.LA,1510,15,1052,11885700,,,10,10,10,10,10,10,10,10,80
MY2P7YB3V,saku,W3YKKRWHG,ルリと愉快な一家,1255,18,1053,11880000,,,10,10,10,10,10,10,10,10,80
KVRSXLYW0,かねはら,8FR866PRY,蓮っ子みらくラブ,1570,18,1054,11878000,15047041503.0,424.0,10,10,10,10,10,10,10,10,80
JZ1E4FOB6,むらさきつばき,AWFDLJ1HC,小蓮花（重生版x,1112,1,1055,11875000,9430456007.0,587.0,10,10,10,10,10,10,9,9,78
D1T17CR7L,ふらぴく∬,8JMW9G2XW,僕らのリンクラ！,1496,18,1056,11872000,10598467308.0,545.0,10,10,10,10,10,10,10,10,80
2LLMP3JEA,かわや,0TKFF5EG3,サークル名募集中,1417,9,1057,11867000,,,10,10,10,10,10,10,10,10,80
5BP0BM5WG,みゃーさま@鈴原,E12PR824F,ゆるっと蓮ノ空,636,2,1058,11866000,9832456427.0,575.0,10,10,10,10,10,10,10,10,80
XGA0TTJ7I,ときのき,YCTM6RYDP,金沢おでん同好会,1568,16,1058,11866000,34891527.0,2912.0,10,10,10,10,10,10,10,10,80
MCLPXRE1E,ファラオ,1DU9LCND7,蓮ノ空すこやか部,1393,12,1060,11864000,,,10,10,10,10,10,10,10,10,80
3EA3R0TYA,あすか,F8MLHU2NV,乙宗梢様､､､,1315,0,1060,11864000,,,10,10,10,10,10,10,10,10,80
6AEKZEMQ6,ふゆねこ,BKUHCT7WF,蓮女お嬢様部,1408,18,1062,11859000,3025677267.0,1032.0,10,10,10,10,10,10,10,10,80
A2AFNK3F0,やっしゅん,W3YKKRWHG,ルリと愉快な一家,1468,18,1063,11853000,9045136611.0,604.0,10,10,10,10,10,10,10,10,80
79OHCMGA6,ユーレン,WN3LHKX0L,レンコンおいしい,1439,18,1064,11837000,,,10,10,10,10,10,10,10,10,80
8E10AX3J2,CAPM,79C17CHA2,蓮ノ空出張部,1333,16,1065,11836000,,,10,10,10,10,10,10,10,10,80
XY15TEL69,_ﾏ,GW4CH70HK,TKG同好会,1140,17,1066,11835000,9463282503.0,585.0,10,10,10,10,10,10,10,10,80
5D40MOFIU,つづこず世界,WCL6R1ANU,無所属の会,1337,10,1067,11833000,9194903235.0,599.0,10,10,10,10,10,10,10,10,80
CJC6QJ6HK,くあんた,9UKKACGDU,蓮っ子CLUB,1511,10,1068,11831000,,,10,10,10,10,10,10,10,10,80
N5U5H5DCX,シューマイ,1DU9LCND7,蓮ノ空すこやか部,1178,12,1069,11830000,9086518799.0,601.0,10,9,9,9,10,10,9,9,75
7J35LPAK6,ぜんざい屋,GN1798YEX,ド!ド!同好会,1352,6,1070,11828000,9199955399.0,598.0,10,10,10,10,10,10,10,10,80
W0D0FD1RO,ファンタ,GMEF2K8DL,花咲く泥も好き²,1415,18,1071,11827000,10500210125.0,547.0,10,10,10,10,10,10,10,10,80
87HHNCP84,こおり,CTW8DKV5P,まったり,948,6,1072,11825000,8681068706.0,614.0,10,10,10,10,10,10,10,10,80
89E28KMLV,Dav,E515TRU1G,起きろ夕霧綴理,954,4,1073,11824000,8879338064.0,608.0,10,9,10,10,10,10,8,10,77
VBIVA29QF,りんてる,4XRHRYDW4,無言でエンジョイ,1473,15,1074,11821640,11981051905.0,499.0,10,10,10,10,10,10,10,10,80
M96XRQZRW,一輝,RFYKY8DCD,LA.LA.LA,1449,15,1075,11818000,,,10,10,10,10,10,10,10,10,80
K4KXET9FL,センソン,X7C21B7H7,泥,1273,15,1076,11816000,8905250001.0,607.0,10,10,10,10,10,10,10,10,80
W0JH3ZDZZ,春風,0UT59MJ8U,かほすこ同好会,1496,10,1077,11813000,,,10,10,10,10,10,10,10,10,80
IPPJEH8FD,あいうえお,WHWT61ELR,【無言】ハスノソ,1271,13,1078,11812500,,,10,10,10,10,10,10,10,10,80
0R6JF8Y94,ししゃーも,0TKFF5EG3,サークル名募集中,1332,14,1079,11812400,,,10,10,10,10,10,10,10,10,80
5E7KHJ7EN,さんくん,HB9AU9DJJ,聖心党,1222,8,1080,11806000,9806786867.0,576.0,10,6,9,8,10,10,8,8,69
6UPER4EDF,ハリ,X87KNX4N3,蓮ノ流星群,1409,18,1081,11803000,9843913658.0,574.0,10,10,10,10,10,10,10,10,80
B00T9WN8L,tos,PULJ8VCHJ,蓮ノ空を推す会,902,3,1082,11802000,12021512429.0,497.0,10,10,10,10,10,10,9,8,77
WX79T3VEI,ふぁーじ,NJBBTCY3A,かにかに！,707,5,1083,11800000,8818342512.0,610.0,10,10,10,10,10,10,8,6,74
D4H57USEN,全粒粉クッキー,NMT63RUDV,泥村,1100,12,1084,11797000,8515318148.0,624.0,10,7,7,9,10,10,7,9,69
IEQVGJ4Z2,坊,G59NGM0XA,シュリーレン,1486,18,1085,11791500,,,10,10,10,10,10,10,10,10,80
RFM4CVP8P,カッチャン,N8L41JAA7,無言 ノルマなし,1295,15,1086,11790100,,,10,10,10,10,10,10,10,10,80
64G97EX0C,金沢市民,26JDLMBLN,徒町は強く生きる,1121,9,1087,11790000,,,10,10,10,10,10,10,10,10,80
9GELNVWFN,まゆ,V6DV6KETG,梢好き好きクラブ,967,12,1088,11784000,13637495610.0,458.0,10,10,10,10,10,10,8,9,77
E6TYK4KM2,ｼｬｹ,NJBBTCY3A,かにかに！,1216,8,1089,11782000,10084062212.0,561.0,10,8,7,9,8,9,7,10,68
EK0XXP482,きり〜こ,JE7V5MM31,蓮ノ沼に沈んだ泥,1313,18,1090,11774000,12227428391.0,487.0,10,10,10,10,10,10,10,10,80
XUSL5TPJH,過去の遺産が,N8L41JAA7,無言 ノルマなし,1545,18,1091,11771000,13095552075.0,472.0,10,10,10,10,10,10,10,10,80
WBHM2GEEL,ハ,5W8RPRVUA,ド！ド！泥！,1191,7,1092,11770000,10107603326.0,560.0,10,10,10,10,10,10,10,10,80
YJ6XMPJT5,れる,4RY75CKM4,LLすこ部　メ募,1370,17,1092,11770000,,,10,10,10,10,10,10,10,10,80
R1BAYQ0AB,masacazu,K4TAHF9YA,はすっこ準備室,1437,11,1094,11764000,,,10,10,10,10,10,10,10,10,80
6KKO3RFTI,とむとむくん,J62DRC7J5,蓮ノ空好き好き会,1317,15,1095,11762100,,,10,10,10,10,10,10,10,10,80
XDEB1EAPH,通りすがり,V4A5MP41E,徒町チャレンジ！,1671,18,1096,11761200,,,10,10,10,10,10,10,10,10,80
B2XNVVE45,North,7U20138DB,LGP,1278,1,1097,11756000,,,10,10,10,10,10,10,10,10,80
0GWYFP0AP,あお2,RF5215M2U,スクステ同好会②,1191,6,1098,11750000,,,10,10,10,10,10,10,10,10,80
VL5H09GYG,台湾からのはんだ,GYG7B5R36,幼馴染同好会,1241,18,1099,11744000,9264404296.0,594.0,10,8,9,10,10,10,10,10,77
HETR1NXDG,ack1011,XEENRBXCG,蓮ノ空休日クラブ,1005,5,1100,11743000,,,10,10,10,10,10,10,10,10,80
0BP7ANXHV,ちゅん×4,K25DPPGT9,圧倒的にまったり,1487,18,1101,11736000,9649096345.0,581.0,10,9,10,10,10,9,10,10,78
