player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,さやか,吟子,梢,小铃,花帆,姬芽,缀理,慈,瑠璃乃
CAH984HAW,1,2626067877514632,タピエンル,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
ZYAP6N76H,2,2534483216379542,初手織姫来ないで,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
0CPFA3PTM,3,2487828596450949,かりんたや,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
KY6X3BV7A,4,2455908841926275,とんとろ,25PMPEMG7,星見プロ,15,10,10,10,10,10,10,10,10,10
VH1RC5NNC,5,2450142210920163,A減速注意要服！,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
DRSNNTTME,6,2448001823974420,もや,YE7CX8RNP,蓮ノ大三十角,2,10,10,10,10,10,10,10,10,10
D0RVYCT5J,7,2432969172113732,MONO,DH6C5B7WF,蓮ノ空FC,4,10,10,10,10,10,10,10,10,10
A172AA7DD,8,2428499213900598,にしん,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
BFBDRTETJ,9,2415552104321688,からいろは,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
7604CH5KV,10,2410649102872200,hiro,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
UA5OC8495,11,2408041675045449,zth,NC2YT2V28,蓮之愛同予者何人,15,10,10,10,10,10,10,10,10,10
72SX1Q0B7,12,2370840627050341,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10
8XP3JM3HY,13,2339980719974766,リンモリ,YE7CX8RNP,蓮ノ大三十角,3,10,10,10,10,10,10,10,10,10
WL6FFE9FY,14,2332525243609496,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
QTHXHSE6U,15,2330850609574810,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
L5FWMMCWN,16,2320914601568147,マナト,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
JVDRVFFBP,17,2305696354383385,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
GRN5C49P3,18,2296327867060587,空門蒼,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
MEGKKH1W5,19,2268252391096298,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
0USG3I0AK,20,2267196372217193,ピーちゃん,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
PLE67URFB,21,2246926097587465,DasserAN,NC2YT2V28,蓮之愛同予者何人,6,10,10,10,10,10,10,10,10,10
FVG9O3T6M,22,2246206225942508,つづもん,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
LP0BEDRF6,23,2229414162801966,ユプト,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
3Q65ASSTC,24,2228642103336816,ほうがく,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10
HVA8EZJWM,25,2223341358571957,鍋,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
KBI8MUTYD,26,2213965798277059,まけれれ,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,27,2210532609506854,ちびこま,YE7CX8RNP,蓮ノ大三十角,5,10,10,10,10,10,10,10,10,10
KXMPLAX04,28,2202622618618627,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
WCN6J32TG,29,2200266036309632,心キラララ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
WP2XGUKDR,30,2198358373086503,はむはむ,EYN9H9N16,蓮すきすきクラブ,6,10,10,10,10,10,10,10,10,10
DES39P1DL,31,2180662293560119,特殊効果陰謀論者,YE7CX8RNP,蓮ノ大三十角,8,10,10,10,10,10,10,10,10,10
W6KGEJ697,32,2170014530125359,まだまだお,BKLW6CR5L,Mix鮭の空!!,6,10,10,10,10,10,10,10,10,10
U1IQYBNI5,33,2154914795683504,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
TUHKRV0IW,34,2148529744691071,ポン,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
NOB5KDBV6,35,2132727956492179,しる220,0UT59MJ8U,かほすこ同好会,15,10,10,10,10,10,10,10,10,10
8EB0GXWX1,36,2129675094986160,みむ。,EYN9H9N16,蓮すきすきクラブ,4,9,9,9,9,9,9,9,10,8
TKLRD66RN,37,2126749974344743,チャリこず7凸,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
FWBTX791U,38,2115955066911520,garry,M5LHG6R4T,乙宗動物園,0,10,10,10,10,10,10,10,10,10
L6HBG7C3L,39,2104437422959404,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
ME00V6X4B,40,2102595664680073,真っ赤。,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
NC6WJYFVX,41,2097790321244060,でら,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
4387Y57EA,42,2085372499491670,あなたこなた,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
P4BD94K88,43,2078485355717014,ﾛｰﾗ･ﾘﾙﾚ,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
U7NEBV4KH,44,2076780661845542,こーど,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
GVNJDLBW8,45,2075725540039690,木の実マスター,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,46,2066179212030017,はろいと,VW65MCVF8,スリスリーズ,5,10,10,10,10,10,10,10,10,10
V7YLMH2IY,47,2064418202931772,水しぶきのサイン,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
P73RHEK4C,48,2062170223907572,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,8,10,10,10,10,10,10,10,10,10
J9C1NN8VB,49,2061934676416754,あーびん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
X0N1L475X,50,2058721787975196,ぼた餅,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
6NJM4GUG6,51,2057322206889523,配牌神ツモ王,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10
VX6FL3EOS,52,2052713028244983,ミミル,EYEPHE14G,花上梢頭,12,10,10,10,10,10,10,10,10,10
B424J17UB,53,2050914142085202,ギンッカ,NC2YT2V28,蓮之愛同予者何人,14,10,10,10,10,10,10,10,10,10
SM59T811D,54,2049562330393314,Case,RWARTHA1M,乙宗梢大好き部,7,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,55,2033056331285346,ことりの,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
VGWT7LCX7,56,2032885324261778,ZUC,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
RV0TDDA7D,57,2030348430294510,明日600兆出す,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
KMUYDNERU,58,2029803383630136,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,10,10,10,10,10,10,10,10,10
HY934N56T,59,2028063751936062,めぐりあえた奇跡,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
8GYTX89XA,60,2026813889482256,しづの…,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
