player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,左上の大三角,EYN9H9N16,蓮すきすきクラブ,1833,17,1,14970000,10,10,10,10,10,10,10,10,80
8JKPKHDHC,あるふぁん,EYN9H9N16,蓮すきすきクラブ,1839,18,2,14910000,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1760,19,2,14910000,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1877,18,4,14870000,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,1845,19,5,14840000,10,10,10,10,10,10,10,10,80
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,1887,21,6,14830000,10,10,10,10,10,10,10,10,80
5LL48ARPU,TIO,3F9P3U95T,ଳ天地鱏明の空ଳ,1724,20,7,14810000,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1848,17,8,14790000,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,M5LHG6R4T,乙宗動物園,1645,20,9,14770000,10,10,10,10,10,10,10,10,80
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,1769,14,9,14770000,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,PBRDPWEY1,村村会,1669,21,11,14750000,10,10,10,10,10,10,10,10,80
JC33CNHML,かすかす,PBRDPWEY1,村村会,1681,17,12,14675000,10,10,10,10,10,10,10,10,80
ALF76WC94,あにょつき,3F9P3U95T,ଳ天地鱏明の空ଳ,1638,19,13,14670000,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1936,20,14,14660000,10,10,10,10,10,10,10,10,80
6NJM4GUG6,1192,3F9P3U95T,ଳ天地鱏明の空ଳ,1857,12,15,14615000,10,10,10,10,10,10,10,10,80
JE5URLPU8,もご,3F9P3U95T,ଳ天地鱏明の空ଳ,1454,7,16,14600000,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,1889,18,17,14565000,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,1BME38BCD,さすさやクラブ,1928,21,18,14560000,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじー,3F9P3U95T,ଳ天地鱏明の空ଳ,1815,18,19,14530000,10,10,10,10,10,10,10,10,80
X0REUC1B0,ジークハルト,GXR6C85BT,花帆ちゃん親衛隊,1754,20,20,14520000,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1886,19,21,14495000,10,10,10,10,10,10,10,10,80
NLNKEMVRB,ユッキー,0TKFF5EG3,サークル名募集中,1651,19,22,14490000,10,10,10,10,10,10,10,10,80
T09VDOIFQ,ぼゐ,998H940YN,お嬢様筋トレ部,1773,19,23,14480000,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1717,18,24,14475000,10,10,10,10,10,10,10,10,80
KOKTCEUS1,にんじんソード,1BME38BCD,さすさやクラブ,1785,20,25,14465000,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1926,18,26,14460000,10,10,10,10,10,10,10,10,80
9MA0T8B65,たな,RF5215M2U,スクステ同好会②,1555,16,27,14450000,10,10,10,10,10,10,10,10,80
NY9X4SWNC,くりマロン,11FB0EDDT,スクステ同好会,1792,21,28,14430000,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,1794,21,29,14360000,10,10,10,10,10,10,10,10,80
XEDYAEF7D,waito,3F9P3U95T,ଳ天地鱏明の空ଳ,1579,12,30,14350000,10,10,10,10,10,10,10,10,80
CZKJL4VOV,調布のりこ,M5LHG6R4T,乙宗動物園,1860,18,31,14340000,10,10,10,10,10,10,10,10,80
ZCN6JNO6H,Celica,11FB0EDDT,スクステ同好会,1832,17,31,14340000,9,10,10,8,10,9,9,10,75
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,1866,16,33,14330000,10,10,10,10,10,10,10,10,80
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,1833,14,34,14305000,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,,,1782,21,35,14295000,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,1703,21,36,14275000,10,10,10,10,10,10,10,10,80
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,1817,20,37,14255000,10,10,10,10,10,10,10,10,80
WY7ASMM7N,ちゅん,11FB0EDDT,スクステ同好会,1545,20,38,14240000,10,10,10,10,10,10,10,10,80
4KFUM6ADN,ねくすと,PBRDPWEY1,村村会,1725,18,39,14230000,10,10,10,10,10,10,10,10,80
L10RA8434,なこちぃ,HE0GK3EPE,瑞蓮プロカ倶楽部,1538,18,40,14210000,10,10,10,10,10,10,10,10,80
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,1679,17,41,14190000,10,10,10,10,10,10,10,10,80
N6KDBV2A2,ハンバーグ,RWARTHA1M,乙宗梢大好き部,1812,20,42,14170000,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1904,19,43,14165000,10,10,10,10,10,10,10,10,80
TXTPD6OZ9,stella,3F9P3U95T,ଳ天地鱏明の空ଳ,1845,16,44,14160000,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角,1865,20,45,14145000,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,1760,20,46,14135000,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1867,21,47,14115000,10,10,10,10,10,10,10,10,80
7VE9T0CUP,むらたみ,PBRDPWEY1,村村会,1668,19,48,14100000,10,10,10,10,10,10,10,10,80
1A279T9WC,あにょケツ隠すな,49AMYCXCD,ルドベキア,1576,19,48,14100000,10,10,10,10,10,10,10,10,80
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,1957,21,50,14090000,10,10,10,10,10,10,10,10,80
KJWYM5BGB,Runway感謝,49AMYCXCD,ルドベキア,1665,20,51,14080000,10,10,10,10,10,10,10,10,80
W48K3OD0Q,ふっちー,998H940YN,お嬢様筋トレ部,1737,16,52,14065000,10,10,10,10,10,10,10,10,80
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,1807,21,52,14065000,10,10,10,10,10,10,10,10,80
4UL0VYVYJ,ベル,3F9P3U95T,ଳ天地鱏明の空ଳ,1240,18,54,14060000,10,10,10,10,10,10,10,10,80
530X3N5VB,らみん,11FB0EDDT,スクステ同好会,1726,19,55,14055000,10,10,10,10,10,10,10,10,80
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,1869,19,56,14050000,10,10,10,10,10,10,10,10,80
70NE2637U,望月ほぐの,3F9P3U95T,ଳ天地鱏明の空ଳ,1832,13,57,14040000,10,10,10,10,10,10,10,10,80
969Y977WP,k1みかん,2K5AM4RV0,とろぺりです,1690,19,58,14020000,10,10,10,10,10,10,10,10,80
XP37Y6W68,るる,11FB0EDDT,スクステ同好会,1491,13,59,13980000,10,10,10,10,10,10,10,10,80
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,1825,21,59,13980000,10,10,10,10,10,10,10,10,80
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,1621,20,61,13965000,10,10,10,10,10,10,10,10,80
VH1RC5NNC,コグレ,3F9P3U95T,ଳ天地鱏明の空ଳ,1669,16,62,13960000,10,10,10,10,10,9,9,10,78
1P6AUGHX2,もじゃもじゃ,RWARTHA1M,乙宗梢大好き部,1771,21,63,13955000,10,10,10,10,10,10,10,10,80
CL0CDYUYY,お嬢様,PBRDPWEY1,村村会,1600,21,63,13955000,10,10,10,10,10,10,10,10,80
85NX5JDGB,いろはす,PBRDPWEY1,村村会,1811,21,63,13955000,10,10,10,10,10,10,10,10,80
